prompt,prompt_len,target
"Abnormal differentiation of human papillomavirus-induced laryngeal papillomas. We studied the proliferation and differentiation of human laryngeal papillomas, which are benign tumors induced by human papillomaviruses. Immunofluorescent stains of tissues for a number of differentiation-specific proteins showed abnormal differentiation. Papilloma tissue fragments in vitro showed a slightly decreased fraction of proliferating cells that incorporated tritiated thymidine and a markedly reduced incorporation of tritiated uridine when compared with normal tissue. We propose that papillomavirus infection results in normal basal cell proliferation but abnormal terminal differentiation and that this abnormality significantly contributes to the hyperplasia of the papillomas. ",131,digestive system diseases
"Positive selection of candidate tumor-suppressor genes by subtractive hybridization. A positive selection system designed to identify and recover candidate tumor-suppressor genes is described. The system compares mRNA expression of genes from normal and tumor-derived human mammary epithelial cells grown in a special medium that supports similar growth rates of the two cell types. mRNAs uniquely expressed in normal cells are recovered as cDNAs after subtraction with mRNA from tumor cells. Seven different clones, from 0.6 to 4.8 kilobases in transcript size and including both rare and abundunt transcripts, were recovered in the first 23 clones analyzed. Among the isolated clones were genes encoding the gap-junction protein connexin 26, two different keratins, and glutathione-S-transferase pi, as well as an unknown gene in the S100 family of small calcium-binding proteins. In principle, tumor-suppressor genes include two classes: class I, in which loss of function results from mutation or deletion of DNA and class II, in which loss of function is from a regulatory block to expression. A class II suppressor gene is assumed to be regulated by a different suppressor gene that lost its function by mutation or deletion. Both classes of tumor-suppressor genes may provide valuable proteins with clinical applications in cancer diagnosis or therapy. Class II suppressors may be especially useful because the normal genes are present and their reexpression may be inducible by drugs or other treatments.",296,cardiovascular diseases
"Magnetic resonance imaging of fourth ventricular epidermoid tumors. Two pathologically proved cases of epidermoid tumor of the fourth ventricle are presented; clinical history and computed tomographic, magnetic resonance imaging, and histopathologic findings are included. ",47,nervous system diseases
"Percutaneous balloon pulmonary valvuloplasty in sickle cell anemia: a case report. Percutaneous balloon pulmonary valvuloplasty was performed on a 19-year-old female who had moderate pulmonary valve stenosis with sickle cell anemia. The patient developed sickle cell crisis resulting in occipital infarction, but she made a good recovery. We describe this case and the methods of reducing the risk of sickle cell crisis.",85,nervous system diseases
"Helicobacter pylori and gastric acid output in peptic ulcer disease. Helicobacter pylori is associated with peptic ulcer, and a causal relationship has been postulated. We investigated the association between Helicobacter pylori and gastric acid output. Two hundred forty-one patients were studied: 173 with duodenal ulcer, 51 with gastric ulcer (41 corpus, 10 prepyloric), and 17 with combined gastric and duodenal ulcer. In 194 patients (80%), Helicobacter pylori could be demonstrated histologically from gastric antral biopsies. The presence or absence of Helicobacter pylori was not influenced by age, sex, or use of tobacco or analgesics. Patients with duodenal ulcer or combined gastric and duodenal ulcer had similar gastric acid outputs irrespective of the presence or absence of Helicobacter pylori. However, gastric ulcer patients with Helicobacter had higher basal and maximal acid outputs when compared to patients without Helicobacter (mean basal output: 4.1 mmol/hr vs 2.4, P less than 0.05; mean maximal output 19.5 mmol/hr vs. 14.4, P less than 0.05). Although Helicobacter pylori is associated with both gastric ulcer and duodenal ulcer, its significance may be different in the two diseases.",273,neoplasms
"Regression of infundibular pulmonary stenosis after successful balloon pulmonary valvuloplasty in adults. Between July 1985 and March 1988, 22 adult patients with congenital pulmonary stenosis underwent balloon pulmonary valvuloplasty. There were 10 males and 12 females aged 16-45 (average 25 +/- 9.9) years. All patients had additional mild to severe infundibular stenosis; 16 were restudied 6-36 (mean 12.6) months later by repeat catheterization. Student's t-test was used for comparison of data. Right ventricular (RV) systolic pressure before dilatation was 84-196 (mean 129 +/- 32.3) mm Hg, and the peak pulmonary gradient (PPG) was 60-176 (mean 111 +/- 33.2) mm Hg immediately after dilatation. The RV systolic pressure dropped to 32-140 (mean 59.2 +/- 27) (P less than 0.001); and PPG dropped to 10-113 (mean 37.8 +/- 26.4) (P less than 0.001), and the infundibular gradient ranged from 8 to 113 (mean 35.1 +/- 25.8) mm Hg. The infundibular diameter, before dilatation, ranged from 2 to 15 (mean 9.5 +/- 4) mm Hg. At repeat catheterization, the RV systolic pressure dropped further to 33-66 (mean 42.8 +/- 9.7) mm Hg and the PPG was reduced to 0-48 (mean 18.4 +/- 10.9) mm Hg (P less than 0.001). The infundibular gradient regressed to 0-34 (mean 15 +/- 8.8) mm Hg (P less than 0.001). The infundibular diameter increased to 8-25 (mean 15.8 +/- 5.4) (P less than 0.001). It is concluded that moderate to severe infundibular stenosis, in adults, can regress after successful pulmonary valvuloplasty.",516,general pathological conditions
"Management of recurrent malignant pleural effusion in the United Kingdom: survey of clinical practice. Malignant pleural effusions are often symptomatic and tend to recur after simple aspiration. Pleurodesis may prevent recurrence of the effusion; many agents and techniques have been described. A questionnaire was sent to 448 clinicians in the United Kingdom to determine how pleurodesis is performed in practice. There was a 56% overall response, with replies from 101 respiratory physicians, 88 general physicians, 29 thoracic surgeons, and 35 general surgeons. General surgeons saw few cases of malignant pleural effusion and rarely performed pleurodesis. A patient with recurrent malignant pleural effusion would usually be managed with pleurodesis by 76 (76%) respiratory physicians, 26 (30%) general physicians, and 23 (81%) thoracic surgeons; a further 29 (33%) general physicians would refer such patients to another specialist. Most medical pleurodesis were performed by junior staff, whereas consultant thoracic surgeons were more likely to be concerned with the procedure. All the thoracic surgeons used an intercostal tube drain, usually with suction. An intercostal tube drain was used routinely by only 54 (54%) of the respiratory physicians and 28 (32%) general physicians. Thoracic surgeons preferred talc for pleurodesis whereas physicians most commonly used tetracycline. The variety of methods in use supports the need for randomised, controlled studies to determine the most effective technique of pleurodesis.",319,digestive system diseases
"Percutaneous popliteal approach for angioplasty of superficial femoral artery occlusions. Angioplasty using the percutaneous popliteal approach was utilized in 50 patients (PTS) to recanalize 59 occluded superficial femoral arteries which had been unsuccessfully canalized by using the antegrade approach because of either a flush origin occlusion or inability to maintain the guide wire in the true lumen. All PTS had claudication; 8 had rest pain; 3 had non-healing ulcers. The laser Probe was used in 17 cases and the Rotablator in 3 cases. Occlusion length varied between 1 and 40 cm: 7 lesions were less than 10 cm (group 1); 9 were between 10 and 20 cm (group 2); and 43 were greater than 20 cm (group 3). An angiographic success was obtained in 48/59 lesions (81%): 14/16 (87%) in groups 1 and 2 and 34/43 (79%) in group 3. Three PTS needed complementary common femoral endarterectomy and one required percutaneous aspiration of a thromboembolus. Complications included: arterial perforation and/or dissection (without clinical sequelae) in 11 and a popliteal hematoma in 1 PT. One patient with a severely ischemic leg underwent successful emergency vascular surgery, while another limb salvage patient required below-knee amputation. There was no worsening of limb ischemia from any popliteal approach attempt. At discharge, 39 patients (78%) whose outcome would have been unsuccessful with the traditional antegrade approach were clinically improved after utilizing the popliteal approach to achieve a successful angioplasty procedure.",371,general pathological conditions
"The influence of hyperglycemia and diabetes mellitus on immediate and 3-month morbidity and mortality after acute stroke. Fasting serum glucose, glycosylated hemoglobin, and fructosamine concentrations were determined in 304 consecutive subjects admitted with acute stroke, within 48 hours of ictus. Based on the medical history and these results, subjects were divided into known diabetics, newly diagnosed diabetics, subjects with stress hyperglycemia, and nondiabetics. The type of stroke was classified as lacunar infarct, cerebral infarct, or intracerebral hemorrhage, based on clinical examination by a neurologist and computed tomographic brain scan and/or autopsy. Immediate and 3-month outcomes were examined in relation to (1) fasting glucose, glycosylated hemoglobin, and fructosamine levels by stroke subtypes, and (2) glucose tolerance categories by stroke subtypes. A high fasting glucose level was associated with an increased mortality, but this was observed only among patients with intracerebral hemorrhage. Patients with stress hyperglycemia, but not diabetics, had increased mortality. In spite of having similar glucose concentrations to those patients with stress hyperglycemia, diabetics did not have a worse outcome compared with nondiabetics. It is concluded that the association between glucose concentration and outcome is a reflection of stress relating to stroke severity, rather than a direct harmful effect of glucose on damaged neurons.",276,digestive system diseases
"Gallbladder surgery following cholecystlithotripsy: suggested guidelines for treatment Twenty-three of 229 symptomatic patients undergoing cholecystlithotripsy underwent surgical intervention: 22 of the patients had cholecystectomy performed (five also undergoing choledochotomy) and one patient had a cholecystostomy. Of these 23 patients, five were lithotripsy failures, five developed acute pancreatitis, one had acute cholecystitis, and one had cholangitis. One patient had her gallbladder removed incidentally at the time of surgery for a bleeding gastric ulcer. Ten patients underwent surgery for recurrent biliary pain, probably related to fragment passage via the cystic duct. We suggest that up to 16 of these 23 patients did not necessarily require cholecystectomy, i.e. five patients with pancreatitis, one patient with cholangitis and ten patients with recurrent biliary colic. Conservative and/or endoscopic management may be successful in the first instance to allow further treatment with lithotripsy in the majority of patients. If, however, the expertise to perform endoscopic sphincterotomy is not available or the patient declines further lithotripsy, then resort to surgery may be necessary. We propose that it is the responsibility of the management team in charge of the lithotripsy unit to inform both the patient and the referring clinicians of the possible side-effects and outcome of treatment in an attempt to avoid unnecessary surgical procedures.",294,neoplasms
