prompt,prompt_len,target
Morning  don't ask me why I'm up so early,15,worry
@AnnCurry The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman!,33,happiness
@sleepynikki - I will see if there's a used organ shop there &amp; let you know. But why not just sign up to ejamming.com and rock out!,41,worry
Just got my 3rd tattoo  owwwwwww lol,13,worry
"@cowpunkmom Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?",33,happiness
Went to mikey's cousin's wedding. His mom caught the bouquet.,18,happiness
"@rscheuer sorry, is only in spanish for the moment",14,sadness
@rayvenn_nicolee haha..not quite as good a Super Ted!..but good none the less!  haha xx,27,surprise
"@_elj OK nice one, cheers boss.  Am liking the lack of FCS today.",20,happiness
"Trip to DC next week canceled.  So, no Artomatic or beer with @genehack.",22,sadness
currently playing... part of the list,8,happiness
gooodmorning people of earth!,8,happiness
saw a dead bird on my way to work!what a kind of day to start?! Poor little bird!,23,sadness
I'm at work!!!! Ugghhhhh someone save me now,14,worry
Just thought about my hubby being deployed n now I got the blues  I need a stiff drink but I'm breastfeeding so no booze for me :/ Ugh!!,33,sadness
"@Knownhuman damn - that's sad, then... I haven't heard the new one yet. Sounds like I've been spared a tragedy.",34,sadness
Hey guys I'm going to create an iPhone app that's a twitter client called Tweetilicious please @reply me your thoughts!,29,happiness
i'm still here in the office...and the sun is shining,15,sadness
@TeamCyrus morning  how are you?,11,surprise
@jpadamson I certainly know the feeling. Wesley is sleeping and I want to go get something to eat but I only have $4.38 in my account,36,worry
"Oops, they don't open until 9am",12,surprise
http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,29,sadness
"@hollyneufeld i found a few a couple of weeks ago.    i spazzed and then pulled them all out, so life is back to normal, lol.",35,surprise
(@JMBuckett) Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes.,33,happiness
@mrgarbutt TWEET 42,10,surprise
Headache,3,sadness
time to lie in bed and watch tv,9,worry
@dduane *waves back* Have a good day,13,happiness
please check out www.mysweetebony.com and lmk what you think  ... my first paysite ... post up your site too!,32,happiness
"OMG, time to sleep, today was an horror, i really hope best weekends *---*..Goodnight buddies",23,sadness
I need followers!!!,5,worry
I right here...don't worry,9,surprise
Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!,28,sadness
borred what everyone doingn check out links on my profile,13,sadness
Sad face moment of the day,7,sadness
enjoying the great sunshine.. from indoors.. I don't feel good today,17,sadness
@marvelvscapcom doesnt work already,9,sadness
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,32,sadness
i dont wanna miss the laker game tonight! i'm so sad,16,sadness
"@JenCarfagno Wow, you were here? Why didn't you tell me? J/k  That's cool though; I have yet to see one...",37,surprise
@mahhsaayyy imagine i would say&quot;bitch!&quot; lol if i were ma d! haha but im not cuz ur cool,31,surprise
is house bound with acute mumps  bad times.... whole day ov supernatural me thinks  x,20,worry
@3Easy Last week of July  Will you be up and at em by then?,19,worry
New York from 1500ft looks rather good. Last night in the Big Apple.,21,happiness
Did it just start to thunder out of nowhere??,11,surprise
"Don't think I'm gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",30,sadness
touchin the starss,6,surprise
is veryyy upset she cant go to hacienda tonight because the stupid nuggets game,16,sadness
