prompt,prompt_len,target
"I see bitches ain't been doing nun, but trotin &amp; thotin &#128514;",27,0
The rich kids of beverly hills is trash and not even entertaining trash. And why do they all look mid thirties?,24,1
"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man",55,1
"RT @collegefession: ""I rub orange peels on my dick before I go out cuz I don't want these bitches to catch a cold. #VitaminSemen"" - Prairie&#8230;",45,0
I grew up with niggahs don't trust no niggah no love for niggahs,19,1
"RT @polarisclub: ""im laughing so hard lay is the un-loyalist of hos""

plea",25,1
"Only fags say ""swag"" shits mad retarded.",12,1
RT @MoJizel: make sure her titties out RT @_CDiddy: Bouta take a pic of her laying on me like the side bitches do,34,1
RT @PinkkGlock: &#8220;@Coled_Marley: These bitches marrying niggas who got life sentences in jail &#128530;&#128530;&#128530;&#8221; stupid,59,1
@Missyy_J happy birthday bitch&#10084;&#65039;&#127881;,29,0
I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,22,1
@mabathoana garbage rappers can't learn. it's like teaching Advanced Algebra to a retard.,24,1
RT @jaunthegoat: Lost my erection and found it in your girlfriends pussy,17,0
RT @LuvKittensDaily: Oreo being adorable http://t.co/5ZMZVT0sUl,24,1
"Heeellllooo ""@__AyooBreezy: If a bitch keep hitting your nigga phone... It's because he's still entertaining her &#128175;""",40,1
#Dutch farmers are white trash.,8,1
"@kuczaaaK @Tyg235 Kris, griff is too ghetto to know anything about sperrys or vans",27,1
"&#8220;@JulianSantomaur: 5""0 with 30 hoes on my dick #sweg&#8221; you have learned from the best",40,1
#AlexFromTarget had them bitches wet...lmmfao,13,0
Stafford trash without Megatron #fantasyfootballproblems,11,0
"""Your a queer"". &#128530;&#128530;&#128530;&#128530;",35,1
Then this bitch singing sounds like a horse being choked,11,0
@NotReallyGRyan think its cause she saw me doing biceps &#128527;&#128557;&#128514; lmao jk im still a bitch !&#128077;,51,0
I wish I never met that bitch bro on god,11,0
That's why I don't stunt these hoes on Instagram. #teamrealbooty http://t.co/VchXqgMbDE,32,1
@EzraxDavis you want my pussy so bad,11,0
@iAmMarshall27 yeah man all my niggas dipped to the cars and left and I was in a barn getting chased by the ghetto bird,30,1
Who da fuck is yo? Idk nigguh,10,0
My cousin just said these hoes ain't shit. Idk why they want me. I ain't shit either. Got me dying over here lol,31,0
"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",46,1
RT @Rob_San9993: @214bighappy that bitch was looking for anything to go up her ass!..haha,30,0
"My nephew keeps tryna kiss me and I'm like bitch you got zero followers, dismiss yourself.",21,1
Plot twist I fucked your bitch,7,0
RT @_imjustvee: ever wanna text somebody and be like bitch die I hope you don't wake up you low down dirty muthafxcka&#128520;,40,1
"I miss you being a wee cheeky cunt to me, sad times #missAbby",17,0
"Search the terms ""Obama"" and ""Twinkie"" and get a bunch of people rehashing the same handful of jokes while having no idea why Hostess failed",35,0
@prihncess bitch,6,0
"Trust me when I say you shouldn't trust her if she tweets ""from bae to bruh real quick."" Only hoes can drop niggas ""real quick""",32,1
@dpalmyx3 @_wordtothewise stop retweeting heather im tired of seeing that bitch on my tl,25,0
@Juice__2 nah you're a nigger,11,1
&#8220;@drphilDONTEhue: You know idgaf about a woman's lingerie matching when I love hairy pussy so much &#128514;&#8221; &#128567;,53,0
"RT @wizkhalifa: Share your feelings but if iss some hoe shit, keep it to yourself.",23,0
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,26,0
"@RileyCooper_14 so your a ""nigger"" fighter huh",16,1
@kieffer_jason is that all you have to say you sound like a little bitch nagging and shit where u be at,26,0
RT @LucyyLuux: &amp; when a nigga don't care if you leave it's cause he gotta another bitch he was tired of creeping w/ anyway !,38,1
"@Marlon_N_Gaines I am brown, while you are black and ignorant, your stupidity makes me sick, typical thug looking nigger.",31,1
"RT @Nachumlist: Charlie Rangel: &#180;The Things We
Believe in Are Spiritual Damn Things&#180; http://t.co/NwgiJ1mjia",42,0
@BobbyRosee Let the hoes tell it man..,12,0
"These nigs is haters man, and I've made myself so easy to luv",18,0
&#128514;&#128514; bitches get stuff done. http://t.co/GvFpk65ah5,34,0
"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room",40,1
RT @JHazeThaGod: You other niggas a call up a bitch to fight a bitch naw not me I'm whomp that trick so she can feel where I'm coming from,41,1
"&#8220;@BlueEyeBeaner: lesbian pussy taste like rainbow trout!&#8221;

#lezzzbehonest",32,1
@alwayznpolo fuck all cops. and fuck you too tarah. bitch your elongated nose is shaped like a horses dick. @tarah_dactyl_,36,1
"&#128588;&#128588;&#128588;""@Datruthh_: Don't do em with my girl lol RT @thelaurenway: So when yall in threesomes does your girl eat the pussy too?""",57,0
RT @hiiphop: I still ain't got the time for a bitch to be acting iffy &#128073;&#128073;&#128073;,45,0
1 thang i know these bitches come n go so keep em out your bussiness,17,0
"RT @WayneDupreeShow: Fear mongering by the left is dying. Wake up, who are you going 2 believe Charlie Rangel and Hussein or Mia Love and C&#8230;",42,0
"RT @StuffKaySays_: I come off like a total bitch, but if I like you I will literally do anything for you.",28,0
@elise_palmer sounds like gypos to me - they used to do this all the time where I lived,25,1
"Finished Yankeeography and still hate the Arizona D'backs for winning in 2001, Yankees shoulda had that",26,0
@wodaeeex3 it didnt open das y i asked cus i thought yu ate wat i had Pork chops yellow rice n beans,28,0
TV makes these hoes seem more attractive. *yawns*,13,0
We're a good match cuz we both retarded...n weed,14,0
@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,39,1
"RT @OfficialAmiyah: Cheers to you, you stupid bitch. http://t.co/xPSEgYefCb",27,0
"@infidelpamelaLC I'm going to blame the black man, since they always blame ""whitey"" I'm an equal opportunity hater.",33,1
These peanut butter brownies bout to give me life too! &#128523;,20,0
&#8220;@CiddyP_60: I wouldn't trust a male cheerleader @ All cuz .&#8221; Cimarron got one &#128514; &amp; he got ALLLL the bitches,55,1
"Man, that is a serious shiner Chara's sporting. Yowza.",18,0
Why all the bitches fake gay now?,9,0
u should be here wit me bitch,8,0
@DimitriCrossin bitch ass,8,1
RT @mimi_rillo These bitches @virginiayumyum @ Fine Fare Supermarket http://t.co/kimIKVi0,29,1
@cj_menaa1 &#128553;&#128553;&#128514;&#128514; nigga doing the duggy on dem dead hoes lol,46,1
A bad bitch who knows her cars&gt;&gt;&gt;,15,0
@Gethenian ffffffffffffuck. Baratheon rebellions are a bitch.,19,0
"Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!",27,1
RT @FreeLaddin: This is what happens when niggas gas up ugly bitches http://t.co/dfKYmADk3b,30,1
"Gave her that ""move it lil nigger"" push smh.. http://t.co/EKdSI8pQdD",26,1
"RT @EHSSecretAdmire: ""Can @CarterMarteeny murder my pussy?""",21,1
RT @LikeJordanGAF: Pity parties are trash &amp; I don't throw them .,22,0
@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else,19,1
Happy first day of college nigger @MorbidMermaid,11,1
"ain't my hoe, I just thought it was.&#128524;&#128080;",28,0
@kincade00 nigga Madison playing some bitch ass white boys that's going to Harvard on law scholarship play crazy,25,1
&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Don't fuck her right in the pussy,41,1
RT @FenkellPayroll: Ppl quick 2 bitch about what somebody ain't did for em when 9 times outta 10 they ain't did shit for that person,40,0
"@LampreyMilt @DelSchilling @BertLoch No woman deserves to be sole stomped like that. He is a bitch, and so is everyone watching doing nada.",37,0
My manager is retarded bruh always asking siri some spellings. &#128514;&#128514;&#128514; ..this nigga is dum af doe,41,1
RT @22duces20: Happy birthday to my little ass cousin who doesn't remember who I am @1NOnlyDirtyMike hope it's a good one fag !,40,1
....is now tweeting from a tablet....baller bitch!,12,0
"RT @UrbanEngIish: When your phone goes off in class and the teacher says ""turn that trash off"" but its a song from your mixtape = https://t&#8230;",42,0
that pussy so wet I'm calling it rain,11,0
RT @StayyeGolden: &#8220;@vivalakristia: Everybody that's still on Facebook ghetto or pregnant idc.&#8221;accurate,39,0
"@jthomas309 @DestroTheNoble @nekolin &lt;&lt;&lt; Getting his ass pounded &amp; loving it! 
I'm done with this GAY whiney bitch. NEXT......",47,1
@Shvkxir @RickiRoma @BaeSongz @JayZOverrated Ahmed and retard mikey for special Olympic boxing,28,1
"Hey. @BarackObama. Don't be like a stupid white bitch in some horror movie asks #America to hide from #ISIS behind some chainsaws. M,kay?",38,1
@ItsYOUR_man you a fucking wigger so stfu,14,1
"Any solution to ZOG which doesn't deal with demographics - only laws - is no solution.
#NorthwestImperative
http://t.co/Vhy5s2apCn",40,0
Lmao chill spook RT @BakeGriffin You think you Better than niggas cause you in Miami you &#252;ber colored Faggot @BmoreHumble?,34,1
RT @Pointdexter: Charlie Sheen gets it http://t.co/DKk6YjTJfU,24,0
"RT @TheRainbowGirlz: I'm not saying she's a slut, but her favorite shade of lipstick is pussy.",28,1
"RT @justicechrist: @ChillAssTweets_ @SimplySoulful when you sitting next ya girl and ya side bitch text you ""hey babe """,31,0
Horny mature babe in a kimono has her pussy fingered and&#160;fucked http://t.co/RmAMISXW5c,33,0
@jakiekoelewijn nigga who's bitch u fucking cracker get your gay ass out my mentions.,24,1
"RT @BVSEDXJESUS: I want a real relationship &#9994;&#128272; no games, no lies, no side hoes, just me and you &#128152;&#128141;",56,1
"Saw brownies on the kitchen counter, bit into one and immediately a surge of pain and spice hit my tongue. Chili flakes. Eff you, Brian.",31,0
@TheBovee @Mr_Astonishing we outchea bitch,15,0
RT @TylerReactions: When someone retweets a bitch I hate onto my timeline http://t.co/P0lZnmJKLp,30,0
@Gethenian ffffffffffffuck. Baratheon rebellions are a bitch.,19,0
@JOLTNG niger,7,1
@Rob_San9993 ha lol like at selenas horny bitch lol,18,0
@KeenoKlutch im on that hoe now,11,0
What do you do when you the nigga thats currently cuffin a bitch dats getting exposed? &#128514;&#128553;&#128557;&#128514;&#128514;,56,0
If you attractive people just gone up and assume you got hoes,13,0
Fat bitches got the most pictures,7,0
@FreddyAmazin ratchet looking nigger,8,1
Basic bitches everywhere,4,0
RT @CityBoiCoop: &#128557;&#128557;&#128557; RT @RoJustDGAF: Damn it RT @BobbyBudnic: &#9996;&#65039; RT @TittySlapMe: Once or twice is cool but damn bitch http://t.co/WTDCShx&#8230;,87,0
And you kno we the opposite of down bitch we up http://t.co/qkFYwnFZqu,23,0
@tina16_ that bitch gonna get a rug burn,13,0
"I hate a bitch that love a bitch that say she love a nigga too
Confused ass bitch What you gon' do?
Is you gay bitch? Is you straight bitch?",37,0
RT @MooreHnter: How to get bitches http://t.co/yUOqmgHvbf,23,0
You can't owe me shit ion trust niccas,12,1
&#8220;@HighClassCapri: @what_evaittakes lmao I minds well be a hoe for all that &#128528;&#8221;&#128563;&#128563; I ain't mean like that girl lol,65,0
RT @anibeeezy: all these damn bitches on my phone line,15,0
RT @_tenijieth: I believe there's a hood in heaven cause the devil gots a bad bitch.,26,0
You know people ghetto when they leave the plastic shit on their TVs,14,0
@WhiteKidWraps I was RT 100 steal that bitch,16,0
@REAL_Kaysavage that bitch was going or nawl,14,0
@marylene58 @sunflower1790 @shelliecorreia @Jan4USA no just a niggress that thinks she's human.,34,1
RT @FoodPornsx: Oreo Drumstick! http://t.co/AcN8J59r6b,27,0
Why you shouldn't eat pussy unless you love her http://t.co/BkpLT6D9ax,25,0
Kawasaki dating a faggot smh,7,1
"@wtf_swagggbro text me, my phone being a cunt whore.",17,0
"RT @TheBloodShow: I hate typing something so detailed &amp; somebody respond with ""huh?"" bitch I'm Finna type the same thing twice dumb bitch",35,0
RT @InfidelAlie: Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,34,1
Smoking Brooklyn got me high as giraffe pussy,9,0
@Myalynn__x3 mhm bitch don't play with your life &#128299;,26,0
looks like my highlight of the night will be getting Lewis and having a quick fag outside work #shite,22,0
"RT @_BredDIFFERENT: Niggas will fuck yah good , eat ya pussy then go home to they bitch like ain't shit happen &#128553;&#128530;",45,1
@red_is_raw lol yeah birds be chirping outside. Bastards.,18,0
&#8220;@Smokinonkaya_: &#8220;@Nilaja_: Everybody Loves Dej Loaf&#8221; cause that's wifey&#8221; fuck off kaya dats my bitch.,55,1
@HBergHattie @snkscoyote I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends...,42,1
@protegykid I would reply with the red emoji but I'm not a nigger,19,1
"&#8220;@matt_chu22: @wagggggie @RyanRiehle &#128514; I'm not close to being your dude, master chan&#8221; that's right bitch, bow down to your master &#128591;",67,1
"It's funny how these swaggot white boys wanna act like they're Ballin till it comes time to tip.
Sad ass crackers.",31,0
"RT @bl0ndeB1tch_: Love really is blind, stupid cunt of a feeling.",21,0
RT @nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/Gi3xXzBbq9,30,1
@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.,20,1
RT @Opatz1: Fuck michelle obama. That monkey doesnt belong in the white house,20,1
aka don't ignore me bitches,8,1
Dooms.. RT @Gutta_DaDon: White nubuck or leather for the upper of the foam makes them a pass to me. White soles too. http://t.co/QIVkEPtLKj,47,0
RT @bitchniggabob: If she called me ugly and started pushin me around. I'd run like a mother fucking pussy screaming for my mom to help htt&#8230;,42,0
Oh I'm nasty for smoking cigarettes? And you're nasty for not washing behind your ears everyday stupid little bitch,25,0
"RICK TOLD YALL TO GO BACK AND KILL'EM ALL! Yall niccas didn't listen, now they are chewing on Bob's leg and shit! Extra, tasty, crispy!",42,0
RT @FunnyPicsDepot: pussy ass nigga http://t.co/lXONrmTQTK,23,1
RT @TattedPapiChulo: Having a real bitch by your side and holding it down for you is a blessing &#128591; For Real.,37,0
Want some cheese with that whine bitch ?!,9,0
If u bad niggas a really play nice to get to the pussy then... that ass gone &#128514;,27,1
===&gt; RT @kylegotjokes: All good pussy comes with a price tag,19,0
"RT @TazheAdorn: Yall ladies ever have on a tank top or something . . &amp; like one of your nips was just chilling outside the shirt, and you d&#8230;",46,0
RT @Annnna_dav69: Ima make you my bitch &#128521;,24,0
RT @OhLawdItsNiesha: That hoe Brittish got the fuckin NERVE,20,0
RT @DJZeeti: If her hands and feet dirty RT @KingSimi: @DJZeeti how can you tell if a girl pussy stink before actually gettin in her pan ...,39,1
"My cousin bio on her Instagram ""light skin, dark skin, brown skin bitches holla at me"" she funny as hell",26,0
"@Zhugstubble naw nigga what's up with em hands, what happened to the shit you was talking a couple a month's ago, eat bitch",34,1
@Sisteena_ And does he know you're calling him a fag?,18,1
@PraviKingDino you like men faggot.,11,1
@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..,38,1
@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,31,1
Need a bitch to drop it down for a niggah,12,1
I aint mad at you bitches thats what hoes do,11,0
@cnnbrk let me guess they have yellow cake too? Same crap different president,17,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #BigTits | Cute preggie slut big tits plays with swollen pussy http://t.co/iTCpEBCem4",43,0
RT @saramariewelch: Been my main nigguh since digital camera selfies @thorpe_emily http://t.co/XiQiRbQ7mP,35,1
Bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale.,27,0
"If you're gonna be a hoe, then don't look for relationships. you lost that privilege when you decided to be a hoe.",30,0
