prompt,prompt_len,target
@ThatHaleyWay @kdawgg065 aahahah who the fuck watches that trash?,21,1
Dumb ass fake bitches childish shit!!! Talk mad shit about each other and back to BEST FRIENDS? lmao,21,1
"@littlelouie33 eh, take off hoser.",14,0
&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;,50,0
@DangItsTiff you look like fucking shrek bitch,13,1
oh well. he's a fag anyways.,11,0
Dat bitch mouth made da honor roll,8,1
RT @tianaroseee_: Mary Jane my only bitch,13,1
RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;,38,0
RT @CraziestSex: Eat her pussy and look at her like &#128540;&#128541;&#128514; http://t.co/mIgiYMGRJt,49,1
Good pussy change ya life! &#128514;&#128557;,22,1
"If some one isn't an Anglo-Saxon Protestant, they have no right to be alive in the US. None at all, they are foreign filth.",33,0
RT @_lvrking: chris brown is trash.,12,0
@ScHoolboyCole you a bitch for,11,1
I gain a few pounds a bitch look thickkkkkk,12,1
@MarianCristinax you a fag b,10,1
RT @Kid_Flexin: @WeDont_SmokeREG lol thats grwn man shit...nd bitches b loven it &#128514;&#128527;,42,1
"If luke hemmings really thinks they're trash, I MUST BE FUCKING DIRT BC YOU BOYS ARE BEAUTIFUL DAMMIT",25,1
With the birds i share this lonely view..,10,0
"@JuMosq @zachkruse2 Yep. *sobs*

I got my hopes up when a couple of the national guys (including that Kiper/McShay mock) had him slipping.",43,0
RT @BlissTabitha: Homeowner Shoots Armed Suspect Who Attacked and Pistol Whipped Him http://t.co/VLuEwUGclg,34,0
"Hoes all on my bandwagon, your bitch gaggin, she jet laggin. #A$AP",22,1
"I named my penis ""The Truth"" because bitches can't handle it.",17,1
RT @vickyBeanMr: When u with yo main bitch and you see yo side bitch in public http://t.co/scmkp1nYGU,35,1
"Why does this faggot in front of me have to get two dozen doughnuts right now, get the fuck on",22,1
This bitch looks like a tranny tho.,9,1
@T_FLYE he killed that hoe though,11,1
Video: Charlie Baker campaign team denies contacting Gov. Patrick for meeting http://t.co/qHrA6OalRR,27,0
Those guys are the definition of white trash,9,0
"Omg chloe just pulled up to my house like ""come outside bitch"" &#128514;&#128514;&#128514;&#128514; hella cray",47,1
I'll quit being a bitch when you quit being a fake friend. &#128077;&#9996;&#65039;,35,1
RT @DennisssBeauty: @VivaLaZulema looked like Princess Bella in that yellow dress&#128120;&#128120;,36,0
Can I bring another bitch can we have a threesome or nahhh,15,1
My nudes are trash.....,7,0
"Just yelled out ""Damn it reeks of weed in there.""(really did) after this stoner fag didn't tip me while a cop was walking by.
HAHA bitches.",38,1
"@Yankees @marines1994 Daggone it Twins, kick it up a notch... Time to beat the Yankees...",27,0
