prompt,prompt_len,target
Carlos Arroyo,3,20.1
Troy Murphy,3,50.3
Steven Adams,3,59.3
Karl Malone,3,234.6
Ben Simmons,3,33.6
Darren Collison,4,49.9
Nerlens Noel,4,28.3
Charles Jones,3,24.6
Tyus Jones,4,29.5
Elvin Hayes,4,48.9
Lonnie Shelton,4,37.5
Evan Turner,3,20.2
Micheal Williams,4,28.5
Danny Ferry,3,34.8
Bryon Russell,4,47.4
Steve Blake,3,29.1
Steve Francis,3,54.1
Tristan Thompson,3,48.9
Michael Finley,3,85.2
Steve Stipanovich,4,30.4
Josh Childress,4,25.7
Gary Harris,3,25.8
Mitchell Robinson,3,33.9
Brad Daugherty,5,65.2
Eric Gordon,3,41.1
Luc Mbah a Moute,7,26.0
Vin Baker,3,47.0
Jim Jackson,3,35.8
Terry Porter,3,110.4
Montrezl Harrell,5,42.9
Mark Olberding,5,42.9
Raymond Felton,3,40.2
Sedale Threatt,5,48.0
Karl-Anthony Towns,5,75.0
Morris Peterson,3,35.7
Nate Robinson,3,27.8
Gary Trent,3,23.2
Andrew Bogut,4,50.6
Kentavious Caldwell-Pope,7,43.9
Vladimir Radmanović,5,26.5
J.J. Hickson,7,21.9
Michael Jordan,3,214.0
Brandon Ingram,3,27.2
Mookie Blaylock,6,71.8
Nick Collison,4,44.5
Anthony Peeler,4,30.7
Gary Trent Jr.,5,15.8
Beno Udrih,5,31.4
Tom McMillen,5,26.4
Larry Drew,3,24.4
Herb Williams,3,36.1
Paul Pressey,4,49.0
Gordon Hayward,3,63.4
Allen Leavell,4,29.9
Torrey Craig,4,16.4
Sedale Threatt,5,48.0
Gus Williams,3,63.7
Emeka Okafor,5,45.3
Hersey Hawkins,4,90.6
Popeye Jones,4,22.0
Marc Gasol,4,85.3
Trae Young,4,37.6
Tom Gugliotta,5,40.2
Christian Laettner,5,64.9
Cory Joseph,3,30.7
Reggie Miller,4,174.4
Spud Webb,4,40.2
Swen Nater,5,36.9
Jerry Sichting,4,21.2
Michael Kidd-Gilchrist,6,21.0
Anthony Edwards,3,16.5
Damian Lillard,4,110.8
Lionel Hollins,4,21.0
David Lee,3,76.0
Joe Meriweather,4,23.8
Matt Barnes,3,42.8
Kemba Walker,4,59.8
Dennis Scott,3,33.4
Andrew Bogut,4,50.6
Bradley Beal,3,56.1
Mark Aguirre,3,67.8
Dan Roundfield,4,65.2
D.J. Augustin,6,47.7
Johnny Davis,3,38.5
Doc Rivers,3,68.2
Wes Unseld,5,35.5
James Posey,4,51.6
Gary Trent,3,23.2
Sedale Threatt,5,48.0
Jerami Grant,4,34.8
Rickey Green,4,47.2
Brandon Bass,3,42.8
Morris Peterson,3,35.7
Joel Embiid,4,63.5
Thabo Sefolosha,7,39.3
Joe Dumars,4,86.2
Pascal Siakam,4,47.9
Theo Ratliff,4,47.9
Danny Young,3,20.2
Reggie Theus,5,66.9
Zydrunas Ilgauskas,8,66.3
T.R. Dunn,6,39.8
Fat Lever,3,61.2
Brian Taylor,3,24.7
LaMarcus Aldridge,5,115.7
Ja Morant,4,20.5
Damon Jones,3,28.0
Alvin Robertson,3,52.1
Jae Crowder,4,42.9
Ed Pinckney,5,42.7
Steve Blake,3,29.1
Nicolas Batum,4,70.4
Darren Collison,4,49.9
Dorian Finney-Smith,6,25.5
Don Buse,4,34.9
Tyrone Hill,4,56.2
Andrés Nocioni,4,21.8
Jared Dudley,3,43.0
Jeff Teague,4,52.4
Paul Pierce,3,150.0
Ricky Pierce,3,72.2
Buck Williams,3,120.1
Lester Conner,3,28.6
Nikola Mirotić,5,20.8
Kevin Willis,3,81.8
Marcin Gortat,5,61.3
Mark Eaton,3,44.8
Russell Westbrook,3,110.6
DeAndre Jordan,4,97.0
Vern Fleming,3,52.0
World B. Free,5,66.2
Bryon Russell,4,47.4
George Hill,3,71.0
Mahmoud Abdul-Rauf,7,25.2
Brandon Bass,3,42.8
Dwight Howard,3,141.7
Sam Bowie,3,26.9
Ben Simmons,3,33.6
David Wesley,3,61.3
Raja Bell,3,32.7
Danilo Gallinari,5,65.4
Ömer Aşık,5,20.9
Kelly Oubre Jr.,6,22.2
Michael Cage,3,74.4
Anthony Mason,3,88.3
Dewayne Dedmon,6,23.3
Troy Murphy,3,50.3
Ed Davis,3,43.3
Bruce Bowen,3,42.9
Brandon Ingram,3,27.2
Johnny Dawkins,3,21.8
Maurice Harkless,4,23.0
Gene Banks,3,31.2
Robert Covington,3,31.8
Ben Simmons,3,33.6
De'Aaron Fox,5,29.6
Manu Ginóbili,5,106.4
Pascal Siakam,4,47.9
Darrell Griffith,4,22.0
Willie Anderson,3,27.9
Hakim Warrick,5,20.4
Billy Paultz,4,26.3
Lamar Odom,4,77.0
Kerry Kittles,4,44.8
Rasual Butler,4,20.8
Andrew Lang,3,28.6
Joel Przybilla,5,23.0
Josh Howard,3,38.0
Lionel Hollins,4,21.0
Charlie Villanueva,3,22.6
Detlef Schrempf,5,109.5
Dan Roundfield,4,65.2
Walter Davis,3,76.9
Charlie Villanueva,3,22.6
Sam Cassell,4,87.5
Harvey Grant,3,36.4
Ben Simmons,3,33.6
Andre Miller,3,100.8
Nenê,3,73.3
Paul Millsap,4,95.4
Chris Morris,3,37.4
Matt Harpring,4,41.9
Gorgui Dieng,5,30.7
Jimmy Butler,3,115.0
Isiah Thomas,4,80.7
Kenny Thomas,3,31.2
Sam Lacey,3,26.6
Andrew Lang,3,28.6
Steven Adams,3,59.3
Mike Dunleavy,5,58.5
Amir Johnson,3,55.3
Kevin Love,3,94.5
A.C. Green,6,99.5
Kevin McHale,4,113.0
Zach Randolph,3,81.1
Gerald Henderson,3,32.1
Tracy McGrady,4,97.3
Phil Hubbard,3,29.0
Victor Oladipo,5,25.6
Bogdan Bogdanović,7,22.9
Brook Lopez,3,85.3
Marvin Webster,3,28.1
Donte DiVincenzo,5,20.0
Buck Johnson,3,20.8
Rony Seikaly,6,37.3
Kyrie Irving,4,86.2
Lou Williams,3,65.7
Mario Elie,3,48.9
Darrell Griffith,4,22.0
Bimbo Coles,4,27.4
Yao Ming,3,65.9
Derek Harper,3,86.8
Bo Outlaw,3,50.8
Joe Dumars,4,86.2
Terrence Ross,4,25.0
Caris LeVert,5,19.9
Tim Thomas,3,35.2
Tayshaun Prince,6,63.1
Spencer Hawes,4,22.6
Marvin Webster,3,28.1
Scott Skiles,4,30.4
Mikal Bridges,4,36.3
Mike Dunleavy,5,58.5
LaPhonso Ellis,5,32.8
Kelly Tripucka,5,44.4
Dan Roundfield,4,65.2
Bradley Beal,3,56.1
Tom Chambers,3,79.0
Terry Catledge,4,20.9
Michael Porter Jr.,5,20.1
Trae Young,4,37.6
Nick Anderson,3,55.3
Dennis Schröder,3,29.5
Jim Chones,4,25.2
Shandon Anderson,5,23.6
Keith Van Horn,4,41.7
Larry Kenon,4,36.5
Mark Eaton,3,44.8
Harrison Barnes,3,56.0
Christian Wood,3,20.0
Orlando Woolridge,4,53.0
Jamaal Wilkes,4,57.9
Glen Rice,3,88.7
Steve Blake,3,29.1
Chris Mullin,4,93.1
Tyson Chandler,3,102.1
Kemba Walker,4,59.8
Bruce Bowen,3,42.9
DeMarcus Cousins,4,46.8
Norm Nixon,3,47.6
Phil Hubbard,3,29.0
John Collins,3,36.7
Julius Randle,4,43.3
Bobby Jackson,3,31.4
Marcus Morris,3,39.3
Richard Hamilton,3,62.8
Tiny Archibald,3,29.7
Bill Cartwright,3,72.8
Ramon Sessions,3,28.8
Ryan Anderson,3,46.7
Drew Gooden,4,43.9
Loy Vaught,4,35.8
Sidney Moncrief,5,90.3
Brad Daugherty,5,65.2
Brian Shaw,3,23.8
Chris Andersen,3,39.7
Kelvin Cato,3,28.6
Jae Crowder,4,42.9
Zydrunas Ilgauskas,8,66.3
Andrei Kirilenko,5,75.4
Damon Stoudamire,6,55.4
Shandon Anderson,5,23.6
Tony Parker,3,111.3
Danny Schayes,4,48.8
Rudy Tomjanovich,5,23.9
OG Anunoby,5,24.8
Brian Grant,3,54.5
Gerald Henderson,3,32.1
Michael Finley,3,85.2
Brandon Roy,3,37.4
Donte DiVincenzo,5,20.0
DeAndre Jordan,4,97.0
Brandan Wright,4,26.2
De'Aaron Fox,5,29.6
Glenn Robinson,3,39.8
Nic Claxton,4,21.8
John Salmons,4,33.9
Brian Shaw,3,23.8
Scottie Pippen,5,125.1
Bo Outlaw,3,50.8
Vinny Del Negro,5,40.6
Zach Randolph,3,81.1
Delonte West,4,24.5
Campy Russell,4,28.1
Markieff Morris,5,27.4
José Calderón,3,58.3
Anthony Mason,3,88.3
Kwame Brown,4,20.8
Jerami Grant,4,34.8
Dennis Rodman,4,89.8
Darrell Armstrong,4,49.8
Alex Len,3,23.2
Bob Dandridge,4,23.2
Dwight Powell,3,46.2
Manu Ginóbili,5,106.4
Daniel Theis,4,22.3
Craig Hodges,3,27.2
Buddy Hield,4,24.9
LaMarcus Aldridge,5,115.7
Chris Mills,3,37.7
Michael Jordan,3,214.0
Rasheed Wallace,4,105.1
Tony Parker,3,111.3
Kiki Vandeweghe,5,75.6
Foots Walker,4,27.2
Johnny Dawkins,3,21.8
J.J. Barea,7,23.8
Lamar Odom,4,77.0
Chris Mills,3,37.7
Cody Zeller,3,33.5
Bobby Phills,4,27.2
Eddy Curry,3,21.7
Rasho Nesterović,6,39.9
Christian Laettner,5,64.9
Brad Daugherty,5,65.2
Matt Barnes,3,42.8
Gary Trent,3,23.2
Chris Childs,3,22.9
Shawn Marion,3,124.9
Brandon Roy,3,37.4
Nenê,3,73.3
Juwan Howard,4,59.4
Dorian Finney-Smith,6,25.5
Dwyane Wade,5,120.7
Andrew Toney,4,26.9
Micheal Williams,4,28.5
Channing Frye,4,38.9
Ben Gordon,3,33.3
Alex Caruso,3,16.7
Maurice Cheeks,4,103.5
Johnny Newman,3,50.3
Ben Gordon,3,33.3
Mark West,3,41.9
Jaxson Hayes,4,16.4
Chris Andersen,3,39.7
Taj Gibson,3,59.9
Luis Scola,4,45.7
Patrick Patterson,3,31.9
Taj Gibson,3,59.9
Trae Young,4,37.6
Dennis Johnson,3,82.6
Johnny Moore,3,30.1
Carl Landry,3,35.9
Jim Jackson,3,35.8
Darrell Griffith,4,22.0
Martell Webster,4,24.7
Norman Powell,3,27.1
Darwin Cook,3,22.9
Dan Issel,4,82.3
Arron Afflalo,6,33.5
David Wesley,3,61.3
DeAndre Jordan,4,97.0
Jae Crowder,4,42.9
Joe Harris,3,23.1
Richard Jefferson,3,83.0
John Salley,4,41.5
Wilson Chandler,3,29.0
Shawn Bradley,3,40.7
Michael Cage,3,74.4
Richard Jefferson,3,83.0
Roy Hibbert,4,35.9
Tyus Jones,4,29.5
Vladimir Radmanović,5,26.5
Meyers Leonard,4,15.8
Alvin Williams,3,21.7
Tom Owens,3,32.9
Dirk Nowitzki,5,206.3
Jarrett Jack,4,36.8
Phil Smith,3,28.8
Johnny Dawkins,3,21.8
Ricky Sobers,4,29.1
DeMarre Carroll,5,29.5
Artis Gilmore,3,107.4
Malcolm Brogdon,5,32.6
Khris Middleton,4,55.9
David West,3,85.9
Lester Conner,3,28.6
Ben Gordon,3,33.3
Shawn Bradley,3,40.7
Tyrone Hill,4,56.2
Wendell Carter Jr.,6,22.5
Billy Knight,3,48.5
Robert Reid,3,40.3
Wayne Cooper,3,36.9
OG Anunoby,5,24.8
Aaron McKie,4,40.0
Mo Williams,3,40.0
Joe Harris,3,23.1
Jeff Green,3,54.6
Derek Fisher,3,62.3
Mitchell Robinson,3,33.9
Nick Van Exel,5,55.9
Chris Ford,3,23.3
Danny Ainge,4,71.5
Scottie Pippen,5,125.1
Nikola Jokić,5,111.6
John Salley,4,41.5
Reggie Williams,4,26.0
Chris Childs,3,22.9
Chris Morris,3,37.4
Harvey Grant,3,36.4
Larry Nance,4,109.6
Desmond Mason,4,23.1
Vinnie Johnson,4,50.8
Ersan İlyasova,7,48.8
Trae Young,4,37.6
Steve Mix,3,33.6
Roy Hibbert,4,35.9
Shai Gilgeous-Alexander,8,43.6
Thomas Bryant,3,17.4
Robert Covington,3,31.8
Joel Embiid,4,63.5
Tim Hardaway,4,85.0
Mark Eaton,3,44.8
Mark Olberding,5,42.9
Jason Collins,3,20.1
Vinnie Johnson,4,50.8
J.R. Reid,6,22.5
Tim McCormick,3,21.5
Michael Jordan,3,214.0
Duncan Robinson,3,17.2
Truck Robinson,3,45.8
Andre Iguodala,5,100.4
Kevin Gamble,3,33.3
Orlando Woolridge,4,53.0
Lindsey Hunter,3,32.9
Jameer Nelson,5,48.3
Ed Pinckney,5,42.7
Dwyane Wade,5,120.7
Franz Wagner,3,15.7
Gus Williams,3,63.7
Rick Mahorn,4,51.7
Shaquille O'Neal,6,181.7
Bimbo Coles,4,27.4
Dale Davis,3,86.9
Kentavious Caldwell-Pope,7,43.9
Tony Parker,3,111.3
Dennis Johnson,3,82.6
Enes Freedom,4,52.8
Blake Griffin,3,81.1
Kyle Macy,3,36.0
Harrison Barnes,3,56.0
Michael Smith,3,23.4
Dejounte Murray,6,26.0
Antonio McDyess,5,69.8
Dirk Nowitzki,5,206.3
Micheal Ray Richardson,5,35.2
Grant Long,3,60.1
Chris Duhon,4,25.0
Evan Fournier,3,30.5
Purvis Short,4,51.1
Antonio Davis,3,59.6
Dale Ellis,3,84.7
Tiago Splitter,4,25.3
Matt Geiger,3,28.4
LaPhonso Ellis,5,32.8
Bismack Biyombo,6,32.4
Reggie Lewis,4,38.9
Josh Childress,4,25.7
Larry Smith,3,46.0
Ed Pinckney,5,42.7
Joe Ingles,3,42.1
Rodney Rogers,3,38.8
Carlos Boozer,4,80.3
Mike Muscala,4,19.2
Paul Millsap,4,95.4
Baron Davis,3,63.1
Grayson Allen,4,20.0
Miles Bridges,3,18.2
B.J. Armstrong,6,45.0
Bob Dandridge,4,23.2
Doug Collins,3,20.5
Buck Williams,3,120.1
Jay Vincent,3,27.5
Beno Udrih,5,31.4
Derrick Coleman,3,64.3
Joe Johnson,3,82.9
Troy Murphy,3,50.3
Reggie Williams,4,26.0
Chris Childs,3,22.9
Vern Fleming,3,52.0
Spencer Dinwiddie,5,32.4
Kendall Gill,3,47.8
Carmelo Anthony,4,108.5
Dwight Powell,3,46.2
Avery Johnson,3,56.5
Trent Tucker,3,34.3
Cameron Johnson,3,17.7
Zach LaVine,4,32.2
Kirk Hinrich,4,52.5
Tyrese Maxey,5,22.7
Terry Rozier,4,29.5
Anthony Parker,3,24.5
Andre Drummond,3,75.4
Ömer Aşık,5,20.9
Mitch Kupchak,4,27.1
Deron Williams,4,77.3
Courtney Lee,3,39.3
Ron Anderson,3,24.2
Dwight Powell,3,46.2
Larry Nance,4,109.6
Kelvin Cato,3,28.6
Kelly Oubre Jr.,6,22.2
Jodie Meeks,5,24.3
Chris Boucher,3,23.2
Jerome Williams,3,37.9
Kevin McHale,4,113.0
Brandan Wright,4,26.2
Cuttino Mobley,6,52.2
Steve Stipanovich,4,30.4
Mitch Richmond,3,79.3
Giannis Antetokounmpo,7,109.3
Greg Ballard,3,54.0
Mario Elie,3,48.9
Jamal Mashburn,5,43.7
Antonio McDyess,5,69.8
Scottie Pippen,5,125.1
Jim Paxson,4,53.7
Eric Piatkowski,5,31.0
Robert Reid,3,40.3
Yao Ming,3,65.9
Kenny Carr,3,33.6
Ron Harper,3,65.8
Stacey Augmon,4,43.8
O.J. Mayo,6,21.8
Yao Ming,3,65.9
Kemba Walker,4,59.8
Kevin Porter,3,21.5
Brandon Roy,3,37.4
Beno Udrih,5,31.4
Brendan Haywood,3,43.8
Dell Curry,3,41.5
Klay Thompson,4,55.2
Clifford Robinson,3,89.7
Chris Mullin,4,93.1
Bobby Portis,4,31.1
Jamal Mashburn,5,43.7
Donyell Marshall,5,59.0
Joel Przybilla,5,23.0
Clyde Drexler,4,135.6
Brandon Clarke,3,20.2
Bob Lanier,4,56.1
Rickey Green,4,47.2
Kevin Willis,3,81.8
Blue Edwards,3,24.2
Elden Campbell,4,62.8
T.J. Warren,6,20.9
Rod Higgins,3,37.8
Tom Owens,3,32.9
Andre Miller,3,100.8
Othella Harrington,5,23.1
Vinny Del Negro,5,40.6
Anderson Varejão,5,46.4
Derrick Coleman,3,64.3
John Drew,3,51.2
Wes Unseld,5,35.5
Jakob Poeltl,5,38.7
Kenneth Faried,4,38.8
Dejounte Murray,6,26.0
Sam Cassell,4,87.5
Dana Barros,3,49.6
Dirk Nowitzki,5,206.3
Anthony Parker,3,24.5
Frank Kaminsky,4,15.9
Jason Kidd,3,138.6
Donovan Mitchell,3,44.4
Patrick Ewing,3,126.4
Wesley Person,3,44.0
Hedo Türkoğlu,6,63.3
Rajon Rondo,4,61.8
Brian Shaw,3,23.8
Jeff Malone,3,54.2
Bobby Jackson,3,31.4
Cliff Robinson,3,30.5
Charles Barkley,3,177.2
Norm Nixon,3,47.6
Brian Taylor,3,24.7
José Calderón,3,58.3
Enes Freedom,4,52.8
Jonas Jerebko,6,25.8
Onyeka Okongwu,7,17.7
Theo Ratliff,4,47.9
Gene Banks,3,31.2
Wes Unseld,5,35.5
Tom Chambers,3,79.0
Sam Mitchell,3,41.7
Lindsey Hunter,3,32.9
Terry Mills,3,33.3
Keith Van Horn,4,41.7
Cory Joseph,3,30.7
Tim Hardaway,4,85.0
Derrick McKey,4,61.8
Michael Kidd-Gilchrist,6,21.0
Samuel Dalembert,5,51.3
Delon Wright,4,28.2
Paul Westphal,4,48.4
Zach LaVine,4,32.2
Danny Ferry,3,34.8
Jonas Valančiūnas,6,80.3
Reggie Lewis,4,38.9
Michael Finley,3,85.2
Bam Adebayo,5,50.1
Eric Murdock,3,25.6
Mario Chalmers,3,32.3
Scottie Barnes,4,15.9
Loy Vaught,4,35.8
Stephen Curry,3,135.2
Sean Elliott,3,55.7
De'Aaron Fox,5,29.6
Craig Ehlo,4,41.2
Bob Gross,3,26.9
Tracy Murray,3,24.1
Sleepy Floyd,3,50.6
Mikki Moore,4,22.5
Terance Mann,4,18.5
Jerry Sichting,4,21.2
Dwyane Wade,5,120.7
Pervis Ellison,4,21.8
Larry Nance,4,109.6
Dan Roundfield,4,65.2
Matt Harpring,4,41.9
DeMarcus Cousins,4,46.8
Rodney Rogers,3,38.8
Mark Olberding,5,42.9
Bob McAdoo,5,39.9
Mychal Thompson,4,59.1
DeMar DeRozan,6,101.4
Jamal Crawford,4,60.7
Brandan Wright,4,26.2
George Hill,3,71.0
Shaun Livingston,3,29.9
Juwan Howard,4,59.4
Russell Westbrook,3,110.6
Eric Gordon,3,41.1
Jimmy Butler,3,115.0
Vlade Divac,5,96.4
Michael Smith,3,23.4
Malik Rose,3,26.5
Chris Webber,3,84.7
Yao Ming,3,65.9
Aaron McKie,4,40.0
Damon Jones,3,28.0
Erick Dampier,4,52.7
Sidney Moncrief,5,90.3
Luis Scola,4,45.7
Andre Iguodala,5,100.4
Delon Wright,4,28.2
Chris Paul,3,209.4
Franz Wagner,3,15.7
Ron Harper,3,65.8
Dave Twardzik,5,21.8
Jerry Sichting,4,21.2
Larry Bird,3,145.8
Tim Hardaway Jr.,6,30.3
Clemon Johnson,4,25.5
George McGinnis,4,27.6
P.J. Brown,6,89.8
Cory Joseph,3,30.7
