prompt,prompt_len,target
Morrow,3,0
Curtice,3,0
Moody AFB,3,0
Annawan,3,0
California Intercontinental University,5,1
Ector County,4,0
Lanark,3,0
Texas A&M College of Agriculture and Life Sciences,11,0
West Park,3,0
Academy of Chinese Culture and Health Sciences,8,1
Quaker City,4,0
Mono Lake,3,1
Boothwyn,3,0
Jackson Lake (Georgia),6,0
Experiment,2,0
Texas Tech University College of Human Sciences,8,0
Castaic,4,1
Elon University,3,0
Panama City,3,0
Riverbank,3,1
Potters Hill,4,0
Knights Landing,3,1
"California State University, Monterey Bay",7,1
Orange Grove,3,0
Douglas City,3,1
Stevenson Ranch,4,1
Santa Maria,3,1
King Mountain Wind Farm,5,0
Saranac Lake,5,0
Hanover Park,4,0
Running Springs,3,1
West Modesto,3,1
Weston Mills,4,0
Sun Village,3,1
Bing Concert Hall,4,1
Biola,3,1
"Cathedral Church of St. Luke (Orlando, Florida)",13,0
Carlock,3,0
Bulloch County,4,0
Solar Star,3,1
El Verano,4,1
Palm Desert,3,1
Foothill Farms,5,1
Momence,3,0
Scotts Valley,4,1
Rancho Santa Margarita,5,1
Terrace Park,4,0
Pompano Beach,5,0
Bing Concert Hall,4,1
Wescosville,4,0
Indian River,3,0
Tulia,3,0
Cameron Park,3,1
Cridersville,4,0
Mayacamas Mountains,5,1
Sultana,4,1
Ford Heights,3,0
Hilmar-Irwin,6,1
Mayfair,3,1
Fair Plain,3,0
Lake Riverside,3,1
Hollister,3,1
Winnie,2,0
Lake Avenue Congregational Church,5,1
Yates City,4,0
East Conemaugh,5,0
Thornville,3,0
Roseboro,3,0
Pasatiempo,4,1
Fort Hood,3,0
New Melones Lake,5,1
La Palma,3,1
Icard,3,0
Minoa,3,0
Mayflower Village,4,1
Big Pine,3,1
Lee,2,0
Daly City,4,1
Isle of Hope,4,0
Upper Lake,3,1
Florida National University,4,0
Loma Rica,4,1
Temescal Mountains,4,1
Brandman University,4,1
Trabuco Canyon,5,1
Barnardsville,4,0
"Florida State University College of Motion Picture, Television and Recording Arts",13,0
Clarke County,3,0
Grandville,3,0
Lynwood,3,1
Del Mar,3,1
Biola,3,1
Tribeca Flashpoint Media Arts Academy,8,0
Hemet,3,1
Ubly,3,0
Needles,3,1
Palm Springs North,4,0
Santa Paula,3,1
Pittsburg,4,1
Yardley,3,0
Bee County,3,0
Mark Taper Forum,5,1
Savannah,2,0
Clovis,3,1
Volusia County,5,0
Belle Center,3,0
Hazel Crest,3,0
Mexico Beach,3,0
Plumas County,4,1
Carleton,3,0
University of Houston–Victoria,6,0
Roslyn Estates,4,0
Albany Technical College,4,0
Walton Park,4,0
Aguanga,3,1
Buena Park,3,1
Irvine,3,1
Braidwood,4,0
North Sarasota,3,0
Coto de Caza,6,1
Laurel University,3,0
Mariposa,3,1
Hawkinsville,4,0
"California State University, San Bernardino",7,1
West Sacramento,3,1
Widener University,4,0
New York County,4,0
Mountain Gate,3,1
Navarro County,4,0
Wellston,3,0
Factoryville,3,0
Wexford County,5,0
Westley,3,1
Hillman,3,0
Almont,3,0
Somis,3,1
West Puente Valley,4,1
California State University San Marcos,6,1
Leona Valley,4,1
Taft Mosswood,5,1
Guerneville,4,1
West Carson,3,1
Kerens,3,0
Sunnyvale,3,1
Mexia,3,0
