prompt,prompt_len,target
Brent,2,0
Taliaferro County,5,0
Moody AFB,3,0
Glens Falls,4,0
Driscoll,3,1
Maple Heights,3,0
K. I. Sawyer,6,0
San Andreas Lake,4,0
Saxapahaw,4,0
Dalworthington Gardens,5,1
Oldsmar,3,0
O'Donnell,4,1
Alger County,3,0
Golden Gate University,4,0
Tekonsha,4,0
South Brooksville,4,0
Blooming Grove,4,1
Grayslake,4,0
Blackshear,3,0
Cross Timber,3,1
Comstock Park,4,0
Claude,2,1
Galveston,3,1
Citrus Springs,3,0
Gray County,3,1
Vidor,3,1
Texas Tech University at Abilene,7,1
Lynwood,3,0
Harbour Heights,4,0
Pasquotank County,5,0
La Grulla,4,1
Boerne,3,1
Stanford,2,0
Shoreacres,3,1
Edinburg,4,1
Levelland,4,1
West Homestead,3,0
North Haven,3,0
Miami County,3,0
Coahoma,4,1
Seagraves,3,1
Coldspring,3,1
Laguna Vista,3,1
McDowell County,4,0
Hughes Springs,3,1
Roby,3,1
Third Lake,3,0
Williamsdale,3,0
Ben Wheeler,3,1
Port Orange,3,0
Hardwick,3,0
Brooklet,3,0
Mertzon,4,1
Morrisdale,3,0
Brazoria County,4,1
Galveston Bay,4,1
San Diego Central Library,5,0
Daniel Baker College,4,1
Bedford,3,1
Broad Creek,3,0
Angelina County,3,1
Sherman,2,1
Gaston County,4,0
Chireno,4,1
Calexico,4,0
Rosemead,3,0
Dunnstown,3,0
California South Bay University,5,0
Kountze,4,1
Siler City,4,0
Settles Hotel,4,1
Horseshoe Bay,4,1
Alachua County,4,0
Grandyle Village,4,0
Addicks Reservoir,4,1
New Chapel Hill,4,1
West County Energy Center,5,0
Pecan Hill,4,1
Hiawassee,5,0
Blue Mound,3,1
Napanoch,4,0
Boyd,2,1
Rule,2,1
Buffalo Gap,3,1
College Station,3,1
Copiague,4,0
Glen Lyon,3,0
Bacon County,3,0
Birch Run,3,0
University of the Incarnate Word,7,1
Williams Tower,3,1
Williamson County,4,1
Lely Resort,4,0
Dallas Christian College,4,1
Illinois College of Optometry,6,0
Red River County,4,1
Adelphi University,4,0
Ferris,3,1
Loving County,3,1
Rouzerville,4,0
Hamilton County,3,0
Bacliff,3,1
Yeagertown,4,0
Haltom City,4,1
Lambertville,3,0
Swedeland,4,0
Ottawa County,3,0
Whitmore Lake,4,0
La Pryor,3,1
Romeoville,4,0
LaDue Reservoir,4,0
Sanilac County,5,0
Round Top,3,0
McCrone Research Institute,5,0
Runge,3,1
Whitacre College of Engineering,6,1
Lake Worth,3,1
Sunny Isles Beach,4,0
Michigan Jewish Institute,4,0
Live Oak County,4,1
Peninsula,3,0
Camp County,3,1
Washington Heights,3,0
Taylor Lake Village,4,1
Roma,2,1
Castle Shannon,3,0
Laingsburg,4,0
Cottle County,4,1
Hutsonville,4,0
South Canal,3,0
Cuddeback Lake,5,0
Hightsville,4,0
Hawkins,3,1
Humboldt County,5,0
Flint,2,0
Freestone County,4,1
Hunters Creek Village,5,1
Caddo Mills,4,1
Nolanville,3,1
Robert Lee,3,1
Barker Reservoir,4,1
Los Fresnos,4,1
Santa Ynez,4,0
Fort Stockton,3,1
DeBary,4,0
Guernsey County,4,0
Lake Jesup,4,0
Oak Ridge North,4,1
Oak Brook,3,0
Winnie,2,1
West Chicago,3,0
Pinewood Estates,4,1
Whitehall,3,0
La Puerta,3,1
Life University,3,0
Southlake,3,1
Brewster County,4,1
Wakulla County,4,0
Sasakawa International Center for Space Architecture,9,1
Manheim,3,0
New York,3,0
Saline,3,0
Lake Fenton,3,0
Lansdale,4,0
Bertie County,4,0
Glenview,3,0
Springtown,3,1
South University,3,0
Valley Mills,3,1
Hays County,4,1
Wright Patman Lake,5,1
Terry County,3,1
Southwest Sandhill,4,1
Columbus,2,0
Denton,3,1
Tyler County,3,1
Rosharon,4,1
Asherton,3,1
Fillmore,3,0
Riverside County,3,0
Mission Bend,3,1
Conshohocken,4,0
Perryton,3,1
Trafford,3,0
Ohio University,3,0
Brownwood,3,1
University of Houston,4,1
Waxahachie,4,1
Remerton,3,0
Spring Arbor,3,0
Holden Heights,4,0
Grand Valley State University,5,0
St. John's Chapel (New York City),12,0
Bee County,3,1
Panorama Village,3,1
One Main Place (Dallas),7,1
Old River-Winfree,7,1
La Paloma,3,1
Chocowinity,4,0
Ochiltree County,5,1
Pettus,4,1
Bryson City,4,0
Bonfield,3,0
Pheasant Run,4,0
Caswell County,4,0
Dollar Bay,3,0
Gholson,4,1
Merrick,3,0
Rockwall County,4,1
East Palatka,4,0
Jamaica Beach,3,1
Everman,3,1
Squirrel Mountain Valley,4,0
Santa Cruz,3,0
Centre County,3,0
Nina,2,1
North Ridgeville,4,0
Graford,3,1
Burt,2,0
Glen Head,3,0
Lamar Institute of Technology,5,1
Mentor-on-the-Lake,8,0
Cataula,3,0
Titus County,3,1
Pinckney,4,0
Dallas Theater Center,4,1
New Square,3,0
Rancho Alegre,4,1
Millbourne,3,0
Knights Landing,3,0
Bailey County,3,1
Lauderdale-by-the-Sea,10,0
Throckmorton County,6,1
Leipsic,4,0
Matador,3,1
Lone Star,3,1
Lorenzo,2,1
Ovens Auditorium,4,0
El Paso,3,1
New Fairview,3,1
Texas Tech University College of Arts & Sciences,9,1
San Saba,3,1
Sylvan Beach,4,0
Dixie Highway,3,0
Archer County,3,1
Young County,3,1
Sasakawa International Center for Space Architecture,9,1
Citrus City,3,1
Westwood Shores,4,1
Wake Village,3,1
University of the Incarnate Word,7,1
Palm Beach Atlantic University,5,0
Muskegon,4,0
Andrews University,3,0
Spring,2,1
Elm Creek,3,1
Youngstown,3,0
Jacobus,3,0
Pemberville,4,0
Winkler County,4,1
Poinciana,4,0
Cochran County,4,1
Walnut Springs,3,1
Josephine,3,1
Leon Valley,3,1
Davidsville,4,0
West Islip,4,0
Copper Canyon,3,1
Caspian,3,0
Fairchilds,3,1
Slaton,4,1
Spring Valley Village,4,1
Westfield Center,4,0
Texas A&M University–San Antonio,9,1
Cold Spring Harbor,4,0
Lolita,3,1
Port O'Connor,5,1
North Lima,3,0
Wallis,2,1
Fowler,3,0
Chowan County,4,0
Coastland University,4,0
Co-Cathedral of the Sacred Heart (Houston),12,1
Fabrica,3,1
Stonewall County,4,1
Roslyn,3,0
Granger Lake,4,1
Granger Lake,4,1
Hidalgo County,4,1
Hickory,3,0
Life University,3,0
Croswell,3,0
Hazel Crest,3,0
Horseshoe Bay,4,1
Weston Lakes,4,1
Haslet,3,1
Red Bluff,3,0
Crandall,3,1
Hotel Texas,3,1
Grand Prairie,3,1
Aurora University,3,0
Midway South,4,1
Sherman,2,1
Lake Waco,3,1
South Vienna,3,0
Moore Haven,3,0
Pearsall,4,1
Hodges University,4,0
Elk Rapids,3,0
New Lebanon,3,0
Keystone Heights,4,0
Marquette County,4,0
Groveport,3,0
Vinings,3,0
Rusk County,4,1
Devine,3,1
Hico,3,1
Nash,2,1
Olympia Centre,3,0
Sunset Valley,3,1
Freestone County,4,1
Canyon,2,1
La Pryor,3,1
Vandling,3,0
Clarkson University,4,0
Cusseta,4,0
Llano Grande,4,1
Sunset Valley,3,1
Ingalls Park,4,0
Rio Hondo,4,1
Valley Springs,3,0
New Chapel Hill,4,1
East Rockaway,4,0
Firthcliffe,4,0
Fisher County,3,1
Snook,3,1
Lockeford,3,0
Music Hall Center for the Performing Arts,8,0
Blackshear,3,0
Jesup,3,0
Poteet,4,1
Chireno,4,1
Milano,2,1
Ector County,4,1
Ford Park,3,1
Doffing,4,1
Lehigh County,4,0
Benzonia,3,0
Van Horn,3,1
Sackets Harbor,4,0
Universal City,3,1
Krugerville,4,1
Cobbtown,4,0
McKinney Acres,4,1
Winnie,2,1
Needville,3,1
Farmers Branch,3,1
The College of Saints John Fisher & Thomas More,10,1
