prompt,prompt_len,target
Mobile,2,1
Snohomish,4,0
Thrall,3,1
Brightwood,3,0
Hockessin,5,0
Cross Hill,3,0
Bronxville,4,0
Waukesha,4,1
Conning Towers Nautilus Park,6,0
Grapeview,3,0
"Proctor's Theatre (Schenectady, New York)",14,0
Ringtown,3,0
Edisto,3,0
Los Altos Hills,4,0
Newellton,4,1
Lockney,3,1
Alexandria City,3,0
State Center,3,1
Kewaskum,4,1
Lake Crescent,3,0
Lakeway,3,1
Camp Pendleton South,4,0
Palmdale,4,0
Waller County,4,1
Hanson County,4,1
Rice Tracts,4,1
Somonauk,4,1
Orchards,4,0
Ruch,3,0
Pingree Grove,4,1
Doniphan,4,1
Arnold Engineering Development Complex,5,1
Parkston,3,1
Barclay,3,0
Bolivar Peninsula,4,1
Lucas,2,1
Brooklyn,2,0
Rocky Mount,3,0
Petaluma,4,0
Christ Church Cathedral (New Orleans),8,1
Olivia Lopez de Gutierrez,5,1
Stephenson County,4,1
Cameron Park,3,0
Carthage,3,1
La Selva Beach,4,0
Pierce County,3,0
Zebulon,3,0
St. Henry,4,0
Madera Community College,5,0
Spencerport,3,0
Roff,3,1
Waukon,4,1
Villa Ridge,3,1
Marshall B. Ketchum University,7,0
Minong,3,1
West Point Jewish Chapel,5,0
Hampton University,3,0
Danube,3,1
Aptos Hills-Larkin Valley,9,0
Plumerville,3,1
Eupora,3,1
Assumption,2,1
McAlester,4,1
Bokchito,3,1
Bay Area Medical Academy,5,0
Boise City,4,1
Diablo Grande,3,0
Tatamy,3,0
"Cathedral of Christ the Light (Oakland, California)",12,0
Fennimore,5,1
Channel Islands Beach,4,0
Rio Dell,3,0
Maranatha Bible School,6,1
Norman County,3,1
Eudora,4,1
North Lakeport,4,0
De Leon Springs,4,0
San Jacinto,3,0
Snydertown,4,0
Kansas State University Salina Aerospace and Technology Campus,10,1
Shark River Hills,4,0
Monterey,3,0
Northwest Technical College,4,1
Angwin,3,0
Cotati,3,0
Emerging Pathogens Institute,5,0
Buena Vista City,4,0
Centre,2,1
Rancho Viejo,4,1
North Lindenhurst,4,0
Citrus City,3,1
Whitewright,3,1
South Barrington,3,1
Pe Ell,3,0
Kasson,3,1
Binghamton,4,0
Garnett,3,1
Van Horn,3,1
Modesto,3,0
Bedford Heights,4,0
Tunica Resorts,4,1
Herington,4,1
McComb,3,1
Blountstown,4,1
Weston Lakes,4,1
Tompkinsville,4,1
University of St. Thomas,6,1
Escatawpa,4,1
Lake Monroe (Florida),6,0
Blennerhassett,6,0
Damiansville,5,1
Farina,3,1
Mosses,3,1
North Auburn,3,0
Fortuna,3,0
Hilltop,3,0
Clarksdale,4,1
Vance,3,1
Wheeler,2,1
Hand County,3,1
Harris–Stowe State University,7,1
Northern Oregon Coast Range,5,0
Lake Del Valle,4,0
Twisp,3,0
Malibu,3,0
Island Heights,3,0
Leisure Village West,4,0
Esperance,3,0
Graham School of Continuing Liberal and Professional Studies,9,1
Lagunitas-Forest Knolls,7,0
Moores Hill,4,0
University of Illinois at Chicago College of Dentistry,9,1
Lobelville,4,1
Hackneyville,4,1
"California State Polytechnic University, Pomona",7,0
New Kingstown,4,0
Cedar Flat,3,0
Kirksville,4,1
Forrest County,3,1
North Central Missouri College,5,1
La Vernia,4,1
West Orange,3,1
Racine County,4,1
Barber County,3,1
Taylors Falls,4,1
Wonder Lake,3,1
Marylhurst University,5,0
Battell Chapel,4,0
Hannibal-LaGrange University,8,1
Raven,2,0
North Richmond,3,0
Fort Clark Springs,4,1
Scotts Flat Reservoir,5,0
Eudora,4,1
South Pottstown,4,0
Metairie,3,1
Cannon Ball,3,1
East Texas Baptist University,5,1
Lake Dalecarlia,5,1
Darrington,3,0
Saint Mary's University of Minnesota,8,1
Dimmitt,3,1
Guerneville,4,0
South Coast Repertory,5,0
Lincoln Center,3,1
San Perlita,4,1
Ferry Pass,3,1
Gibraltar Dam,4,0
Kasson,3,1
Fort Towson,4,1
Conneaut Lake,4,0
New Lisbon,3,1
Universal City,3,1
Meadowlakes,4,1
Blackstone Library,4,1
East Moline,4,1
Pittsburg State University,6,1
Haileyville,4,1
Reno,2,0
Ocean Springs,3,1
Villa Hills,3,0
Harney County,4,0
Ashland City,4,1
Linn Valley,3,1
Brewer,3,0
Howey-in-the-Hills,9,0
Grenada Lake,4,1
West Hempstead,4,0
Bracey,3,0
Somerville,3,0
Duquesne,4,0
Mills County,3,1
Bellair-Meadowbrook Terrace,8,0
Herguan University,4,0
Welsh,2,1
Hayfork,3,0
Murrieta,3,0
Northwestern Oklahoma State University,6,1
Richland County,4,0
Calvert,3,1
Hester,3,1
O'Fallon,5,1
Chester Center,3,0
Squaw Valley,4,0
Olla,3,1
Trinity Washington University,4,0
Big Lake,3,1
Lewis County,3,0
Lavaca County,4,1
Kenilworth,4,0
Shoal Creek,4,1
Mantachie,4,1
Calumet City,4,1
"Lyric Theatre (Kansas City, Missouri)",9,1
South Mountain (eastern Pennsylvania),7,0
New Rockford,3,1
Ludlow,3,0
Vet Tech Institute at Bradford School,7,0
Grimsley,4,1
O'Brien County,5,1
Lake Artemesia,4,0
Como Lake (Minnesota),6,1
Our Lady of Mt. Lebanon-St. Peter Cathedral (Los Angeles),16,0
Fielding Graduate University,5,0
Menomonee Falls,5,1
Burwell,3,1
Kelso,3,0
Beloit,3,1
Castle Hayne,4,0
University of South Alabama,5,1
Modoc County,4,0
"St. Mary's University, Texas",9,1
Pekin,3,1
Alliant International University,5,0
Lake Ozark,3,1
Stockdale,3,1
Val Verde,3,0
Monahans,4,1
Roberts County,3,1
MacArthur,3,0
Cincinnati Music Hall,4,0
Audubon County,4,1
Alfred University,3,0
Fond du Lac,4,1
LaMoure,4,1
Cedarville University,4,0
Penn Valley,3,0
Walden University,4,1
Slaughterville,4,1
Caledonia,3,1
Samuel Merritt University,4,0
Golden Hills,3,0
North Central University,4,1
Refugio,3,1
West Brattleboro,5,0
Lake Winnebago,4,1
Villa Grove,3,1
Cleora,3,1
Indiantown,3,0
Scissors,2,1
Duenweg,4,1
North Lewisburg,4,0
Saybrook,3,1
Shawsville,4,0
Zearing,3,1
Nags Head,4,0
Ramsey County,4,1
Devola,3,0
Los Ebanos,5,1
Trezevant,4,1
Santa Rosa Range,4,0
Chapman,2,1
Neptune Beach,3,0
Williston,3,1
Chapman,2,1
La Mirada,4,0
Osino,3,0
Minneapolis,2,1
Suamico,3,1
Lake Zurich,3,1
Mellette County,4,1
Primghar,3,1
North Beach Haven,4,0
Hallock,3,1
Erlanger,4,0
Pelham,3,1
Shenorock,4,0
Sparkill,3,0
Sheppton,4,0
Breckinridge Center,5,1
Kieler,3,1
Rockwall County,4,1
Pratt County,4,1
Glenview,3,1
Pe Ell,3,0
Cuero,3,1
Planada,3,0
Vails Gate,4,0
Kinney County,4,1
San Luis Obispo,4,0
Perquimans County,5,0
Gladeview,4,0
St. Meinrad,5,1
Darmstadt,3,1
Yoakum County,4,1
New Orleans,3,1
Green Village,3,0
Paynesville,4,1
Crooks,3,1
Metcalfe County,4,1
Rockingham,4,0
Rockmart,3,0
Orange,2,0
Palos Verdes Estates,6,0
Skokie Lagoons,5,1
Lower Brule,4,1
Excelsior Springs,4,1
West Peoria,3,1
Terry County,3,1
Meriwether County,6,0
St. Paul,4,1
Canastota,4,0
Discovery Bay,3,0
Tinton Falls,4,0
Brook,2,1
Big Wells,3,1
Silver Lake (Mojave),7,0
Old Bethpage,4,0
Louisville,2,0
Edgewood,3,0
Big Spirit Lake,4,1
Coulee Dam,4,0
Falls County,3,1
Audrain County,4,1
James R. Thompson Center,6,1
Tunkhannock,5,0
Warrick County,4,1
Okanogan,4,0
Garza-Salinas II,7,1
Omaha Community Playhouse,4,1
Innovation,2,0
Thibodaux,4,1
Silverdale,3,0
Upper Grand Lagoon,4,1
Crandon,4,1
Herington,4,1
University Place,3,0
Arcadia University,4,0
Lake Avenue Congregational Church,5,0
Potter Lake,3,1
Colbert County,4,1
El Verano,4,0
Ogle County,4,1
Sheldon,2,1
San Leandro,3,0
Pike Creek Valley,4,0
Victorville,3,0
Bayview,3,0
Glades County,4,0
Centerton,3,1
Danville City,4,0
Hot Springs,3,1
"Gull Lake (Cass County, Minnesota)",10,1
Jackson,2,1
Imperial Beach,3,0
Coolville,3,0
Strattanville,4,0
South Glens Falls,5,0
North Hudson,3,1
Prior Lake,3,1
IBM Almaden Research Center,6,0
Lone Rock,3,1
Hillside,3,1
Balcones Heights,4,1
Yellow Medicine County,4,1
West Carroll Parish,4,1
Monte Sereno,4,0
Chireno,4,1
Sneads,3,1
Alvin,2,1
Corder,3,1
San Leandro,3,0
Lavaca County,4,1
Havelock,3,0
Hales Corners,4,1
Bayou Blue,4,1
Beaverton,3,0
Framingham State University,5,0
Milano,2,1
Griffith,3,1
Evansdale,3,1
Yountville,4,0
Pooler,3,0
Mississippi Valley State University,5,1
Junction City,3,1
One Main Place (Dallas),7,1
Zapata County,4,1
Anna Maria,3,0
Co-Cathedral of St. Joseph (Brooklyn),12,0
Fontbonne University,4,1
Immaculata University,4,0
Story County,3,1
Hemphill County,4,1
LaSalle Parish,4,1
Fouke,3,1
Rancho Calaveras,5,0
Harkers Island,5,0
Young County,3,1
Pasadena Playhouse,4,0
Fernley,3,0
Churchill County,4,0
Fort Pierre,3,1
Waite Hill,4,0
Good Thunder,3,1
Moraine,3,0
Roan Mountain,4,0
Boulder Creek,3,0
Beaumont,3,1
Hill Country Village,4,1
Terrace Heights,4,0
Pataskala,4,0
Brockway,3,0
Tyndall,4,1
Nauvoo,3,1
Point Place,3,1
North Freedom,3,1
Civic Theatre (New Orleans),7,1
DeSoto,3,1
Suisun Bay,5,0
Ferrelview,4,1
Crooks,3,1
Gardendale,3,1
Camas,3,0
Nichols Hills,4,1
Fort Cobb,3,1
Youngsville,4,1
Soulsbyville,4,0
Fairfield Bay,4,1
Strafford,4,1
Vandling,3,0
St. Augustine Beach,5,0
Bethel Island,4,0
Civic Center Music Hall,5,1
Rosita,3,1
Bandera County,4,1
Reagan County,4,1
Jefferson Davis Parish,4,1
"Sacred Heart Church (Bowie, Maryland)",10,0
Holiday Shores,3,1
Santa Rosa,3,0
Oppelo,3,1
Adelphi University,4,0
Godley,3,1
Crystal Lake,3,1
North Wildwood,4,0
Gig Harbor,3,0
Atwood Lake,4,0
Earle,3,1
Orofino,3,0
Crystal Lawns,4,1
Health Education Campus,4,0
Bodega,3,0
Two Rivers,3,1
Theresa,2,1
Esperance,3,0
Encinitas,3,0
Merigold,3,1
Sacred Heart,3,1
Phenix City,4,1
Illinois College of Optometry,6,1
Vermilion Parish,5,1
North Beach Haven,4,0
Westlake Village,4,0
Selby,3,1
Dakota,2,1
New Kent,3,0
Mower County,4,1
German Valley,3,1
Grape Creek,3,1
Carmel Valley Village,5,0
Eagle Lake (Lassen County),8,0
Hot Spring County,4,1
Bagley,3,1
Willow Park,3,1
Sorrento,3,1
Orleans Parish,4,1
Shoreacres,3,1
Cannon County,3,1
Millbury,3,0
Hennepin,4,1
Alta,2,1
"Cathedral of Saint Paul (Birmingham, Alabama)",11,1
Frederick S. Pardee RAND Graduate School,9,0
Casco,3,1
Bonham,3,1
Southwest City,3,1
South La Paloma,4,1
Glide,2,0
Wheatfield,3,1
Little San Bernardino Mountains,5,0
Carterville,3,1
Griggs County,4,1
Saylorville,4,1
Cedar Creek,3,1
Eureka,2,0
Gautier,3,1
Wheaton College,4,0
Sonoma State University,5,0
Lake Katrine,4,0
Lake Padden,4,0
Gonzaga University,4,0
Circleville,3,0
Glasford,3,1
Lexington City,3,0
Greers Ferry,4,1
Palo Alto County,4,1
Blue Mountain Lake (Arkansas),7,1
Farrell,3,0
Evarts,4,0
Hydesville,4,0
Pennwyn,3,0
Fife,3,0
Hayes County,3,1
Follansbee,5,0
Rock Mills,3,1
Chester Gap,3,0
Lovettsville,5,0
Crown Point,3,1
New Springfield,3,0
Connecticut Farms,3,0
Knapp,3,1
Grapevine Mountains,4,0
Galatia,3,1
Hockessin,5,0
Patrick Springs,3,0
Schaller,3,1
Summertown,3,1
Salem,2,0
Pompton Lakes,4,0
"California State University, Los Angeles",7,0
Joe Pool Lake,4,1
Du Quoin,4,1
Pana,3,1
Holstein,2,1
Halstead,4,1
Ansley,3,1
Potomac,4,0
Plum Grove,3,1
Hokes Bluff,4,1
Cotton County,3,1
Maltby,4,0
Clarksdale,4,1
Lake Brownwood,4,1
Pearlington,3,1
Mims,3,0
Lake Kampeska,5,1
