prompt,prompt_len,target
Horse Pasture,3,1
Farmersville,3,0
Nags Head,4,1
Ceres,3,0
Southside Place,4,0
Sultan,2,0
Fuller Acres,3,0
Canastota,4,1
Lincoln Center,3,0
Lake Lorraine,3,0
Malibu,3,0
Glenview,3,0
Cathlamet,4,0
Wrights Lake,4,0
Lake Kanawauke,6,1
Mims,3,1
Mountainburg,3,0
Sewell,3,1
Traphagen School of Fashion,7,1
Oak View,3,0
Blue Ball,3,1
Hempstead County,4,0
Craig County,3,0
New Madison,3,1
Lake Lorelei,4,1
Fulton County,4,1
Altoona,3,1
Guadalupe County,4,0
Tahoe Vista,4,0
Willow Grove,3,1
Lake Crabtree,4,1
Osceola Mills,5,1
Belvedere Park,4,1
Nicollet,4,0
World Golf Village,4,1
Grenloch,3,1
Channel Islands Beach,4,0
Running Springs,3,0
Big Bear City,4,0
Ottawa Hills,3,1
Saxonburg,3,1
Feather Sound,3,1
Ogle County,4,0
Clairton,3,1
Inglewood,3,0
Hillside,3,0
Upper Grand Lagoon,4,0
Rogers Dry Lake,4,0
Kewaskum,4,0
Yarrow Point,4,0
Timberville,3,1
Badin,3,1
Lawnton,3,1
Washington University in St. Louis,8,0
Venice,2,1
St. Basil Catholic Church,6,0
UCLA Luskin School of Public Affairs,8,0
Cutler Bay,4,1
Riviera,3,0
Washington Grove,3,1
Brooklawn,3,1
Country Walk,3,1
Danielson,3,1
Rosman,3,1
Reidland,3,0
Trinity,2,1
Walla Walla County,4,0
Baker City,3,0
LaSalle Parish,4,0
Cherry Hill Mall,4,1
Marlin,3,0
Searcy County,4,0
North Beach Haven,4,1
Olyphant,4,1
Welaka,3,1
Dyersburg,4,0
Donner Lake,4,0
Kelseyville,3,0
Fontbonne University,4,0
Yardville,3,1
Kittitas,3,0
Temescal Valley,4,0
East Douglas,3,1
Rose Lodge,3,0
Academy of Art University,5,0
Griswold,3,0
Bastyr University,4,0
Vass,3,1
Peppermill Village,4,1
Governors State University,5,0
Kennesaw State University,6,1
Newfoundland,3,1
Maynardville,4,1
"Cathedral of Christ the Light (Oakland, California)",12,0
Bogota,3,1
Penn Valley,3,0
Walton Hills,4,1
Brook Park,3,1
San Emigdio Mountains,5,0
San Rafael,3,0
Delaware Water Gap,4,1
Salem State University,4,1
Rockmart,3,1
Mannington,3,1
Mountain Lodge Lake,4,1
East Rochester,3,1
Port Orange,3,1
Falls Church,3,1
Amery,3,0
Ash Grove,3,0
Arcadia University,4,1
Hazardville,3,1
Carrollwood,3,1
Vincent,2,0
University of Southern Indiana,5,0
Fielding Graduate University,5,0
Salineville,4,1
Lake Norman of Catawba,7,1
Valley Cottage,3,1
Vanceburg,4,1
Vermont State University Johnson (Johnson State College),10,1
Welsh,2,0
Nichols Hills,4,0
Cuba City,3,0
Wynne,3,0
The Hideout Inn,5,0
Grand Mound,3,0
Esperance,3,0
University of Georgia College of Environment & Design,9,1
Gardena,3,0
Rose Lodge,3,0
Barnum Island,4,1
Gananda,3,1
Hockessin,5,1
Satsop,4,0
San Leon,3,0
River Grove,3,0
Vergennes,4,1
Howey-in-the-Hills,9,1
East Providence,3,1
Cypress Gardens,3,1
Cedar Lake (New York),7,1
Towson University,4,1
Seabrook Beach,4,1
R. D. Bailey Lake,7,1
Kanuga Conference Center,5,1
Solar Star,3,0
Lake Winnibigoshish,7,0
South Lebanon,3,1
California State University,4,0
Ladd,2,0
Deans,3,1
Grundy County,4,0
High Shoals,4,1
San Luis Obispo County,5,0
Dania Beach,4,1
Briarcliffe Acres,5,1
Mack,2,1
South Mount Vernon,4,1
San Perlita,4,0
Mount Orab,4,1
Reinhardt University,4,1
South Hill,3,0
Auberry,4,0
McDonough,4,1
Connecticut Farms,3,1
Honeoye Falls,5,1
North Powder,3,0
Central Square,3,1
Krazy Kat Klub,5,1
Temple,2,0
North Apollo,3,1
Clermont chain of lakes,6,1
West Pittston,4,1
Cape Neddick,5,1
Olanta,3,1
Asbury Park,4,1
University of Mount Union,5,1
"University of California, Merced",6,0
Highland Beach,3,1
Citrus City,3,0
Loup County,4,0
Commercial Point,3,1
Glassmanor,4,1
Stutsman County,5,0
Suncrest,3,0
New Kingstown,4,1
Santee,3,0
Gibraltar Dam,4,0
Benton Park,4,0
Civic Opera House (Chicago),7,0
Kingstown,3,1
Dysart,3,0
Kenner,3,0
Eastern Mennonite University,5,1
Sunnyvale,3,0
McCulloch County,5,0
Hudson County,3,1
Porterville,3,0
Pinebluff,4,1
Daniel B. Warnell School of Forestry and Natural Resources,12,1
University Heights,3,1
Rocklin,3,0
Yankton County,5,0
Muscogee County,5,1
Rosemead,3,0
Glenvar Heights,4,1
Bay Point,3,0
Gold Key Lake,4,1
La Grande,3,0
Gaiety Theatre (New York City),9,1
Roger Williams University,4,1
Northampton County,4,1
Beach Haven,3,1
Sheldon,2,0
Elim,3,1
Saint Louis University,4,0
Kettleman City,5,0
Uniondale,3,1
Pooler,3,1
Eastman Lake,4,0
Corfu,3,1
Pottawattamie County,7,0
"Immanuel Presbyterian Church (Los Angeles, California)",11,0
St. Michaels,4,1
Presidential Lakes Estates,4,1
East Alton,3,0
Effort,2,1
Colesburg,4,0
Avery County,3,1
Lampasas,3,0
Bronxville,4,1
Ocean View,3,1
Yoakum County,4,0
Revere,3,1
Shenandoah Heights,4,1
Dane,2,0
Paulding County,4,1
Lucas County,3,1
Mississippi College,3,0
Carson Mansion,3,0
Sanatoga,3,1
Cedar Mill,3,0
Mayodan,3,1
Spring Ridge,3,1
Churchill County,4,0
McCracken County,5,0
Emsworth,4,1
West Pittston,4,1
Cross Lanes,3,1
Tiburon,3,0
Marshall B. Ketchum University,7,0
West Hurley,3,1
Mayo,2,1
Spirit Lake,3,0
De Graff,3,1
Cresskill,4,1
One St. Petersburg,5,1
Strawberry,2,0
Meadowbrook,4,1
Ronda,3,1
Asotin County,4,0
Atglen,3,1
Eastland,3,0
New Hope Baptist Church (Newark),8,1
Damiansville,5,0
South Nyack,4,1
Pelham,3,0
Weston,3,1
Homeacre-Lyndora,7,1
Bristol University,3,0
Terryville,3,1
Blue Mountain Lake (Arkansas),7,0
Miami Beach,3,1
St. Augustine's Church (Bronx),11,1
Clatsop County,5,0
Diaz,2,0
North Philipsburg,4,1
National Normal University,4,1
Shenandoah County,4,1
Marlow Heights,4,1
Indian River Shores,4,1
North Auburn,3,0
Wayne Lakes,3,1
LaSalle Parish,4,0
Wittenberg University,4,1
Gautier,3,0
Smoke Rise,3,0
Saratoga,3,0
Pacolet,3,1
Zephyrhills North,5,1
Immaculata University,4,1
Trumansburg,5,1
Reston,3,1
George Fox University,4,0
Alburtis,4,1
Albert City,3,0
Mulga,3,0
Farrell,3,1
Descanso,3,0
Tolono,3,0
Menard County,4,0
Vermont State University Castleton (Castleton University),11,1
Crooksville,4,1
Cudjoe Key,4,1
Harrisburg,3,1
Owyhee,4,0
Demarest,4,1
Soddy-Daisy,5,1
Strathmoor Village,5,1
Academy of Art University,5,0
Mecca,3,0
Price County,3,0
Plover,3,0
Pandora,2,1
Crisfield,3,1
Claysburg,4,1
Schuyler County,4,1
Concord University,3,1
Duenweg,4,0
Cutchogue,4,1
Upper Iowa University,4,0
Sonterra,3,0
Blue Mound,3,0
Somerville,3,1
Summersville,4,1
Crooked River Ranch,5,0
Quartz Hill,3,0
Whatcom County,4,0
Casa Loma,3,0
Defiance County,4,1
Knightsen,3,0
Highland-on-the-Lake,8,1
Bull Run Mountains,4,1
Green Springs,3,1
Pana,3,0
Macopin,4,1
East Palo Alto,4,0
Bloomville,3,1
Urbana University,4,1
Pixley,3,0
Passaic,3,1
Mark Twain Lake,4,0
Canal Lewisville,4,1
Candlewood Lake,4,1
"Landmark Theatre (Syracuse, New York)",9,1
Badwater Basin,4,0
Esmeralda County,4,0
Olpe,3,0
Tatamy,3,1
White Knoll,3,1
Gasconade County,5,0
Edmonston,4,1
Ringwood,3,1
Lafourche Crossing,5,0
Gove County,4,0
Colesburg,4,0
"St. Mark's Episcopal Cathedral, Seattle",10,0
Aromas,3,0
Oakbrook,3,1
Whitesville,3,0
Erlanger,4,1
Churchville,3,1
Privateer,3,1
Texas Tech University College of Architecture,7,0
Schurz,3,0
Zapata County,4,0
Nicasio Reservoir,5,0
Safety Harbor,3,1
Florida A&M University,6,1
Oatfield,3,0
Ludlow,3,1
Hardwick,3,1
Ranson,3,1
North Madison,3,1
Glen Head,3,1
Cathedral Lakes,4,0
Cleona,3,1
Atwood Lake,4,1
Blue Hole (Castalia),7,1
Dalzell,3,1
Terrace Heights,4,0
Chester Center,3,1
Moorpark,3,0
George Mason University,4,1
Willow Oak,3,1
Searles Valley,4,0
St. Martin Parish,5,0
Lincoln University,3,1
Trumbauersville,6,1
Kenilworth,4,1
Pine County,3,0
Crazy Lake,3,0
Waynesboro,4,1
Upper Nyack,4,1
Old Dominion University POD,5,1
Bradenton Beach,4,1
Stanford University,3,0
St. Paul's Catholic Church (San Francisco),12,0
Cos Cob,3,1
William Jessup University,5,0
Stottville,4,1
Hyndman,4,1
St. Lawrence,4,1
Springs,3,1
Gardendale,3,0
Piedmont University,4,0
State University of New York at Fredonia,9,1
Canyon City,3,0
China Lake Acres,4,0
Churchill County,4,0
Highland Springs,3,1
Hayden Lake,3,0
Bronxville,4,1
Dyersburg,4,0
University of Western States,5,0
Texas A&M College of Liberal Arts,9,0
Bryn Athyn,5,1
Matawan,3,1
New Melones Lake,5,0
Boulder Creek,3,0
Orchards,4,0
Old Forge,3,1
