prompt,prompt_len,target
Goliath,3,1
The Imperial March,4,0
I Sold My Soul on eBay,7,1
Dr Terror's House of Horrors,9,0
Young Man with a Horn,6,0
Two Occasions,4,0
Mutiny on the Bounty,6,0
Do Men and Women Really Speak Different Languages?,10,1
(Il tuo vizio è una stanza chiusa e solo io ne ho la chiave),19,0
In Fabric,3,0
The Browning Version,4,0
You'll Be Mine,6,0
Play,2,0
House of Gold,4,0
The Last Tycoons: The Secret History of Lazard Frères & Co,17,1
"The Price of Silence: The Duke Lacrosse Scandal, the Power of the Elite, and the Corruption of Our Great Universities",24,1
ASAP,3,0
You and Me Forever,5,1
NYPD Red 3,6,1
FourFiveSeconds,4,0
Dress Your Family in Corduroy and Denim,9,1
"So Long, and Thanks for All the Fish",10,0
Shed a Light,5,0
The Great Indian Novel,5,1
No Talking,3,1
14th Deadly Sin,6,1
In Odd We Trust,5,1
If I Never See Your Face Again,8,0
You Can't Fix This,7,0
Diary of a Bad Year,6,1
How to Survive a Robot Uprising:,9,1
Song Reader,3,1
The Return of the King,6,1
If This Is It,5,0
Many Waters,3,1
The Golem's Eye,6,1
Kamillions,4,0
The Shortcut,3,0
"Paris, Tokyo",4,0
Roots: The Saga of an American Family,9,1
Memories of Ice,4,1
Attack of the Clones,6,1
Manasantha Nuvve,7,0
"Confidence Men: Wall Street, Washington, and the Education of a President",15,1
I Learned It From You,6,0
The Journey,3,0
Will Any Gentleman...?,5,0
The Crooked Road,4,0
Beyond the Door,4,0
Better Than Chocolate,4,0
At the Center of the Storm: My Years at the CIA,13,1
Then We Came to the End,7,1
Buck Rogers: A Life in the Future,9,1
Drug Addicts,4,0
How the Quest for the Ultimate Learning Machine Will Remake Our World,13,1
Dead or Alive: Final,6,0
September Storm,3,0
Empire of Ivory,4,1
Despacito (remix),8,0
Naked in Death,4,1
The Tombs,4,1
Sharpe's Triumph,6,1
Tamsin,4,1
The Fifth Season,4,1
Deuta,3,0
Wilco: Learning How to Die,8,1
Do You Think About Me,6,0
The Romancing Star,5,0
Asha Jyoti,5,0
Song of Susannah,5,1
We Write the Story,5,0
Jealous[of]Coronavirus,6,0
Every Heart a Doorway,6,1
Sycamore Row,4,1
Darkwing,3,1
Chal Tike Dusta Heba,8,0
Death of Samantha,4,0
Vanaja Girija,5,0
Minbo,3,0
"Bush at War, Part III",7,1
Rage to Love,4,0
Eidee Kadaida,6,0
Washington: A Life,5,1
Crunk Muzik,5,0
Head over Heels,4,0
Konstantine,3,0
Wish You Well,4,0
