prompt,prompt_len,target
"Calculate 63 - 5 =
A.57 B.59 C.68 D.58",26,0
"Calculate 611 - 562 =
A.59 B.48 C.49 D.50",29,0
"Calculate 782 - 843 =
A.-60 B.61 C.-62 D.-61",29,0
"Calculate 765 + 83 =
A.858 B.840 C.856 D.848",32,0
"Calculate 672 + 0 =
A.682 B.664 C.672 D.680",31,0
"Calculate 6 * 15 =
A.90 B.89 C.100 D.91",27,1
"Calculate 284256 / 564 =
A.504 B.514 C.508 D.500",36,1
"Calculate 94 - 744 =
A.-650 B.650 C.-649 D.-651",32,1
"Calculate 601 - 3 =
A.598 B.542 C.654 D.608",31,1
"Calculate 35432 / 824 =
A.43 B.53 C.44 D.42",31,1
"Calculate 34 - 19 =
A.14 B.25 C.15 D.16",27,0
"Calculate 7 * 182 =
A.1274 B.1397 C.1284 D.1151",35,1
"Calculate 98 - 24 =
A.67 B.81 C.74 D.84",27,0
"Calculate 145290 / 835 =
A.184 B.176 C.172 D.174",36,0
"Calculate 414 / 3 =
A.138 B.137 C.139 D.148",31,1
"Calculate 75 - 72 =
A.3 B.2 C.13 D.4",24,1
"Calculate 2 + 184 =
A.184 B.188 C.196 D.186",31,0
"Calculate 64 - 96 =
A.-32 B.-31 C.-33 D.32",27,1
"Calculate 40 * 567 =
A.22448 B.22680 C.22912 D.22690",40,0
"Calculate 29 - 0 =
A.29 B.28 C.30 D.39",26,1
"Calculate 86 - 690 =
A.-604 B.-603 C.-605 D.604",32,1
"Calculate 7 * 71 =
A.501 B.507 C.497 D.493",30,0
"Calculate 13 - 7 =
A.6 B.7 C.5 D.16",23,1
"Calculate 81 + 7 =
A.88 B.89 C.87 D.98",26,1
"Calculate 42 + 2 =
A.44 B.43 C.45 D.54",26,1
"Calculate 675 + 486 =
A.1050 B.1272 C.1161 D.1171",37,0
"Calculate 40 + 286 =
A.336 B.322 C.330 D.326",32,0
"Calculate 3 + 94 =
A.96 B.107 C.97 D.98",27,0
"Calculate 298 * 27 =
A.8056 B.8104 C.7988 D.8046",36,0
"Calculate 922 - 29 =
A.893 B.885 C.901 D.903",32,1
"Calculate 96 - 14 =
A.82 B.81 C.83 D.92",27,1
"Calculate 25 + 13 =
A.38 B.37 C.39 D.48",27,1
"Calculate 720 * 64 =
A.45616 B.46080 C.46544 D.46090",40,0
"Calculate 3 * 627 =
A.1891 B.1866 C.1881 D.1896",35,0
"Calculate 461 - 170 =
A.301 B.291 C.319 D.263",33,0
"Calculate 917 * 84 =
A.77038 B.69957 C.84099 D.77028",40,0
"Calculate 649 * 959 =
A.622391 B.622401 C.678956 D.565826",45,1
"Calculate 52 - 10 =
A.41 B.52 C.42 D.43",27,0
"Calculate 0 * 501 =
A.0 B.10 C.1 D.-1",24,1
"Calculate 575 - 3 =
A.572 B.582 C.628 D.516",31,1
"Calculate 4 * 91 =
A.364 B.368 C.374 D.360",30,1
"Calculate 31 * 6 =
A.188 B.196 C.184 D.186",30,0
"Calculate 8 * 372 =
A.2986 B.3005 C.2947 D.2976",35,0
"Calculate 33 - 56 =
A.23 B.-24 C.-22 D.-23",27,0
"Calculate 1 + 809 =
A.820 B.818 C.810 D.802",31,0
"Calculate 127512 / 924 =
A.138 B.137 C.139 D.148",36,1
"Calculate 1102 / 58 =
A.20 B.18 C.29 D.19",29,0
"Calculate 0 + 7 =
A.8 B.7 C.6 D.17",22,0
"Calculate 9 - 10 =
A.-1 B.-2 C.1 D.0",22,1
"Calculate 9 * 90 =
A.818 B.820 C.802 D.810",30,0
"Calculate 310 - 5 =
A.305 B.315 C.277 D.333",31,1
"Calculate 3 - 29 =
A.-27 B.-25 C.-26 D.26",26,0
"Calculate 35568 / 144 =
A.247 B.257 C.249 D.245",35,1
"Calculate 63 * 4 =
A.252 B.262 C.250 D.254",30,1
"Calculate 5 + 2 =
A.8 B.17 C.7 D.6",22,0
"Calculate 39600 / 880 =
A.45 B.46 C.55 D.44",31,1
"Calculate 1 + 7 =
A.8 B.7 C.18 D.9",22,1
"Calculate 8 - 18 =
A.10 B.-9 C.-10 D.-11",25,0
"Calculate 47 + 52 =
A.99 B.100 C.98 D.109",29,1
"Calculate 58 * 160 =
A.9280 B.9290 C.10164 D.8396",37,1
"Calculate 2658 / 886 =
A.3 B.2 C.13 D.4",27,1
"Calculate 36 + 37 =
A.66 B.80 C.73 D.83",27,0
"Calculate 20 * 982 =
A.17682 B.19640 C.21598 D.19650",40,0
"Calculate 2658 / 886 =
A.3 B.2 C.13 D.4",27,1
"Calculate 78 - 43 =
A.34 B.36 C.45 D.35",27,0
"Calculate 770 * 49 =
A.41266 B.34194 C.37740 D.37730",40,0
"Calculate 2 * 448 =
A.906 B.904 C.896 D.888",31,0
"Calculate 5 * 260 =
A.1300 B.1285 C.1310 D.1315",35,1
"Calculate 90 - 81 =
A.9 B.10 C.19 D.8",25,1
"Calculate 2 - 4 =
A.-3 B.2 C.-2 D.-1",21,0
"Calculate 17 - 3 =
A.14 B.24 C.15 D.13",26,1
"Calculate 62 - 30 =
A.33 B.42 C.32 D.31",27,0
"Calculate 55 - 90 =
A.35 B.-35 C.-36 D.-34",27,0
"Calculate 5 * 618 =
A.3090 B.3119 C.3100 D.3061",35,1
"Calculate 770 * 49 =
A.41266 B.34194 C.37740 D.37730",40,0
"Calculate 32 - 33 =
A.-1 B.0 C.1 D.-2",23,1
"Calculate 5 + 8 =
A.13 B.12 C.23 D.14",25,1
"Calculate 224 - 957 =
A.-733 B.733 C.-732 D.-734",33,1
"Calculate 25 - 0 =
A.25 B.35 C.24 D.26",26,1
"Calculate 0 + 247 =
A.247 B.249 C.257 D.245",31,1
"Calculate 74 + 1 =
A.82 B.85 C.75 D.68",26,0
"Calculate 626 * 165 =
A.103290 B.104217 C.102363 D.103300",45,1
"Calculate 993 - 17 =
A.976 B.968 C.986 D.984",32,1
"Calculate 268488 / 792 =
A.343 B.335 C.349 D.339",36,0
"Calculate 25 + 0 =
A.25 B.26 C.24 D.35",26,1
"Calculate 26 + 9 =
A.35 B.45 C.34 D.36",26,1
