prompt,prompt_len,target
How long or often is blood-work conducted for aging adults?,14,0
How long probably was it since the author had seen her supposed half-sister?,17,0
Why was the author more unfriendly towards people when she was in New Zealand?,16,1
What probably happened to the author's course?,11,0
Why is confidence important at work according to the author?,12,1
Why was the author in the airport?,9,1
How does Aage feel about old-fashioned craftmanship?,13,0
Why did Trump attack Hillary,6,1
Why did the mother decide to cuddle with her son?,12,1
Why are people eating more fruits again?,9,1
the author thinks that hiring 1000 designers,12,0
Where is the historic site where the Korean War armistice was signed in 1953?,21,0
Why is there a sense that Trump and Kim Jong Un have a clear idea of the deal they ultimately want to strike?,25,1
Why was the narrator not liking his body,9,1
How long after knowing the girl did he have sex with her?,14,0
What is his likely education status?,8,0
Who played hockey?,5,0
How long does agretti typically last at the market?,12,0
A hair cut for the narrator probably lasts,9,0
How much time had Desmond Meade already served when he was released from prison?,16,0
Why did Patch shout at the bluejay?,10,1
What did Frank Pomery tell leaders of the Southern Baptist Convention?,14,0
Who wanted to enter a mega jackpot Bingo game?,11,0
Where did Roland see Nicolette?,8,0
Why did Stan join the group in California?,10,1
Why did Macy go down to the kitchen?,10,1
Why do people take supplements?,7,1
At the end of the story the narrator probably bought,11,0
What is the name of Trump's lawyer?,11,0
How long did his dad wait for him in the driveway?,13,0
who stuck the needle in the boy's arm?,12,0
Who spoke at the Shangri-La Dialogue defense conference veiling criticism of China?,18,0
John believes that,4,0
Why would Clise beg?,7,1
When did Anna and Nicola move to Torino?,10,0
Who made various observations about the baby?,9,0
Why was the occasion for the author giving a speech?,12,1
"What was the name of the person that suggested to ""dine and dash?""",16,0
What will sanctions do to Iran?,8,1
What does Justin do after the story ends?,10,0
Why was the cat sick,6,1
What state did Lynch travel to?,8,0
"When did Trump disclose that he reimbursed his lawyer $100,000 for unspecified expenses?",22,0
Why did they wake up at sunrise?,9,1
Why did Trump call the Tuesday afternoon gathering  on the White House South Lawn?,17,1
Why will Kim Jong Un be meeting with President Moon Jae-in on the South Korea?,19,1
Why did the writer obtain a $30 voucher:,12,1
What was Chloe trying to do?,8,0
Who wanted the volume up?,7,0
"When she said the depression and sadness wasn't fair to her 6 year old son, she probably is:",24,0
Ryan probably believes that he should:,8,0
What did they like better?,7,0
Who's sweatshirt was she wearing?,9,0
Why did the narrator and Berand remain friends?,11,1
Why did Carnie think her sister was marrying the doctor?,13,1
Why did the door opening not bother the person?,11,1
Why was the room suffocating?,8,1
Why doesn't Benedykt like his job?,12,1
What is probably true about the narrator,8,0
Why did the Senate Democrats support proposed tariffsj,10,1
When did the author go to the ophthalmologist?,12,0
Why did Donald Trump meet with the Americans?,10,1
why did the author help Trisha?,9,1
What will sanctions do to Iran?,8,1
Why was the author too weary to put finger to touchscreen when a post came to him at 10 pm last night?,26,1
What remark did Trump make?,7,0
Who is GoDaddy,5,0
Why was the narrator so offended the phrase mentioned?,11,1
"After they learned the recipe, they kept",9,0
Why did people argue that accessing a cellphone without a warrant violated the Fourth Amendment?,17,1
Why did Mrs.Wilson come to school?,10,1
Why did the writer of the story want to get more wood?,14,1
How did the author feel after he saw the response to his expressed viewpoint at the meeting?,19,0
Who was in charge of the housing:,9,0
Why did Michael refuse to comment further?,9,1
What does John probably think about his coworkers?,10,0
Why did scholars re-examine the unusual bust?,11,1
What is probably true about Trump?,8,0
The mother felt conflicted because:,7,0
Why would the mom and dad sometimes joke with each other?,13,1
Who examined the wine cup?,7,0
What does competition between providers cause?,8,1
Why did Trump make a racist remark?,9,1
What kept the speaker from melting?,8,0
Why does the author love flying?,8,1
When did Trump make an appeal to arm some teachers?,12,0
why did trump call to block non citizen Muslims from entering the united states,15,1
Who was the leader of the Seeker clan?,10,0
"After the utility man left, the author probably thought:",12,0
Why the author asked for more money:,9,1
Why did he feel he made the right decision about picking the job?,15,1
Why will the U.S. launch smart missiles soon?,13,1
why have militia members turned their anger towards Muslims and immigrants?,13,1
Why did he love those dogs so much?,10,1
why did Lynch give Florida $1 million,9,1
Why is the author angry?,7,1
Why was Fred bored?,6,1
How did police officer stop the resident?,9,1
Why was the program created?,7,1
Why did the therapist work mainly on the author's back?,14,1
What did a man come in to get his German Shepherd?,13,0
What was Julie looking for?,7,0
Why did the writer of the story want to get more wood?,14,1
How long were the lessons probably going for?,10,0
When did North Korea threaten to pull out of the summit?,13,0
Why did Diane have to leave?,8,1
Why were some Trump voters upset about the tax cut bill at first?,15,1
Why did Obama fight for lower sentences for drug crimes?,12,1
"After Sarah Sanders was asked about Trump's comments, what does she probably still believe?",19,0
What city was the issue about weapons systems directed at?,12,0
Who said she would not declare war on an entire religion?,13,0
The writer probably feels that the products are:,10,0
Why Char killed Ranur?,7,1
What does the father believe about the narrator?,10,0
Why was Phil Murphy elected,6,1
What has the author been using for a week now,11,0
Where was the author looking up definitions for words?,11,0
Why did Trump said the people were going to be very impressed?,14,1
Why did the collector William Randolph Hearst build a sprawling home on the beach in Santa Monica?,19,1
Why Greg's car turned heads?,9,1
How can Tommy open all the doors of the motel rooms?,13,1
Why is Sondra considering going home for awhile?,11,1
Why did narrator hit the dogs with a tree branch?,12,1
Why can the author hire more people?,9,1
Why are the expats in the top 2 of the writer's ranking system?,19,1
Why was the woman with the bundle of clothes rushing?,12,1
What is probably true about the author?,9,0
When did Trump speak about the upcoming summit with North Korea?,13,0
After awhile what will happen to those who continue a frenetic lifestyle?,15,0
Who has unwashed blonde hair?,8,0
Why was Barbara Killed?,6,1
Who went to work for James McPherson,8,0
How long as Mike Pompeo been Secretary of State?,11,0
What did he do after leaving MOS ATT?,10,0
The interviewer probably believes that:,7,0
Who added Lamictal for the patient?,10,0
After the end of the story do you think the date went?,14,0
why didn't they want Grimm to use the boys facilities?,14,1
Why does the main character not want to take the first piece of the biscotti?,18,1
Dara and Jody probably laughed for:,9,0
Why did Senate Republicans postpone voting on Obamacare replacement?,11,1
"Why was Will Lanni called a ""web monkey?""",12,1
What kind of relationship did Dingo have with Julie?,12,1
Why does McGahn ask for revisions before the document is published?,14,1
How long was the summit in Singapore President Trump was at?,13,0
Why is Gwenny's ego hurt?,10,1
why did the dad and daughter leave?,9,1
Why does Sullivan think the President is having successes in South Asia?,14,1
Why was listening to Glenn Miller so important to my father?,13,1
What was the likely explanation for the strange events that happened when the main character lost consciousness in the pool?,22,1
When does the author advise that adding super foods should occur after beginning clean eating?,17,0
Why did the narrator decided to go to the hospital?,12,1
Why did marco object to buying the oranges?,10,1
What is probably true about Julia?,8,0
Why is Chloe mopping?,7,1
What has been proven by numerous studies about the Mediterranean diet?,13,0
Why did Paul think this meeting was a crucial?,11,1
"After the story ends, what do you think readers purchase?",13,0
Why did the narrator missed the reunion?,9,1
"Who backed away from a ""maximum pressure"" approach with North Korea?",15,0
why have militia members turned their anger towards Muslims and immigrants?,13,1
Why was the attention of the media grabbed by the PURE study?,14,1
Why does Greg have calluses?,8,1
Why hasn't the narrator seen Bill in years?,12,1
The author probably believes that her husband:,9,0
After the story the pipsqueak probably:,10,0
Why is the MAC Patent Polish Lip Pencil recommended to buy for people who aren't used to darker shades?,23,1
Why are Bob and Jan mad at their son?,11,1
When did the author and Riah take pictures of things in Claire's apartment?,18,0
Why did the author not take the large estimate seriously when first told about it?,17,1
Why did North Korea shut down its Punggye-ri nuclear test site?,17,1
Why did one of his followers call the tipline?,12,1
Why should we put some more oomph into housework according to the author?,16,1
