prompt,prompt_len,target
"Serum aldolase isozyme levels in patients with cerebrovascular diseases. A subunit specific radioimmunoassay was developed for the quantification of human aldolase A, B, and C. The method used was a double antibody radioimmunoassay using radioiodinated purified aldolase A, B, or C subunits as the ligand, specific chicken antibodies to aldolase isozymes and rabbit antibodies to chicken IgG. The Iodogen method was used for iodination of the purified isozyme subunits in this study. Human brain tissue contained similar concentrations of aldolase A and aldolase C, and a smaller amount of aldolase B, which was the main isozyme of liver tissue. Levels of serum aldolase A were greater than 203 ng/ml, the upper limit of normal, in six of 24 patients with cerebral infarction and in 11 of 31 patients with cerebral hemorrhage. Nine of 24 patients with cerebral infarction and 16 of 31 patients with cerebral hemorrhage had serum aldolase C levels greater than 4.1 ng/ml, the upper limit in normal sera. These data suggest that serum aldolase C may be a more specific and sensitive marker of cerebrovascular diseases than aldolase A. We also demonstrated that serial measurement of serum aldolase C in patients with cerebrovascular diseases might be useful in estimating prognosis, since serially increasing serum aldolase C levels during the course of these diseases were correlated with a high mortality rate.",311,1
"Endothelin family in human plasma and cerebrospinal fluid. To clarify whether endothelin may be present in human cerebrospinal fluid (CSF) and, if it exists, to compare its molecular forms with those of endothelin in human plasma, we analyzed pooled human CSF and plasma by high performance liquid chromatography with specific enzyme immunoassays for each endothelin peptide. Of the four human endothelin peptides hitherto identified, big endothelin-1 was the major molecular form of endothelin present in human CSF. In addition, there was a small but significant amount of endothelin-1 and endothelin-3 in CSF, while endothelin-2 was not detectable. Similarly, big endothelin-1, endothelin-1, and endothelin-3 were identified in human plasma. Although big endothelin-1 was the most abundant, a substantial amount of endothelin-1 and endothelin-3 was found in plasma with a resultant lower molar ratio of big endothelin-1 to endothelin-1 than in CSF. In all CSF samples from 17 patients requiring diagnostic lumbar puncture or lumbar anesthesia, endothelin was detectable, with a preponderance of big endothelin-1 relative to endothelin-1 and endothelin-3. The mean concentrations of endothelin-1 and endothelin-3 in simultaneously collected plasma were significantly (P less than 0.01) higher than those in CSF, while there was no significant difference between the mean big endothelin-1 concentration in plasma and that in CSF. There was no significant correlation among concentrations of big endothelin-1, endothelin-1, and endothelin-3 in each paired sample. These results indicate that endothelin is present in human CSF that is differently processed from endothelin in vascular endothelial cells and suggest a possible role for endothelin as a modulator of neuronal functions.",372,0
"Treatment of cervical spondylotic myelopathy by enlargement of the spinal canal anteriorly, followed by arthrodesis. Thirty-seven patients who had enlargement of the spinal canal anteriorly and stabilization of the spine for cervical spondylotic myelopathy were followed for an average of forty-nine months (range, twenty-eight to seventy months). Myelography and computed tomographic myelography were performed preoperatively on all patients to determine the location and features of the areas of decompression. The canal was enlarged by discectomy; by subtotal corpectomy and removal of the anteromedial parts of the pedicles; or by removal of osteophytes or of the posterior longitudinal ligament, or both. Partial corpectomy and interbody arthrodesis was performed in nine patients; subtotal corpectomy, including removal of the posterior parts of the vertebral bodies and of the posterior longitudinal ligament, and strut bone-grafting, in fifteen patients; and subtotal corpectomy, with detachment of the remaining thin posterior parts of the vertebral bodies and of the posterior longitudinal ligament, and strut bone-grafting, in thirteen patients. Postoperatively, radiographic examinations, including myelography and computed tomographic myelography, were performed for thirty-six patients and magnetic resonance imaging, for twenty-eight. A satisfactory neurological result was obtained in twenty-nine patients. Atrophy of the spinal cord, as seen on preoperative computed-tomographic myelograms, was predictive of an unsatisfactory result of the decompression, as was weakness of the peroneal muscles. All but one of the thirty-seven patients had improved walking ability at the most recent follow-up examination: seventeen patients improved by 1 point; fourteen, by 2 points; four, by 3 points; and one, by 4 points. The remaining patient reverted to the preoperative status after an initial improvement. The ability to walk at the interim examinations was compared with that at the most recent examination; three patients had continuing improvement, while three others had deterioration. The main cause of deterioration was new spondylotic changes associated with stenosis of the spinal canal, occurring at the level of the disc just cephalad to the fused levels. We concluded that anterior decompression followed by a secure arthrodesis should be an extensive procedure for patients who have cervical spondylotic myelopathy, as determined preoperatively from a myelogram or computed tomographic myelogram. Excision of the vertebral bodies should also be wide and should include the anteromedial parts of the pedicles. The third or fourth cervical vertebra should be included in the arthrodesis prophylactically in patients who have stenosis of the spinal canal when either of these vertebrae is adjacent to the level of fusion.",548,1
"Enhanced expression of CD2 antigen on lung T cells. CD2 molecules not only function in the adhesion of T cells to other cell types but also in the activation of T cells via an alternative pathway. To investigate the possible roles of CD2 molecules in the activation and accumulation of lung T cells, using monoclonal antibodies and a flow cytometer we evaluated CD2 antigen expression on lung and blood lymphocytes in 10 normal subjects, 30 patients with pulmonary sarcoidosis, 7 patients with interstitial pneumonia associated with collagen vascular disease, 5 patients with farmer's lung disease, and 8 patients with Crohn's disease. The mean fluorescence intensity (MFI) of CD2 on lung T cells obtained by bronchoalveolar lavage (BAL) was significantly higher than that on blood T cells in all study groups except the control group. In patients with pulmonary sarcoidosis this enhancement of the expression of CD2 antigen was observed only on CD4+ T cells. Since ligands for CD2 are present on immunocompetent cells of other types in the local pulmonary milieu, these results suggest that increased expression of CD2 molecules could facilitate the communication and interaction of lung T cells with their environment in the lung and thereby possibly contribute to the local accumulation of T cells.",253,0
"Adenovirus colitis in the acquired immunodeficiency syndrome. Adenovirus was identified in colonic tissue by transmission electron microscopy or culture in 5 of 67 (7.4%) homosexual men seropositive for human immunodeficiency virus (51 with the acquired immunodeficiency syndrome) with diarrhea. Colonoscopy showed the mucosa to be normal in 3 cases and mildly inflamed in 2. Light microscopy showed foci of mucosal necrosis that contained chronic inflammatory cells and degenerating and necrotic epithelial cells with amphophilic nuclear inclusions. By transmission electron microscopy, hexagonal viral particles characteristic of adenovirus were identified within the inclusions. Only 1 patient was concomitantly infected by a second potential enteric pathogen. It was concluded that adenovirus, an uncommon enteric pathogen in immunocompetent adults, causes intestinal pathology and may be associated with diarrheal illness in persons with the acquired immunodeficiency syndrome.",180,1
"The relationship between hypochondriasis and medical illness. Forty-one Diagnostic and Statistical Manual of Mental Disorders-III-Revised hypochondriacs were accrued from a primary care practice. Seventy-five control subjects were selected at random from among the remainder of the patients in the same clinic. All subjects completed a structured diagnostic interview and standardized self-report questionnaires. Medical morbidity was assessed with a medical record audit and with primary physicians' ratings. The hypochondriacal and comparison samples did not differ in aggregate medical morbidity, although the hypochondriacal sample had more undiagnosed complaints and nonspecific findings in their medical records. Within the comparison sample, higher levels of medical morbidity were associated with higher levels of hypochondriacal symptoms. This occurred primarily because the most serious medical disorders were associated with more bodily preoccupation, disease conviction, and somatization. Within the hypochondriacal sample, no correlation was found between the degree of hypochondriasis and the extent of medical morbidity. ",200,1
"Eosinophilia-myalgia syndrome associated with ingestion of L-tryptophan: muscle biopsy findings in 4 patients. Muscle biopsies of 4 patients with the eosinophilia-myalgia syndrome associated with ingestion of L-tryptophan showed lymphocytic infiltrates with occasional eosinophils largely restricted to interstitial fibrous tissue and perivascular areas. There was inflammation and fibrosis of muscle spindle capsules in 3 patients. In the 2 sickest patients, there was profound muscle atrophy, affecting both muscle fiber types.",107,0
"Treatment of pyoderma gangrenosum with cyclosporine: results in seven patients. The mainstay of therapy for pyoderma gangrenosum has been corticosteroids, but many patients respond poorly. During the past 2 years we have treated seven patients who had pyoderma gangrenosum with cyclosporine after their condition proved resistant to conventional therapy. No evidence of permanent toxicity from cyclosporine was detected and treatment with other immunosuppressive agents was discontinued in five of seven cases. Tuberculosis was reactivated in one patient. Three patients had a remission, three had an intermediate response, and one did not respond. These results indicate that cyclosporine is useful in the treatment of patients with refractory pyoderma gangrenosum and suggest an immune mechanism in the pathogenesis of this disorder.",154,1
"Direct measurement of skeletal muscle fatigue in patients with chronic heart failure. Skeletal muscle function was measured as force production and fatigue in both the quadriceps (a large locomotive muscle) and adductor pollicis (a small intrinsic hand muscle) in five healthy volunteers, five patients with mild chronic heart failure, and five patients with severe chronic heart failure. The quadriceps of patients with chronic heart failure had a reduced muscle cross sectional area, a reduced maximum isometric force production, and an increased tendency to fatigue. Isometric force production and fatigue of the adductor pollicis, however, were not significantly different between the three groups under control conditions. But during circulatory occlusion fatigue in the adductor pollicis increased more in the patients with severe chronic heart failure. These differing findings in quadriceps and adductor pollicis suggest that skeletal muscle atrophy and reduced isometric force production are not a necessary consequence of chronic heart failure per se, because they were only present in the large locomotive muscle. The normal values for muscle fatigue observed in adductor pollicis in patients with chronic heart failure imply that skeletal muscle blood flow must increase normally during muscle activation when only a small muscle mass is used. These results are not compatible with the concept of a generalised impairment of normal vasodilatation within active skeletal muscle. In contrast, activation of a large muscle, such as quadriceps, results in the rapid onset of fatigue in patients with severe chronic heart failure. This fatigue may be related to the inability of the cardiovascular system to provide the required blood flow for the activation of a large muscle mass. ",317,1
"Comparison of exercise performance in left main and three-vessel coronary artery disease. From a consecutive series of patients who underwent rest and exercise radionuclide angiography over several years, we retrospectively identified 34 patients with left main coronary artery disease and 103 patients with three-vessel coronary artery disease who did not have significant left main disease. The results of gated equilibrium radionuclide angiography were compared in these 2 groups. Multiple exercise hemodynamic, exercise electrocardiographic, and exercise radionuclide angiographic parameters were considered in an attempt to separate the 2 groups. The only parameter that was significantly different between the 2 groups was exercise heart rate. However, no value of the exercise heart rate could meaningfully separate the 2 groups. Despite their known difference in prognosis, patients with left main and three-vessel disease had very similar exercise performance and could not be distinguished from one another by exercise electrocardiography or exercise radionuclide angiography. The inability to distinguish these two groups is a clear limitation of noninvasive exercise modalities.",204,0
