prompt,prompt_len,target
"Management of arginine monohydrochloride extravasation in the forearm. We initially observed our patient, who had subcutaneous arginine monohydrochloride extravasation in the volar forearm, until his wound demarcation was complete. After wound demarcation, we proceeded with debridement and partial-thickness skin grafting. Upper extremity function was totally normal 3 months after this therapy. This is the first case report in the literature that describes a child with an arginine monohydrochloride-induced extravasation necrosis.",101,1
"The syndrome of bilateral hemispheric border zone ischemia. Symptoms compatible with vertebrobasilar ischemia have been reported in patients with unilateral or bilateral carotid occlusive disease. Intracranial steal phenomena have been proposed to explain the symptoms. In a review of 54 patients with angiographically documented severe bilateral carotid stenosis (less than or equal to 2 mm residual lumen) or occlusion, eight had symptoms suggesting vertebrobasilar insufficiency. Five patients were identified retrospectively, and the other three were evaluated prospectively. Symptoms included various combinations of hemodynamically mediated, transient bilateral motor, sensory, or visual impairment. Dysarthria, dysphagia, and diplopia were generally absent. Each patient also described additional symptoms compatible with transient hemispheric or retinal ischemia. The anatomic regions subserving the bilateral vertebrobasilar-like symptoms could be correlated with angiographically estimated arterial border zones in both hemispheres and may thus represent bilateral hemispheric border zone ischemia rather than brain stem ischemia. An intracranial steal need not be invoked.",205,0
"Neurinoma in the cavernous sinus: report of two cases. Two cases of trigeminal neurinoma located solely in the cavernous sinus are reported. Preoperatively, magnetic resonance imaging provided the accurate localization of the lesions, allowing precise planning of the surgical approach, that is, a subtemporal lateral approach and a pterional superior approach, respectively. The neurinomas inside the cavernous sinus were removed successfully, and the patients developed no new neurological deficits except for anesthesia in the 1st division of the trigeminal nerve. The characteristic magnetic resonance imaging findings of trigeminal neurinoma in the cavernous sinus are presented, and the different surgical approaches are discussed.",137,1
"Prochlorperazine and transdermal scopolamine added to a metoclopramide antiemetic regimen. A controlled comparison. Cisplatin-induced nausea and vomiting occurs both acutely and over a prolonged period of time. These symptoms may be incapacitating and are frequently given as a reason to discontinue therapy. We compared prochlorperazine and transdermal scopolamine when added to a standardized metoclopramide antiemetic regimen. Twenty-seven patients receiving cisplatin at 100 mg/m2 were randomly assigned to one of the two treatment arms. Patients were observed during chemotherapy and answered a standard questionnaire 24-26 hours later. Among similar treatment groups no differences were seen regarding the number of emetic events, level of nausea, degree of sedation or overall acceptability of one treatment arm or another. While not superior to prochlorperazine, transdermal scopolamine is a useful antiemetic agent and can be combined with metoclopramide in an attempt to reduce cisplatin-induced nausea and vomiting. Further evaluation of this approach is needed.",215,0
"Locked-in syndrome with bilateral ventral midbrain infarcts. We report a patient who was quadriplegic and mute, but retained consciousness and communicated by eye movements and blinks. EEG and SEPs were normal. BAEPs showed slight prolongation of latencies for waves IV and V. MRI showed bilateral infarcts only in the middle and lateral portions of the cerebral peduncles. ",77,1
"Diagnostic imaging and surgical treatment of dumbbell tumors of the mediastinum. We describe the diagnostic procedures and surgical approaches employed in 5 patients with dumbbell tumors of the mediastinum. Magnetic resonance imaging accurately described the existence and longitudinal extension of the intraspinal component of the tumor and assisted in choosing the appropriate surgical approach. Both the intrathoracic and intraspinal components of the tumor were resected at one time by a thoracic and neurosurgical team. We employed the Grillo technique three times and a separate laminectomy and thoracotomy approach. Magnetic resonance imaging proved the most useful diagnostic technique for suspected dumbbell mediastinal tumors. In our experience, the extended thoracotomy proposed by Grillo and co-workers worked well for small tumors involving only one foramen in which the intraspinal extension was limited to 2 to 3 cm, and when no more than two laminectomies were required. On the other hand, thoracotomy and a longitudinal paravertebral incision are preferable for larger tumors (more than 4 cm) involving more than one foramen in which the intraspinal extension exceeds 2 to 3 cm, for tumors requiring multiple laminectomy, and when bony infiltration is present.",245,1
"Computerized tomography in acute gastrointestinal disorders. In recent years, computerized tomography (CT) has become one of the most important imaging modalities in evaluation of patients with acute gastrointestinal disorders. Its role, diagnostic accuracy, indications, and limitations in some of the most commonly encountered acute abdominal conditions are succinctly presented and reviewed. CT should not be used indiscriminantly, but is best considered a valuable primary or complimentary diagnostic tool in critically ill patients. Its selective use in a variety of emergency abdominal diseases will significantly improve accuracy of clinical diagnoses, leading to a prompt and adequate medical or surgical management. ",118,0
"Combination of Anandron with orchiectomy in treatment of metastatic prostate cancer. Results of a double-blind study. A multicenter, randomized double-blind study was carried out in 203 patients with metastatic prostate cancer, in order to compare the efficacy of complete suppression of androgens achieved with surgical castration and nilutamide (Anandron), 100 mg t.i.d. The combined therapy was well-tolerated by patients, and they noted a better relief of bone pain after six months than those in the control group. There was a greater number of favorable responses in the combined treatment group. In addition, despite a similar median progression-free actuarial rate, the combined treatment (nilutamide plus orchiectomy) offered an improved survival time over orchiectomy alone.",164,1
"Headaches and multiple sclerosis: a clinical study and review of the literature. Whether multiple sclerosis (MS) can cause headaches is controversial. To clarify the association between headaches and MS we prospectively analyzed 104 consecutive MS patients using detailed headache evaluations. Fifty-four patients (52%) reported headaches, compared with 5 of 35 (14%) patients initially suspected to have MS but subsequently proven to have other disorders, and 18 of 100 (18%) matched general neurology patients. The MS patients had tension headaches or vascular headaches of the migraine type; there was no distinctive ""MS headache."" Seven of these patients had headaches with their first MS symptoms, but in only one did headaches recur with disease activity. Headaches did not correlate with any clinical features of MS. We conclude that an association between headaches and MS may exist.",176,1
"Screening for neuroblastoma at 3 weeks of age: methods and preliminary results from the Quebec Neuroblastoma Screening Project. A large neuroblastoma screening study was recently started in the province of Quebec, Canada. This project, a collaboration between the Quebec Network for Genetic Medicine and the University of Minnesota, is studying the impact of screening infants for the preclinical detection of neuroblastoma on the population-based mortality caused by this tumor. All infants born in Quebec during a 5-year period will be screened twice, at 3 weeks and at 6 months. Urinary homovanillic acid and vanillylmandelic acid determination from dried filter paper samples is used for screening. Initial qualitative screening is done by means of thin-layer chromatography with confirmatory quantitative screening by gas chromatography-mass spectrometry (GC-MS). During the initial 6 months of 3-week screening, 41,673 neonates (92% compliance rate) were screened and 10.6% of them were tested also by GC-MS. Nine of these neonates had positive results on two GC-MS tests and were referred for evaluation to rule out the presence of neuroblastoma. Four had the tumor, 1 had a calcified adrenal gland, and 4 had no tumor detected. Three additional neonates had clinical diagnosis of neuroblastoma before they reached the screening age of 3 weeks. A neuroblastoma that did not secrete homovanillic acid or vanillylmandelic acid was diagnosed clinically in 1 additional patient who tested negative by screening.",323,0
