prompt,prompt_len,target
Where's my Happiness?,7,0
"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the documentation is not yet complete",30,1
@AlexAllTimeLow aw  were sad you had to leave tokyo. come back.please,20,1
@pinksealight oh lucky u!! i need to send mines away to get fixed,18,0
I miss Heroes already  Come one fall!,10,0
"@leilaanasazi: I'm sure lots of that studio equipment was collected analog stuff that can't be bought anymore.    seriously, condolences.",33,1
@clubflys no decleration yet but crazy ass Koreans aren't playing nice anymore  what do u thinks next? I'm thinking war,31,0
@lulliecarole that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,27,0
Apparently the BIG FEAR over the swine flu has passed.   No seat on the subway for me this morning,22,1
loves John Mayer's updates.  And modeling in the hot sun... and being sweaty... jk. But seriously...,25,0
@bowwow614 hey Bow when yu comin baxx 2 thaa 614 we miss yu hun  ...614 all day!!,34,1
"Well, it's very hot out. And i want to listen to lines,vines,and trying times!!",25,1
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",27,1
DANG! I just ran over a bunny on the way home.  Why do I feel so bad? And Why do I have more compassion for animals than I do humans?,37,1
i cut my hand open!!!,7,1
@ddlovato hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,28,1
@jerrytrainor We never miss ICarly - my son has a huge crush on Miranda,19,0
Last week of class... Well technically classes are over just have two exams  and summmmmerrrrr begins...yeahhhhhyaaaaaa,27,0
@BrittanyASnow LOL YOU ALWAYS FORGET ME,10,1
"@cleverindie This spine thing sounds no good  back exercises are no fun, best of luck hon.",22,1
@jerennyofficial Hahah JONAS in 10 min!! woop woop! it was fun me and Doug had a 2 cmmt convo. it was magical hahaha,39,0
"Good night all... Just set this twitter thing up. I'm very new at this, but I expect it to come in handy.",29,1
@dravenxiv Oh no! Hope you find your voice soon,14,0
@limheeian iPhone is awesome man!! Time to join the Apple cult!!,17,0
@krystynchong Your still thinking?  Cheer up Buddy ),15,1
"gay culture is increasing in india,govt has to make new laws such as wat will be charges if a boy tease a boy nd wat if a boy rapes a boy",35,1
@nippysweety Thanks very much for the #ff @nippysweety ! My only one today,25,0
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",46,1
"@Emsy Yeah, mine said &quot;That's a nice picture&quot; &amp; gave me the red x!  Hope you get it working soon!",38,0
kicking back at home,6,1
is noow calmmm  eating polvoron .. yuumm,15,0
Coffee in hand and sun shining in my window.  Hope everyone's having a great Monday morning so far! #monday - MR,28,1
