prompt,prompt_len,target
"Gull Lake (Cass County, Minnesota)",10,Chicago
Churchville,3,New_York
Purvis,3,Chicago
Lake Pend Oreille,5,Los_Angeles
Waupun,3,Chicago
Mountlake Terrace,4,Los_Angeles
Sharon Center,3,New_York
Hooversville,4,New_York
Copeland,3,Chicago
Landis,3,New_York
Seven Corners,3,New_York
Myrtle Point,4,Los_Angeles
Dillsboro,4,New_York
Allen University,3,New_York
Presidential Lakes Estates,4,New_York
Burke County,3,New_York
Clear Fork Reservoir,4,New_York
Lakeside City,4,Chicago
Cal Poly San Luis Obispo College of Architecture and Environmental Design,12,Los_Angeles
Chico,2,Los_Angeles
Muscoy,3,Los_Angeles
Progress,2,New_York
Bucks County,3,New_York
Caliente,3,Los_Angeles
Giddings,4,Chicago
Port LaBelle,4,New_York
Lemoore Station,4,Los_Angeles
Las Flores,3,Los_Angeles
Sheppton,4,New_York
Harney County,4,Los_Angeles
May Creek,3,Los_Angeles
Lannon,3,Chicago
National Shrine of Our Lady of Good Help,9,Chicago
Wood Village,3,Los_Angeles
New Hope Baptist Church (Newark),8,New_York
Hannawa Falls,4,New_York
Bonanza,3,New_York
Inyo County,4,Los_Angeles
Obion,3,Chicago
Bogota,3,New_York
Saratoga,3,Los_Angeles
Loup County,4,Chicago
Yadkin College,5,New_York
Normandy Park,4,Los_Angeles
Demopolis,3,Chicago
Bennington,3,Chicago
Abraham Lincoln University,4,Los_Angeles
Governors State University,5,Chicago
Murfreesboro,4,Chicago
South Amboy,4,New_York
Trumbull Center,5,New_York
Linesville,3,New_York
Westover,4,New_York
Zearing,3,Chicago
Wallowa County,5,Los_Angeles
Bakersfield,4,Los_Angeles
Boronda,3,Los_Angeles
Scaggsville,4,New_York
Seminary of Mar Abba the Great,8,Los_Angeles
Myersville,3,New_York
State University of New York at Old Westbury,10,New_York
Whitehorn Cove,4,Chicago
Santee,3,Los_Angeles
Huttig,3,Chicago
Pico Rivera,3,Los_Angeles
Kasson,3,Chicago
Farmerville,3,Chicago
St. Michaels,4,New_York
Rosamond,3,Los_Angeles
South Bound Brook,4,New_York
Archer Lodge,3,New_York
Yosemite Lakes,5,Los_Angeles
Temple University,3,New_York
Shackelford County,5,Chicago
North Las Vegas,4,Los_Angeles
La Feria,3,Chicago
Perdido,3,Chicago
Grand Ronde,3,Los_Angeles
Compton,3,Los_Angeles
Pasadena Playhouse,4,Los_Angeles
Cross Mountain,3,Chicago
Lawnton,3,New_York
Alfred University,3,New_York
Corvallis,3,Los_Angeles
Santa Barbara,3,Los_Angeles
Johnson Park,3,Los_Angeles
St. Mary's in the Mountains Catholic Church,11,Los_Angeles
McConnell AFB,4,Chicago
Craigmont,3,Los_Angeles
Welaka,3,New_York
Lincoln University,3,New_York
Canyon City,3,Los_Angeles
Somonauk,4,Chicago
Cedar Mill,3,Los_Angeles
Uhrichsville,5,New_York
Vet Tech Institute at Bradford School,7,New_York
Bend,2,Los_Angeles
Alhambra,4,Los_Angeles
Kenhorst,3,New_York
Varnell,3,New_York
Dahlgren,4,New_York
Monterey,3,Los_Angeles
Art Center College of Design,6,Los_Angeles
Elfin Forest,4,Los_Angeles
Lake Arrowhead Reservoir,5,Los_Angeles
Montauk,3,New_York
Palo Alto County,4,Chicago
Menomonee Falls,5,Chicago
Breinigsville,5,New_York
Northwoods,3,Chicago
Tatamy,3,New_York
Port St. John,5,New_York
Waldwick,3,New_York
"St. John's Cathedral (Lafayette, Louisiana)",13,Chicago
Kettleman City,5,Los_Angeles
Leadwood,3,Chicago
Honeoye Falls,5,New_York
Green Springs,3,New_York
Dunwoody,3,New_York
Bexley,4,New_York
Pleasant Run Farm,4,New_York
Northgate,3,New_York
Villa Ridge,3,Chicago
Smithers,3,New_York
Garnet,3,Los_Angeles
Crown Point,3,Chicago
Eudora,4,Chicago
Temescal Valley,4,Los_Angeles
Milano,2,Chicago
Santa Cruz County,4,Los_Angeles
Frederick S. Pardee RAND Graduate School,9,Los_Angeles
Camanche Village,5,Los_Angeles
Ozark County,4,Chicago
Casa de Oro-Mount Helix,7,Los_Angeles
Columbia Pacific University,4,Los_Angeles
Okemah,3,Chicago
Verdi,3,Los_Angeles
North Lake (Dallas),6,Chicago
Santa Anna,3,Chicago
Tulsa County,4,Chicago
Osceola Mills,5,New_York
Palos Verdes Estates,6,Los_Angeles
Penn Valley,3,Los_Angeles
"Cathedral of Saint Peter (Belleville, Illinois)",12,Chicago
Golden Hills,3,Los_Angeles
