prompt,target
"Title: Great fun
Review: I was able to get two seasons of this from my library, and  I went over budget to  buy this whole set.  Richard Griffiths died this year - what a loss !  His Inspector Crabbe is a wonderful character.  Malcolm Sinclair as hissenior officer/former friend and all of the other supporting characters are great.  It was fun in the first season to see the future Inspector Foyle as a master criminal !!  The restaurant, his wonderful wife and his chickens and the produce man - all make for mysteries with fun which can be watched over and over again.",1
"Title: Not good at all.
Review: This is a ‘Verified Purchase’ I made on Amazon but strangely there is no link to write my review. So I’m writing this without the Verified Purchase thingy.<br /><br />Anyway, the charger LOOKS solid, the gold is nice and looks high-end. But it snags the hair on my long hair when I tried to trim the ends. Tried again to give buzz cut on someone else and he said it pulled out his hair! Like it snags and doesn’t glide well at all.<br /><br />Not worth the price point. Especially when I have a cheaper one at home that outperforms this one even without that fancy Ferrari motor.<br /><br />The search for the perfect one continues.",0
"Title: Nice bag, good size
Review: Unlike others I find this bag to be a very good size.  Not too small yet not too large it holds everything I'd need on a trip.  There's room for the shaver, beard trimmer, and other toiletries I typically take on a trip.  The 2 larger pockets are quite nice and supposedly water proof (I've not tested this but they look like they'd be).  The 2 smaller zipper pockets should hold smaller medicine containers but are on the same side of the bag making them not quite as useful as they seem.  Still, they're OK for the intended uses.<br /><br />The leather is a good quality and soft with strong stitching.  The handle can work from one end or the top and each large compartment has its own zipper (not a dual affair like other's I've used).  I like th",1
"Title: Excessively stupid software
Review: I ordered the DataPilot Universal kit for OSX; this contains USB adapters for a wide variety of phones. Let me say up front that the one cable I tried (Motorola E815) worked fine; and that DataPilot did recognize my phone at once.<br /><br />The DataPilot software is another matter. My aim was to transfer pictures from a camera phone to the computer (since Verizon provides no other means of doing so except to email the picture to yourself at 25cents each). With what I have spent on the DataPilot I could have emailed more than 300 pictures to myself, and the results would have been just as satisfactory if not more so.<br /><br />DataPilot downloaded my phone's address book data, but it apparently doesn't know about the Categories feature of ",0
"Title: Awesome connector for getting sound into your mixing console
Review: I accidentally got this because I thought that it was the connector that I needed to get my sound from a condenser mic into my computer. I was wrong. This is the wrong connector for that task. But, this is the right connector to get sound from your computer or handheld voice recorder into a mixing console.<br /><br />So, if you know what you're getting, this connector is great! It's well put together, and doesn't rattle around at all. There was no interference at all from this connector. I really recommend it, and Hosa has made a great connector with this.",1
"Title: Fun toy
Review: This is a very fun toy. They played with it for a while, and had a lot of fun.<br /><br />We have many toys from this company. They make a lot of different products and we have generally been very happy with them. It worked well.<br /><br />This toy was durable. My kids can be a little rough with toys, but this continued to work just fine. We had no problems<br /><br />It was very bright and colorful.<br /><br />I feel like this is good for child development. It kept my children's interest. It would also make a nice gift.<br /><br />I would recommend it.",1
"Title: BETTER OFF BUYING THE SPLURGE
Review: For the most part it does the job. However, the legs do squeeze your thighs so that’s noticeable under tight clothing like bodycon dresses/etc. I’m also not a fan of the huge hole at the crotch because you’ll<br />still feel the need to wear underwear under the suit (otherwise you’ll see panty lines if worn over the suit which defeats the purpose) which makes going to the bathroom very difficult. I also don’t like how thick the straps are and that you can’t adjust them. So, I returned it & splurged on the brand name version even tho it was SO pricey BUT, in the end it was completely worth every cent and I wear it very often. Ok product if ur in a pinch financially, good condition, fast shipping! If you found my review helpful, I would appre",0
"Title: Good Bang For Your Buck
Review: Let me start off by saying that I am using the M-Audio EX-P for my guitar pedal; Boss SYB-5. I found it ironic that this is for a keyboard but it fails to work on my Casio while succeeds with working for my SYB-5 ( Synth pedal). Nonetheless, I got this pedal specifically for my pedals, not my keyboard. The EX-P has held up really well so far, dropped about 2 times. It is made out of plastic and has a rubber grip for the foot-switch. It comes with a knob to adjust the range of the delay, sound or whatever you need it for, which is pretty nice to have. It works great with all my Boss pedals and I have not yet tried it on any other brand. Overall I am very satisfied with this pedal, for the price you can't go wrong with it.<br /><br />Pros : C",1
"Title: The Not so Incredible Hulk
Review: Thee worst marvel film I ever had the misfortune of sitting through. I am stunned at just how boring this film was. Yet the masses here on amazon love this?<br /><br />I wish I could wave a wand to make everyone hate this film, as wrong as that is, I still wish it. That is how bad this movie is. This should be a Guinness world record for most boring movie ever or something. =D<br /><br />Most who didn't like the film seem to rant about the actor Norton. I don't care who is playing as hulk in this film, it's just boring because it's boring. A weak story, and lame plot.<br /><br />Hulk mad... hulk very mad... hulk smash this dvd!<br /><br />EDIT--- nobody like this review? well I am not sorry, this film was awful! Cheap lame CGI and incredibl",0
"Title: I loved these compression socks from the minute I put them on!
Review: I loved these compression socks from the minute I put them on. Plus, you get TWO pairs of socks instead of one. BONUS!!<br /><br />They are not too tight and not too loose. It’s sometimes hard to find a decent compression sock that isn’t as tight as a 15-20mmHg or as loose as anything bigger.<br /><br />Also, I wear a size 6 women’s size sock which the average size is 8+. These socks fit properly, which is an almost nil, as socks are made for averages.<br /><br />I wore these for one entire day while on my feet. As a personal trainer I get an average of 12,000 steps per day. Then you count in my personal workouts to include running, jumping, weight lifting, step aerobics, cardio kick, high repetition weight lifting, sport yoga, core trainin",1
