prompt,prompt_len,target
Chilhowie,5,2060.0
Pilot Point,3,4393.0
Worthington Hills,4,1741.0
Montura,3,3424.0
Trevorton,3,1700.0
Harrisonburg City,4,52062.0
Watseka,4,4623.0
Coweta,4,9696.0
Timber Lakes,3,614.0
Abernathy,4,3359.0
Coggon,3,738.0
Platte,3,1178.0
Wesley Hills,3,6105.0
Paragonah,4,622.0
Blue Hill,3,865.0
Vacaville,3,102256.0
Kenwood,3,8143.0
Hide-A-Way Lake,7,1878.0
Seat Pleasant,3,4537.0
Parchment,4,1884.0
Girardville,4,1360.0
Huntingdon County,4,44458.0
Tioga Terrace,5,2428.0
Sagadahoc County,5,36530.0
Marmaduke,4,1581.0
Kingsford Heights,4,1471.0
Hayden Lake,3,602.0
Oakton,3,36675.0
Ackley,3,1706.0
Falcon Lake Estates,4,896.0
New Port Richey,5,16348.0
Reece City,4,744.0
Innovation,2,1116.0
Watauga County,5,54077.0
China Spring,3,1342.0
Trumansburg,5,1675.0
Switzerland County,3,9870.0
Placerville,4,10777.0
Tarentum,4,4359.0
Port St. John,5,24677.0
Grantsburg,3,1339.0
Puget Island,4,1153.0
Brownton,3,549.0
Stockdale,3,1353.0
Seguin,3,29293.0
Wanaque,4,11285.0
Ashford,3,2476.0
Los Lunas,4,17072.0
Falls Creek,3,1009.0
La Puebla,3,1038.0
Glens Falls North,5,9160.0
Knox,2,3691.0
New Miami,3,2300.0
Wadesboro,4,5079.0
Holly Pond,3,819.0
South Webster,3,851.0
Lannon,3,1292.0
D'Iberville,6,12736.0
Ponderosa Pines,5,520.0
Krotz Springs,4,823.0
Dutchess County,5,296012.0
Lebanon Junction,3,2214.0
Lane County,3,380532.0
Kenosha,4,123061.0
Westmoreland County,4,355107.0
Lake Koshkonong,6,996.0
Troy Hills,3,5126.0
East Atlantic Beach,4,1778.0
Gretna,3,17836.0
Lake Wynonah,5,2879.0
West Cape May,4,1017.0
Lucerne Valley,4,5998.0
Malibu,3,10915.0
Rivergrove,3,545.0
Delhi Hills,3,4978.0
Loghill Village,4,601.0
Charlotte,2,1516107.0
Rockford,3,289763.0
North Arlington,3,16339.0
Niantic,4,3240.0
Stony Brook University,5,8868.0
Monroe Manor,3,2581.0
Pitkin County,4,17471.0
Grifton,4,2764.0
Carlyss,3,5252.0
Mount Wolf,3,1417.0
Sunray,3,2417.0
Apache Junction,3,38311.0
Stepney,3,3370.0
Gassville,4,2324.0
Alexandria Bay,3,1097.0
Braymer,3,628.0
Brady,2,5129.0
Aspen Hill,3,53850.0
New Pekin,4,1348.0
Las Quintas Fronterizas,7,1062.0
Lake Pocotopaug,6,5124.0
Devine,3,4349.0
Aliquippa,4,9237.0
Dimmit County,4,8840.0
Berlin Heights,3,569.0
Gideon,3,691.0
Ipswich,3,1183.0
North River Shores,4,3739.0
Highland-on-the-Lake,8,3962.0
Isle of Wight County,5,38301.0
Peña Blanca,4,684.0
Normal,2,53446.0
Travilah,4,11052.0
Lilesville,4,607.0
Cookson,4,1031.0
Barnum Island,4,2519.0
Atlantic County,3,273865.0
East Point,3,37895.0
Rodeo,3,9575.0
Los Gatos,4,33309.0
New Lenox,3,26942.0
Laurinburg,4,15242.0
Soquel,3,10806.0
Lake Kiowa,4,2409.0
Cross Keys,3,538.0
McDowell County,4,44527.0
Clearbrook,3,655.0
McCloud,3,870.0
Meadow,3,927.0
Florence County,3,137276.0
Grand Marais,3,1596.0
Alpha,2,2290.0
Kootenai County,5,168317.0
Glasford,3,834.0
Hull,2,2248.0
Orchard Hills,4,2247.0
Kinsman Center,5,701.0
Barnum Island,4,2519.0
Traverse City,3,15263.0
West St. Paul,5,20476.0
Crescent City,4,6686.0
Church Hill,3,6973.0
Noel,2,1878.0
Evadale,4,1168.0
New Port Richey,5,16348.0
Winder,3,17768.0
Stoddard,4,828.0
Friendswood,3,40780.0
San Tan Valley,4,96127.0
Cedar Rapids,3,192714.0
Belmond,3,2463.0
Carbon County,3,64792.0
Joplin,4,81025.0
New Middletown,3,1405.0
Hollis Crossroads,4,676.0
New Bern,3,31058.0
Orchard Mesa,4,6592.0
Lake Murray of Richland,5,6632.0
East Renton Highlands,5,12392.0
Martin,2,10536.0
Holiday City South,4,4077.0
Old Tappan,4,5870.0
Solon Springs,4,785.0
University of California-Davis,6,8532.0
Commercial Point,3,2902.0
Roseau County,4,15321.0
West Palm Beach,4,115877.0
Marine City,3,4069.0
Ida,2,733.0
Powder River County,4,1759.0
Hamilton County,3,826790.0
Dodgeville,3,4958.0
Ashdown,3,4242.0
Weyauwega,5,1662.0
Nolanville,3,5817.0
Irving,2,254184.0
Doney Park,4,5086.0
Wilmette,3,27895.0
Cañon City,4,17157.0
Benton Harbor,4,9171.0
King William County,4,17511.0
Rocky Mountain,3,565.0
New Rockford,3,1374.0
Thunderbird Bay,4,760.0
Cimarron,4,2066.0
Phenix City,4,38216.0
Cross Timber,3,577.0
Lansford,4,4110.0
Diamond City,3,915.0
Elk River,3,25467.0
Wind Lake,3,5196.0
Peggs,3,942.0
Woods Bay,3,643.0
Vero Beach South,5,174748.0
La Tina Ranch,4,844.0
Mill Neck,3,1142.0
Emmet County,4,33946.0
Clymer,4,1184.0
Highland Park,3,30245.0
Elmira Heights,4,4265.0
East Norwich,3,2871.0
Woodlawn Park,4,832.0
Miltonvale,3,506.0
Hobson City,4,947.0
Buffalo,2,1004655.0
South Boardman,4,523.0
Camanche,4,4545.0
Rodney Village,3,1472.0
Yalaha,4,1546.0
Olympia Fields,3,4949.0
Ingold,3,848.0
Sykesville,4,4260.0
Archer City,3,1690.0
Hargill,4,1094.0
Marble Cliff,3,782.0
Village of Oak Creek,5,6144.0
Scotland Neck,3,2033.0
Smock,3,559.0
Cross Roads,3,1364.0
Cedar Valley,3,574.0
Whitmore Lake,4,8019.0
Valhalla,3,3135.0
Moyie Springs,4,1174.0
Emeryville,4,12747.0
Windber,3,3936.0
Scalp Level,4,606.0
North Haverhill,4,1097.0
Mono County,3,13291.0
Gassaway,4,906.0
Funston,3,972.0
Reinholds,3,2151.0
Onawa,3,2894.0
Calico Rock,4,2001.0
Mechanicville,3,5191.0
Gambrills,4,3185.0
Freeman,2,1711.0
Lochmoor Waterway Estates,6,5106.0
Kayenta,3,5227.0
Grandwood Park,4,5506.0
Bensville,4,14483.0
Aldan,3,4214.0
Sandy Valley,3,1723.0
Big Stone City,4,620.0
Green Meadows,3,2227.0
Hollow Rock,3,762.0
Corvallis,3,66090.0
Nocona Hills,4,578.0
Blue Mound,3,2274.0
East Bangor,3,1117.0
Lyles,3,1218.0
East Renton Highlands,5,12392.0
Whatcom County,4,224533.0
Mount Holly,3,17315.0
Verdigris,4,5189.0
Accokeek,4,12241.0
LaSalle,3,9607.0
Somerton,3,14126.0
Verandah,4,1444.0
Portola Valley,4,4458.0
Gothenburg,3,3476.0
Lake Linden,3,1199.0
Belding,3,6070.0
Ravensdale,4,671.0
Warrick County,4,63575.0
Pecan Hill,4,622.0
San Leandro,3,91176.0
Cohutta,3,692.0
Buhl,3,4532.0
Haynesville,4,2402.0
Mason,2,34337.0
Buford,3,16811.0
Oologah,4,1742.0
Nuevo,2,7491.0
Wekiwa Springs,5,24049.0
Dolgeville,4,2402.0
Tunica,3,1202.0
Corte Madera,3,10145.0
Oconomowoc Lake,6,587.0
Door County,3,29713.0
Brownsdale,4,698.0
Hecker,3,554.0
Old Field,3,978.0
Seminole,4,19224.0
Marble Falls,3,6892.0
Reeseville,3,786.0
Moroni,3,1239.0
Gibraltar,3,4953.0
Polvadera,4,684.0
Seven Lakes,3,3919.0
Oreland,3,6111.0
Auxier,3,993.0
Anaconda,3,9380.0
Edgemont,3,871.0
The Villages,3,119296.0
Empire,2,3496.0
Hobbs,3,39476.0
Cutlerville,4,19313.0
Santa Clara County,4,1932022.0
Cameron County,3,420554.0
Waynoka,4,781.0
Harleysville,4,9219.0
Chantilly,4,23564.0
Ramsey County,4,549377.0
Seabeck,3,860.0
Winston-Salem,4,420400.0
Dickson County,4,54000.0
Wauchula,4,4958.0
Olmito,3,901.0
De Smet,4,1128.0
Wrightsboro,4,4654.0
Bear River,3,951.0
Italy,2,2353.0
Misericordia University,4,824.0
Connellsville,4,7092.0
Tierra Verde,3,3847.0
Tega Cay,4,12336.0
Worcester,3,573573.0
La Vergne,4,38127.0
Kent Narrows,4,509.0
Victory Gardens,3,1666.0
Mound,3,9365.0
Washburn County,4,16561.0
Metcalfe,3,999.0
Mill Creek East,4,25528.0
Forest Meadows,3,1371.0
Guthrie Center,5,1556.0
St. Charles County,5,402377.0
Waukesha,4,71307.0
Glassboro,3,20284.0
Morgan,2,4105.0
East San Gabriel,4,22941.0
Blackduck,3,725.0
Napa,3,86130.0
Mission Canyon,3,2353.0
Readlyn,3,794.0
Gillette,3,33047.0
La Belle,3,781.0
Elk Point,3,2248.0
North Haven,3,891.0
Catheys Valley,5,783.0
Bladen County,4,30105.0
Waller County,4,55505.0
Griswold,3,1081.0
Sudden Valley,3,7251.0
South Ogden,3,17363.0
Hazel Dell,3,21650.0
Plum Grove,3,1623.0
Boley,3,1139.0
Scotts Valley,4,12317.0
Sauk County,4,65428.0
Honey Grove,3,2128.0
Ponce Inlet,4,3342.0
Anson,2,2011.0
Waterflow,3,1521.0
Amherst County,4,31381.0
Laddonia,3,644.0
Alapaha,4,650.0
Aspen Park,3,962.0
Millsboro,3,6542.0
Volente,3,802.0
Teague,3,3410.0
Essexville,3,3377.0
Fairland,3,25324.0
Cherokee County,4,262155.0
Pinardville,4,4849.0
Oquawka,5,1400.0
Hookerton,3,706.0
Cecil-Bishop,4,2576.0
Waubeka,5,581.0
Faxon,3,1210.0
Williamsburg County,4,31279.0
Payette County,4,24928.0
Center Moriches,4,7948.0
Teachey,3,749.0
Sacramento,2,1924167.0
Old Hill,3,3026.0
Kalona,3,2631.0
Alafaya,4,92080.0
Lake Mystic,3,561.0
Cherry Hill Mall,4,13826.0
Akron,3,546549.0
Annawan,3,878.0
Laurel Bay,3,5926.0
Chattahoochee,6,3370.0
Langhorne Manor,5,1614.0
Durant,2,18358.0
Natchez,3,14435.0
Walnut Ridge,3,5392.0
San Miguel,3,3573.0
Parke County,4,16316.0
Willimantic,4,18150.0
Dresser,3,1028.0
Robstown,3,10372.0
Red Lake County,4,3921.0
Netarts,3,813.0
Fond du Lac County,5,103890.0
McCullom Lake,5,1054.0
Volusia County,5,548783.0
Walnut Springs,3,785.0
Cedar Knolls,4,4286.0
Shinglehouse,4,1004.0
Dunes City,4,1151.0
Kershaw,4,2249.0
Radium Springs,4,1991.0
Parkway Village,4,656.0
Sunlit Hills,4,794.0
Kings Mountain,3,10775.0
Wingo,3,607.0
Wilkshire Hills,5,2897.0
Bristol County,3,576070.0
Sheppton,4,514.0
Green Knoll,3,6480.0
Trucksville,4,2006.0
Institute,2,529.0
Cresskill,4,9096.0
Goodhue,3,1207.0
Temescal Valley,4,27546.0
Winter Haven,3,240768.0
Bovina,3,1409.0
Caruthers,4,2171.0
Black Earth,3,1720.0
Nekoosa,3,2361.0
La Monte,3,1083.0
Fairborn,3,34398.0
Elkader,3,1270.0
New Lenox,3,26942.0
Chase,2,1010.0
Glen Park,3,618.0
Ness City,3,1301.0
Chelyan,4,662.0
Taylors,3,23348.0
Floral City,3,4953.0
Spanaway,3,34670.0
Vanleer,3,538.0
North Lakeville,4,3343.0
Crewe,3,2853.0
Folsom,3,79201.0
Scott AFB,3,4219.0
Mary Esther,3,3979.0
Pacheco,3,5129.0
Spotswood,3,8163.0
Saxonburg,3,1316.0
McConnell AFB,4,1776.0
New Brunswick,3,55671.0
Yamhill,3,1337.0
Lake Kiowa,4,2409.0
Morral,3,507.0
Zapata County,4,13945.0
Riverwood,3,509.0
Moab,3,5329.0
La Monte,3,1083.0
Micro,2,526.0
Mackinaw,3,1956.0
Fort Worth,3,908469.0
