prompt,prompt_len,target
My Life Without Me,5,2003
Take Your Chance,4,1994
Cujo,3,1983
Hard to Forget,4,2020
Sundown Syndrome,4,2009
Traitor's Blade,6,2014
My Geisha,4,1962
Tossin' and Turnin',8,1961
Territory,2,1993
Symphony in X Major,5,2002
Bills,2,2015
When We're Human,6,2009
Ustadi Ustad Se,7,1982
Winter,2,2015
Aunt Betty,3,2013
Those Memories of You,5,1987
No Surprise,3,2009
One Less Set of Footsteps,8,1973
Diamond Smiles,3,1979
We Write the Story,5,2013
Rearviewmirror,4,1993
Lifted Up (1985),10,2015
El Mañana,4,2006
When You Come Back to Me,7,1989
The Gift,3,2006
From Beyond the Grave,5,1974
I've Been Waiting,6,2019
The Score,3,2001
Chaos: Making a New Science,7,1987
Blurry Eyes,4,1994
Contagious,4,2001
Haggard: The Movie,6,2003
Love in the City,5,1953
Walk Idiot Walk,4,2004
The Dangerous Days of Daniel Xtraterrestrial,10,2008
Opposites Attract,5,1989
Come Away with Me,5,2002
Start of Something Good,5,2012
20 Good Reasons,5,2007
Fool for You,4,2011
Music Is My Radar,5,2000
(Lay Your Head on My) Pillow,9,1994
Spitting Games,4,2003
Queen of My Heart,5,2001
Sex,2,1992
Je n'ai que mon âme,8,2001
My Beloved World,4,2013
The Light That Has Lighted the World,9,1973
Til the Rivers All Run Dry,7,1975
Hideaway,3,2014
The Fox (What Does the Fox Say?),10,2013
Tricks of the Light,6,1984
Tell Me When to Go,6,2006
All for One,4,2016
Dear God,3,1986
Capital Letters,3,2018
Venetian Bird,4,1952
A Home Too Far,5,1990
Dixieland Delight,5,1983
The Nobodies,5,2001
Carry On England,4,1976
Please Don't Eat the Daisies,9,1960
Jump n' Shout,5,1999
Foot of the Mountain,5,2009
The Worrying Kind,5,2007
Jai Jagannatha,5,2007
Ilahi,4,2013
Big Sur,3,2017
New Rose,3,1976
King's Dead,5,2018
America,2,1968
Get Throwed,4,2005
Revenge of the Brick,5,2005
Sh-h-h-h-h-h,12,1955
The Cry of the Owl,6,1987
Sound of Madness,4,2009
Spirit,2,2019
Deewana Mastana,6,1997
Jennifer Eccles,3,1968
Blade Runner 2: The Edge of Human,10,1995
Rich Boy,3,2017
Can't Trust Thots,7,2014
A Whole New World,5,1992
The Bridal Path,4,1959
Sanctuary,3,2019
House of Love,4,1994
Karma,2,2004
The Best Man I Can Be,7,1999
Pumping on Your Stereo,6,1999
