prompt,prompt_len,target
Giovanni Battista Visconti,4,1722
Jakob Rodewitz,4,1365
"Karl George Lebrecht, Prince of Anhalt-Köthen",13,1730
"Albert Wolfgang, Count of Schaumburg-Lippe",11,1699
Ernst Engel,3,1821
Ptolemy of Mauretania,8,-9
Johann Stobäus,5,1580
Pepin of Landen,6,585
Alfred Messel,4,1853
Princess Isabella of Bavaria,5,1863
Cornelis Janssens van Ceulen,9,1593
Gongmin,3,1330
"Walter Devereux, 1st Earl of Essex",12,1541
"Rudolf Christian, Count of East Frisia",9,1602
Michael V Kalaphates,6,1015
Mustafa III,3,1717
David Flitwick,5,1281
Lothar Collatz,5,1910
"Raymond VII, Count of Toulouse",7,1197
趙黒,3,410
Maria Josefa Canellada,7,1912
Zhao Jun,3,1196
"William IV, Count of Nevers",8,1145
Diego de Ordaz,6,1480
Euclid of Megara,6,-436
Alonso Zamora Vicente,4,1916
Senkichi Taniguchi,7,1912
Alfonso,2,1453
"Herman I, Count of Weimar-Orlamünde",11,1125
Karl von Weishaupt,6,1787
Giovanni del Biondo,5,1356
August Wilhelm Heinrich Blasius,6,1845
Dietrich of Nieheim,6,1340
"Richard Woodville, 1st Earl Rivers",10,1405
Paolo Riccio,4,1480
Johann I. von Straßburg,7,1300
Günther III von Schwarzburg-Käfernburg,12,1150
Princess Henriëtte Amalia of Anhalt-Dessau,12,1662
Otto II the Black,5,1099
Giovanni Gradenigo,5,1273
Louise Moillon,4,1610
Hugo von Schärfenberg,7,1300
Mary of Hungary,4,1257
Princess Augusta of Saxe-Gotha,8,1719
Judith von Pihartingen,7,1050
Martin I,3,1050
John III of Portugal,5,1502
Walter Eucken,5,1891
Yue Yun,3,1119
Eckhard I,4,1050
卢文伟,4,482
Wei Zheng,3,580
Jacobus de Teramo,6,1349
Casimir II of Masovia,7,1400
"Stephan I, Count of Sponheim",8,1001
Li Gu,3,903
Stephen Uroš V of Serbia,7,1336
Emmanuel Stupanus,5,1587
Christian Friedrich Lessing,4,1809
Siemowit,5,845
Alfred Schwarzmann,4,1912
Jan Kraeck,4,1540
Rüdiger Eichholz,5,1922
"Reinhard III, Count of Hanau",9,1412
"Geoffrey, Count of Eu",6,962
Johann III. von Bubenberg,8,1350
Nehemiah Grew,5,1641
Master Bertram,3,1345
Marco I Sanudo,5,1200
刘彝,3,1029
Hermann Balck,4,1893
"Günther Victor, Prince of Schwarzburg",9,1852
Woldemar Friedrich Krüger,6,1808
Adam Christian Gaspari,5,1752
Baba Hyder Vali of Mulbagal,9,1200
Jacob Breyne,4,1637
"Robert de Morley, 6th Baron Morley",10,1418
Colmán of Cloyne,7,522
Adolf Stieler,4,1775
Carlo Marsuppini,5,1398
Konrad von Hochstaden,5,1205
Diego Laynez,4,1512
Adela of Louvain,5,929
Paul of Burgos,4,1350
Diego Columbus,3,1479
Alexander Adriaenssen,5,1587
Adam Riccius,4,1605
Cesare Cesariano,6,1475
"John of Valois, Count of Montpensier",11,1377
Ștefan Lackfi,5,1300
Fioravante Fioravanti,8,1390
Saint Beatrice d'Este,6,1230
Henriette Vogel,4,1773
Al-Asma'i,7,740
Conon of Naso,6,1139
Antonio Musa Brassavola,6,1500
Clement of Alexandria,4,150
Menno van Coehoorn,7,1641
Caterina Cavalieri,5,1755
Jürgen von Farensbach,6,1551
Paul Reinecke,4,1872
Jacob van Heemskerck,7,1567
Arnold de Nienburg,6,1100
"Philip I, Duke of Brunswick-Grubenhagen",11,1476
William Jones,3,1675
Andrea Suppa,4,1628
Aaron ben Gershon abu al-Rabi,10,1400
Jean Jouvenel des Ursins,8,1400
Theresa of Portugal,4,1157
Alexandros II Zabinas,6,-200
Abraham Willaerts,4,1603
François Joseph Paul de Grasse,7,1722
Maria Antonia Ferdinanda of Spain,7,1729
Peter II. Pinzenauer,7,1400
Godfried I van Cuijk,7,1150
Rudolf Diesel,3,1858
Ahmad ibn Arabshah,5,1389
Wilhelm List,3,1880
Guillaume Durand,3,1250
Carlo Gonzaga of Milan,5,1415
Gustav Adolf von Gotter,6,1692
Juan Ruiz,3,1283
Johann Christian von Engel,5,1770
Song Wo,3,926
李晉,3,650
Zhao Yin,3,850
"Anthony, bastard of Burgundy",6,1421
Petar Zoranić,6,1508
Michele Giambono,5,1400
中山兼宗,4,1163
Federico Gamboa,4,1864
Branca of Portugal,5,1259
Adam Christoph von Flanss,6,1664
Pelagio Galvani,5,1165
Leonor de Alvim,6,1301
Anton Joseph Leeb,5,1769
楊宗妙,4,1019
Christian Gärtner,4,1705
Ma Sanbao,4,585
Jacob Caro,3,1835
"Bernard VII, Count of Armagnac",9,1364
Antonio Maria Mazzoni,5,1717
Elias Ammerbach,5,1530
Jacopo Strada,4,1507
Wolf Dietrich von Raitenau,8,1559
Louise Brough,4,1923
Max von Sydow,5,1929
Dahui Zonggao,5,1089
Peter of Kiev,4,1260
Constantine Akropolites,6,1300
Giuseppe Biancani,4,1566
Jakob von Soest,5,1360
Dosso Dossi,5,1480
Lazarus Zographos,6,810
Hemma,3,800
Heinrich von Alinghoven,6,1400
"John VI, Count of Harcourt",7,1342
"Mary Capel, Countess of Essex",8,1679
"Henri Jules, Prince of Condé",7,1643
James Gregory,3,1638
Johann Kaspar Friedrich Manso,6,1760
Roscellinus,4,1050
"Stephen I, Duke of Bavaria",7,1271
Albert van Cuijk,5,1170
Johann Nepomuk Holzhey,7,1741
Al-Muttaqi,6,908
Jacques-Christophe Naudot,6,1690
Constantin Christian Dedekind,6,1628
Henri Barbusse,5,1873
Pietro Geremia,4,1399
John IV of Trebizond,7,1403
Gregor Mendel,3,1822
Karel van Mander the Elder,7,1548
Joséphine de Beauharnais,7,1763
Fritz Wunderlich,4,1930
Georg Hassel,3,1770
Gerald Ford,3,1913
Raymond Pelet,4,1075
Georg Albrecht of Saxe-Weissenfels,9,1695
William IV of Saint Omer,6,1101
Johann Bernhard Wilbrand,5,1779
Christiane Sophie Charlotte of Brandenburg-Bayreuth,10,1733
Sandro Pertini,5,1896
"Joachim Ernest, Duke of Schleswig-Holstein-Sonderburg-Plön",15,1595
Maria Antonia Ferdinanda of Spain,7,1729
Igor Yaroslavich,6,1036
Fulk I FitzWarin,7,1115
"George II, Duke of Pomerania",8,1582
Eduard Vogel von Falckenstein,8,1797
Karl Friedrich Plattner,5,1800
"Jean II, Duke of Alençon",8,1409
Sancho d'Aragona,7,1240
Konrad Wimpina,5,1460
Empress Yu Wenjun,6,297
Pancho Gonzales,4,1928
Liu An,3,-179
Sigtrygg Silkbeard,6,970
"Adhemar, Count of Angoulême",10,850
Charles A. Ferguson,5,1921
Tokugawa Ienobu,7,1662
"Philip I, Duke of Pomerania",8,1515
Cen Xi,3,650
Hans Fränkli,5,1410
Lucas Vázquez de Ayllón,7,1478
Empress Wang,4,501
Godfrey Kneller,5,1646
Hugh de Grandmesnil,6,1032
Isaac van Hoornbeek,6,1655
Najm al-Din Razi,8,1177
Astorre I Manfredi,8,1345
Theobald of Bec,5,1090
Henry XI of Głogów,7,1432
Berthold I. von Alvensleben,9,1100
Beatrice Regina della Scala,5,1333
Hayashi Razan,5,1583
Carl Severing,4,1875
August Toepler,5,1836
Grigore I Ghica,6,1628
David Cairns,3,1966
Hugh de Benin,4,1201
Abner Nash,4,1740
Jurij Dalmatin,6,1547
Niccolò Barbaro,6,1420
Giuseppe Firrao il Vecchio,6,1670
Guillaume de Varax,5,1400
Jean de Comines,5,1230
Emperor Daozong of Liao,6,1032
Charlotte de France,4,1446
Marcin Matuszewicz,6,1714
María de Padilla,4,1334
Bernhard Berlin,3,1400
Andreas Gryphius,5,1616
Peter Binsfeld,4,1545
Nicholas of Clémanges,6,1363
Qian Weijun,6,955
Alexander the Great,4,-356
Jeremiah Horrocks,4,1618
Emperor Taizong of Jin,7,1075
Xuande Emperor,5,1399
Carl Heinrich Edmund von Berg,6,1800
Zhou Enlai,4,1898
Ernst von Graben,5,1500
Krzysztof Szydłowiecki,9,1467
Walter Baade,4,1893
Andrew Umfray,5,1301
Hans Holbein the Elder,6,1465
Nicholas II Garay,5,1367
Johannes Zick,4,1702
Zhao Yong,3,1289
Romuald II of Benevento,8,700
Niccolò Capocci,6,1300
Auguste Forel,4,1848
Ibrahim al-Nakhai,6,670
Mathilde of Bourbon,5,1165
Chen Xianqi,4,701
Gottfried von Bures,6,1100
Mohammad Ghaznavi,5,998
"Gerard, Count of Vaudémont",9,1057
Klaus Groth,4,1819
Adam Ferguson,3,1723
Nicolaus Jerre,5,1603
Bertoldo di Giovanni,6,1435
Stanislaus Hosius,6,1504
Zhong Rong,3,468
Henri Ier de Hasebourg,6,1100
Konrad X the White,5,1420
August Carl Eduard Baldamus,6,1812
Umar II,3,681
"Ambrogio Spinola, 1st Marquis of the Balbases",15,1569
Fabrizio De André,5,1940
Adam de Villebéon,6,1150
"Baldwin de Redvers, 1st Earl of Devon",12,1100
Christl Cranz,5,1914
"Albert II, Duke of Mecklenburg-Stargard",11,1400
Frederick II,3,1120
Fazlur Khan,4,1929
Jérôme-Hermès Bolsec,8,1501
Jean Baudoin,4,1590
Johann Reuchlin,5,1455
"John FitzAlan, 14th Earl of Arundel",12,1408
Bolesław III the Generous,7,1291
T. S. Eliot,7,1888
Bernhard Förster,4,1843
Giovanni da Perugia,4,1150
Rudolf Kippenhahn,5,1926
Notker Physicus,5,900
Adam of Kilconquhar,7,1201
Rocío Dúrcal,6,1944
Marilyn Monroe,3,1926
Amyntas of Galatia,7,-100
Jean Raoux,4,1677
"Frederick Henry, Duke of Saxe-Zeitz-Pegau-Neustadt",17,1668
Giovanni Morelli,4,1371
Yu Shinan,4,558
Albert II. Krummendiek,8,1417
Agostino Ramelli,5,1531
Johann Schenk zu Schweinsberg,7,1460
Henry III of England,5,1207
García Ramírez of Navarre,5,1110
Marilyn Monroe,3,1926
Isaac Bernays,4,1792
"Pedro Téllez-Girón, 3rd Count of Ureña",16,1450
"Charles Thomas of Lorraine, Prince of Vaudémont",12,1670
Elisabeth of Bavaria,4,1478
Carl Großmann,4,1863
Sarolt,3,950
Lady Triệu,4,225
Silvestro Aldobrandini,8,1499
Anna Margarete von Braunschweig-Harburg,9,1567
Hans Haslibacher,5,1500
Jean d’Estampes,7,1395
Jakob Roggeveen,5,1659
Richwin,3,900
細川直俊,5,1319
Adolph Kussmaul,7,1822
Roald Amundsen,6,1872
Li Linfu,5,683
Patrick Sarsfield,4,1655
August Wilhelm Knoch,5,1742
Symphorien Champier,6,1471
Joan of Valois,5,1351
Ciarán of Clonmacnoise,7,516
Andreas Grünheide,4,1613
István Werbőczy,7,1465
"John de Cobham, 3rd Baron Cobham",12,1301
Ferdinand Magellan,3,1480
Francis Phoebus of Navarre,6,1467
Huang Ding,3,1133
John,2,1383
Muhammad bin Tughluq,7,1290
Johann Christoph von Dreyhaupt,6,1699
Tiedemann Giese,5,1480
"Christopher II, Margrave of Baden-Rodemachern",12,1537
"James II, Count of Urgell",9,1380
Charles Bonnet,3,1720
Hans F. K. Günther,7,1891
Jean de Charpentier,6,1786
Pei Shu,3,841
Michael I Rangabe,6,770
Stefanos Dragoumis,6,1842
Jose de Mazarredo y Salazar,7,1745
Justus Gesenius,5,1601
Bernhard von Eskeles,5,1753
Samarth Ramdas,5,1608
Pere Johan,3,1390
Christian Fürchtegott Gellert,7,1715
Юрий Ярополчич,8,1105
"Soběslav II, Duke of Bohemia",10,1128
Ja'far ibn Yahya,6,767
Hugues d'Ivry,7,988
Thomas Robert Malthus,6,1766
Cui Yue,4,512
Walther Hewel,5,1904
Wilhelm Kopp,3,1471
Valdemar,3,1239
Bernd Rosemeyer,4,1909
Liu Xiang,3,-77
Clemens von Delbrück,6,1856
Bai Renfu,4,1226
"Catherine of Hanau, Countess of Wied",9,1525
William de Ros,4,1200
"Roger-Bernard II, Count of Foix",10,1195
"John III, Marquess of Montferrat",10,1362
"John I, Duke of Brunswick-Grubenhagen",11,1350
Johann Jakob Brucker,5,1696
Gottfried Heinrich Trost,5,1673
Stefano Visconti,3,1288
Paul Julius Möbius,5,1853
Chilperic II,6,670
Countess Palatine Elisabeth Auguste of Sulzbach,10,1721
Hugo Rasmussen,3,1941
Lv Duan,3,935
Formosus,3,816
Gregory VI of Cilicia,6,1112
Boniface of Savoy,5,1207
Rudolph Goclenius the Younger,8,1572
Adalbert of Mainz,5,1100
"Johann Georg, Duke of Saxe-Weissenfels",11,1677
Fritz Todt,4,1891
Abdul Momin of Brunei,6,1788
Mikołaj Kiczka,7,1382
Isabel Marshal,3,1200
Otto Ciliax,4,1891
Joan of Geneva,4,1001
Taira no Kiyomori,7,1118
Just of Lyon,4,301
Éléonore Desmier d'Olbreuse,11,1639
Andrea Falconieri,4,1585
"John, Marquis of Montemor-o-Novo",12,1430
Mikhail II of Tver,6,1333
Ulrich von Ortenburg,5,1188
John Sarkander,4,1576
Heinrich Leopold Wagner,4,1747
Pedro González de Lara,5,1100
Benedetto Sinigardi,6,1190
Fernando Ansúrez II,6,901
Nicholas Magni,4,1355
"Henry Wenceslaus, Duke of Oels-Bernstadt",13,1592
Alessandro Algardi,5,1598
Karl Becker,3,1775
Þórður Sturluson,8,1165
Matthias Flacius,4,1520
Amalie of Nassau-Dietz,8,1655
Shin Saimdang,5,1504
Johann Heinrich Westphal,5,1794
Cao Zhongda,4,882
"René, Duke of Alençon",7,1454
Stephanie L. Kwolek,7,1923
Theobald of Arles,5,860
高洽,3,542
Johann Georg Bürgy,5,1771
Philip of Swabia,5,1177
Robert Guibé,5,1460
Isaac Bernays,4,1792
Albert Krantz,4,1448
"Charles III, Duke of Lorraine",7,1543
Konrad Grünenberg,4,1442
John Stonor,4,1281
Hasan al-Rammah,7,1200
Gaspar van Weerbeke,7,1445
Gabrielle-Suzanne de Villeneuve,6,1685
Erhart Griesser,5,1400
"John George, Elector of Brandenburg",7,1525
Lorenzo Campins y Ballester,7,1726
Francesco Redi,4,1626
Esther Szekeres,4,1910
Pierre Varignon,4,1654
Marie Eleonore of Cleves,7,1550
Uthman ibn Abd al-Haqq,10,1196
Georg Friedrich of Hohenlohe-Neuenstein-Weikersheim,15,1569
"Frederick I, Grand Duke of Baden",8,1826
Bernardo de Alderete,6,1560
Jean Mone,3,1500
Jacqueline Cochran,3,1906
Tauno Luiro,5,1932
Stephanie of Armenia,4,1195
Khoja Akhmet Yassawi,8,1103
Roger Bernard III,4,1310
Jia Kui,3,174
Bernhard Weiss,3,1827
Lupo II of Gascony,7,718
Józef Poniatowski,6,1763
"Archduke Charles, Duke of Teschen",9,1771
Philippa of Dreux,6,1192
Frederick II of Prussia,5,1712
Étienne II Le Noir,5,1699
Joseph Vernet,4,1714
Larry Flynt,4,1942
John of Trogir,6,1100
Ernst Wollweber,4,1898
Matilda of Frisia,6,1024
Gautier de Dampierre,6,1030
Georg Ernst Stahl,4,1659
Manuel Anemas,4,1099
Bernard of Botone,5,1200
Johann Joachim Kändler,5,1706
Francesco Rasi,4,1574
Cui Renshi,5,580
"Charles II, Lord of Monaco",7,1555
Friedrich Heinrich von Seckendorff,7,1673
Epiphanius the Wise,6,1350
Andrea Navagero,5,1483
Chen Kui,3,1128
Cristóvão da Costa,6,1515
Heinrich Parler the Elder,6,1310
Ibn 'Adlan,5,1187
Robert Cecil,3,1864
Șerban Cantacuzino,8,1640
Georg Ernst Ludwig Hampe,6,1795
John Bokyngham,6,1301
Jacob Obrecht,4,1457
Wang Anshi,4,1021
Frederick II of Prussia,5,1712
John Davis,3,1550
Zoe Porphyrogenita,5,978
Ada of Caria,5,-400
Svatopluk I,6,840
Friedrich I. von Brehna,7,1126
Karl Friedrich von dem Knesebeck,9,1768
Jordan of Pisa,4,1260
Thibaut de Blaison,6,1150
Owain mab Urien,6,501
Ercole de' Roberti,7,1450
Heinrich von Zipplingen,6,1300
Thomas Murner,5,1475
Alberich Mazak,6,1609
Friedrich Traugott Kützing,8,1807
Sauli Pälli,6,1912
Irene Komnene Laskarina Branaina,9,1250
Zhang Jun,3,307
Vladimir Vasilkovich,5,1249
Pyotr Koshevoy,7,1904
"James Hamilton, 5th Duke of Hamilton",10,1703
William of Northall,5,1150
Georg August Schweinfurth,7,1836
"Louise de Keroual, Duchess of Portsmouth",10,1649
Thomas Fritsch,4,1666
Abraham Gotthelf Kästner,8,1719
Thierry Ruinart,4,1657
Konstantinos Lekapenos,7,930
Ferdinand von Trauttmansdorff,7,1749
Mu Xiu,3,979
Johann Schroth,4,1798
An Deyu,4,940
Samuel-Auguste Tissot,6,1728
Henry VII of Brzeg,6,1344
Karl Benz,3,1844
Willem van Bemmel,5,1630
Жиль Пулен,5,1250
Henning Arnisaeus,6,1570
Emperor Xiaowu of Jin,7,362
Sophia of Hungary,4,1050
Friedrich Adler,3,1827
Bill Johnston,3,1894
Princess Shunde,4,1111
Gustav Jäger,3,1832
Franz Leopold von Nádasdy,7,1708
Roger de Mortemer,6,990
Peter Jelito,4,1325
Johannes Karl von und zu Franckenstein,8,1610
Gerard of Brussels,4,1187
Silvio Gesell,5,1862
Johann Christoph Denner,5,1655
Jacopo Sansovino,6,1486
Muhammad II of Ifriqiya,8,851
August Neander,3,1789
Simon Stevin,4,1548
Ioannis Politis,5,1886
Francis II,3,1435
Muhammad bin Hasan al-Baghdadi,9,1150
Constance of Sicily,5,1249
Gregory VII,3,1020
Henry Cavendish,3,1731
Chu Suiliang,5,597
At-Ta'i,6,932
Jerome of Moravia,5,1250
Alexander Hamilton,3,1757
Nijō Tameyo,6,1250
Michiel de Swaen,6,1654
Walter van Terwaan,5,1085
George III of Great Britain,6,1738
Muhammad Ali,3,1942
Heinrich Hart,3,1855
Andrea Andreani,4,1541
Gottfried von Vaihingen,7,1189
"Maria of Aragon, Lady of Cameros",9,1299
Severus of Antioch,5,456
Sigurd Magnusson,5,1180
Joseph Leonz Andermatt,6,1740
Silvin of Auchy,6,650
Heinrich Georg Erbshäuser,6,1844
Maximilian Friedrich von Königsegg-Rothenfels,12,1708
Blanche of Bourbon,5,1339
Jan van Riebeeck,6,1619
Aimar de Maugiron,7,1500
Avigdor Kara,5,1350
Wei Zheng,3,580
Carl Koldewey,5,1837
"Thomas Fleming, Earl of Wigtown",8,1301
Guido Bigarelli,4,1220
Krzysztof Kieślowski,7,1941
Christina Abrahamsdotter,6,1432
Boniface III,4,1424
Anthony of Padua,4,1195
Heinrich Blarer,5,1450
Gerald of Wales,4,1146
Radu cel Frumos,6,1439
Bartolus de Saxoferrato,9,1313
Agnellus of Pisa,6,1194
Georg Amadeus Carl Friedrich Naumann,7,1797
Heinrich Grymhardt,5,1350
Andrea Caccioli,5,1194
Marcellin Berthelot,6,1827
Johann Gottlob Leidenfrost,6,1715
Heinrich Reuß von Plauen,7,1400
Andrés Dorantes de Carranza,7,1500
Jan Mombaer,5,1460
John I of Münsterberg,6,1380
Louis Le Vau,4,1612
Carmen Hermosillo,5,1940
Yu Seong-ryong,7,1542
Isaak Iselin,5,1728
Michel Pécheux,5,1911
Durandus of Saint-Pourçain,10,1272
Marcel Jacques Boulenger,5,1873
Umm Kulthum bint Muhammad,6,603
Christoph Brouwer,4,1559
Galileo Galilei,5,1564
Jan Kropidło,6,1360
Emanuel Mendel,4,1839
Leo V,3,1342
Francisco de Almeida,4,1450
Matthew Paris,3,1200
Cuthbert Tunstall,6,1474
Ali ibn Sahl Rabban al-Tabari,11,838
Raimondo di Sangro,7,1710
Ursus of Solothurn,7,201
Blessed Gerard of Clairvaux,6,1120
Jacob ben Machir ibn Tibbon,8,1236
James K. Polk,5,1795
Johannes Caioni,4,1629
Hugh of Fosses,5,1093
Philip of Oldcoates,6,1150
"Ralph Neville, 2nd Baron Neville de Raby",12,1290
Michael Alberti,4,1682
Paul of Venice,4,1369
"George Calvert, 1st Baron Baltimore",9,1578
Christian Wierstraat,4,1450
Zhao Rukuo,4,1170
"Albert Azzo II, Margrave of Milan",10,1009
Michelangelo Ricci,4,1619
Birol Ünel,5,1961
Henry I of Mödling,6,1158
Johann Ludwig Christ,4,1739
Willem Procurator,4,1295
Jean de Terrevermeille,6,1370
Paul Mauriat,4,1925
Liu Yan,3,716
Stanislav Petrov,4,1939
historical Jesus,3,-1
Andrew of Phu Yen,5,1624
Marco Benefial,4,1684
Viktor Brack,3,1904
Stanisław Konarski,5,1700
Isabella Leonarda,4,1620
Jakob Rodewitz,4,1365
Philipp Buchner,4,1614
Mark W. Clark,5,1896
Gottfried III,4,1214
Jan Santini Aichel,6,1677
"Adolph II, Prince of Anhalt-Köthen",12,1458
Otto van Bronckhorst-Borculo,9,1429
Alain V de Rohan,5,1205
Johan II van Wittem,6,1340
Adam von Bodenstein,5,1528
"William XII, Count of Auvergne and Boulogne",9,1300
Johann Timotheus Hermes,6,1738
Alfred Nobel,3,1833
Juana Alfonso de Castilla,6,1342
Christina the Astonishing,5,1150
Thomas Cranmer,4,1489
Johann Jakob Bodmer,5,1698
François de Joyeuse,5,1562
Wilhelm von Rath,4,1585
Johann Jacob Bach,4,1682
Yuan Mei,3,1716
Sámuel Kálnoky,9,1640
Hamza Hakimzade Niyazi,8,1889
Roger de Lacy,4,1170
Bolesław IV of Legnica,9,1349
Richard Morton,3,1637
"Eitel Frederick IV, Count of Hohenzollern",11,1545
Lucy of Bolingbroke,6,1100
Jürgen Buchheister,5,1949
Francesco Maria Torelli,5,1450
Rudolf Nebel,3,1894
Paul V,3,1552
Luke of Prague,4,1460
Maria of Borovsk,5,1418
Ernst Gottlieb Baron,4,1696
Gustav Heinrich Wiedemann,5,1826
Ava,2,1060
François-René de Chateaubriand,9,1768
Beatrix of Poitiers,5,1075
Johann Peter Kellner,5,1705
Obadiah the Proselyte,7,1073
Ennio Morricone,6,1928
Benedetta of Cagliari,5,1194
Yuan Zai,4,713
Anton Carl Ludwig von Tabouillot,8,1775
Friedrich von Scholtz,5,1851
Michael Italikos,4,1090
Domenico Capranica,6,1400
Arthur F. Andrews,5,1876
Gonzalo Pérez,4,1380
