prompt,prompt_len,target
The Inner Circle,4,418.0
The New Centurions,6,384.0
The Last Book in the Universe,7,223.0
The Rifles,3,411.0
But What If We're Wrong? Thinking About the Present As If It Were the Past,19,288.0
Jade City,3,560.0
The Blade Artist,4,288.0
The Fellowship of the Ring,6,423.0
A Short History of Tractors in Ukrainian,9,336.0
Sucker's Portfolio,6,190.0
Robots and Empire,4,383.0
Foe,3,224.0
The Brief and Frightening Reign of Phil,9,130.0
Starless Night,4,311.0
Boy Erased: A Memoir,7,352.0
Metro 2034,7,448.0
The Amber Spyglass,5,518.0
The Golem and the Jinni,7,496.0
"Will Grayson, will grayson",7,310.0
After the Darkness,4,352.0
50 Reasons to Hate the French: Vive La Difference?,13,304.0
Skin Trade,3,486.0
"The Stars, Like Dust",6,218.0
Derby Girl,3,240.0
To Be the Man,5,352.0
The Glory of Their Times,6,384.0
Many Waters,3,351.0
The Ode Less Travelled: Unlocking the Poet Within,12,220.0
Bullet,2,368.0
Skeleton Coast,3,384.0
A Brief History of Seven Killings,8,688.0
No Ashes in the Fire,6,257.0
The Man with the Red Tattoo,7,320.0
Señor Vivo and the Coca Lord,7,288.0
Diamonds Are Forever,4,257.0
Down a Dark Hall,5,181.0
Affliction,3,570.0
Alcatraz Versus the Evil Librarians,7,320.0
Book of Vile Darkness,5,192.0
A More Perfect Constitution,5,352.0
A Case of Exploding Mangoes,8,336.0
The Sculptress,4,480.0
Think Like a Freak,5,288.0
The Crimson Campaign,4,593.0
Road to Nandikadal,6,770.0
Lamentation,4,650.0
The Man with the Red Tattoo,7,320.0
The Miraculous Journey of Edward Tulane,8,192.0
The Cold Six Thousand,5,672.0
Akhenaten: Son of the Sun,9,288.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,21,224.0
The Camel Club,4,816.0
Island in the Sea of Time,7,608.0
Bare-faced Messiah,5,380.0
The People of Sparks,5,338.0
How to Be Good,5,256.0
Drop City,3,464.0
Sexy,2,272.0
It's Superman!,6,384.0
Typhoon Fury,4,448.0
Artemis Fowl and the Time Paradox,8,432.0
Fates Worse Than Death,6,240.0
Tales from the Mos Eisley Cantina,9,400.0
American Shows of All Time,6,432.0
Pursuit Of Honor,5,431.0
Waylander,3,320.0
Postsingular,3,320.0
Prey,3,502.0
The Omen Machine,4,525.0
Maps and Legends,4,222.0
Atheist Delusions: The Christian Revolution and Its Fashionable Enemies,14,272.0
Perfect Match,3,368.0
If I Did It,5,210.0
Sharpe's Regiment,6,416.0
Tanequil,4,368.0
The Other Queen,4,448.0
Rogue Planet,3,336.0
Live Flesh,3,272.0
Rich Dad Poor Dad,5,336.0
State of Denial:,5,560.0
No Apology:,5,336.0
The Case Against Barack Obama,6,298.0
Mafia Queens of Mumbai,5,290.0
Fortune's Rocks,5,453.0
Forest Mage,3,660.0
Hush Little Baby,4,272.0
Been Down So Long It Looks Like Up to Me,11,269.0
Boomsday,3,336.0
The Decay of the Angel,6,271.0
Survivor's Quest,5,368.0
Firesong,4,352.0
Death by a Thousand Cuts,6,336.0
Birds of Prey,4,348.0
Memories of Ice,4,1187.0
Larry's Party,5,339.0
Gregor and the Prophecy of Bane,7,320.0
Wolf-Speaker,4,182.0
Fell,2,544.0
Something Borrowed,4,352.0
After Atlas,3,365.0
Anatomy of a Disappearance,6,256.0
1634: The Baltic War,9,448.0
Dance of Death,4,451.0
Star Wars: The Old Republic: Revan,10,298.0
What Happened: Inside the Bush White House and Washington's Culture of Deception,16,400.0
Caramelo,4,449.0
Blue Like Jazz,4,256.0
Freakonomics:,4,336.0
Adventures of Whim,5,320.0
Children of the Fleet,5,304.0
Wither,3,368.0
The Ghost King,4,352.0
Dreadnought!,4,252.0
The Simoqin Prophecies,7,505.0
Pig Island,3,352.0
Unless,2,224.0
And the Mountains Echoed,6,402.0
The Paris Architect,4,384.0
Reality Hunger,3,240.0
Sharpe's Escape,6,351.0
We Were Soldiers Once… and Young,8,432.0
The Dark Tower:,5,336.0
1824: The Arkansas War,9,427.0
Adrian Mole and the Weapons of Mass Destruction,9,352.0
On Canaan's Side,6,272.0
Mister Monday,3,445.0
Champlain's Dream,6,834.0
Exhalation: Stories,5,368.0
The Never War,4,352.0
A Fighting Chance,4,384.0
The Tuloriad,5,432.0
"Enchanted, Inc",5,320.0
Dark Intelligence,3,400.0
Marching Through Georgia,5,205.0
Lost Light,3,368.0
The Inner Circle,4,418.0
Girl with a Pearl Earring,7,258.0
Jacky Daydream,5,307.0
More Money Than God,5,496.0
Sag Harbor,3,288.0
Moriarty,3,320.0
Sundays at Tiffany's,7,320.0
Micro,2,424.0
Blade Runner 3: Replicant Night,9,321.0
The Artemis Fowl Files,6,214.0
The Structure of Evolutionary Theory,6,1433.0
The Pirates! in an Adventure with Ahab,10,160.0
Jewels,3,471.0
TV (The Book):,6,432.0
Micro,2,424.0
December 6,4,352.0
The Quick Red Fox,5,160.0
Mindplayers,3,276.0
Bloomability,4,242.0
A Mother's Gift,6,240.0
Thunderball,3,253.0
Playing It My Way,5,486.0
The Visitor,3,512.0
Bitter Life,3,176.0
A Rogue Economist Explores,6,336.0
American Shows of All Time,6,432.0
The Lords of the North,6,366.0
Timequake,3,219.0
The Mousetrap and Other Plays,8,659.0
CHERUB: Brigands MC,7,406.0
The Last Coyote,4,400.0
Mistress of the Game,6,336.0
The Brief and Frightening Reign of Phil,9,130.0
Reincarnation,3,304.0
More Money Than God,5,496.0
Diary of a Bad Year,6,304.0
Out from Boneville,5,144.0
Shaman's Crossing,6,400.0
Tideland,3,192.0
"The Years of Extermination: Nazi Germany and the Jews, 1939–1945",23,896.0
The Book of Negroes,5,511.0
Skin Trade,3,486.0
Breaking the Surface,4,320.0
The Abortion: An Historical Romance 1966,12,226.0
Gregor and the Prophecy of Bane,7,320.0
Drop City,3,464.0
Si-cology 1,6,231.0
The Wapshot Chronicle,5,307.0
The Cutthroat,4,416.0
Sharpe's Waterloo,6,416.0
The Art of Drowning,6,112.0
A Princess of Landover,6,352.0
Subscribed: Why the Subscription Model Will Be Your Company's Future – and What to Do About It,21,256.0
Schindler's Ark (Schindler's List),13,380.0
The Worry Website,4,123.0
Destiny's Road,5,448.0
The Last Lecture,4,224.0
The Eyes of Darkness,5,369.0
The Mighty Miss Malone,5,320.0
Red Dwarf,3,304.0
Blood of Tyrants,5,431.0
The Essex Serpent,4,432.0
The Angel's Game,6,672.0
Broken Homes,3,368.0
Avalon,3,440.0
Sharpe's Fortress,6,301.0
The Heroin Diaries: A Year in the Life of a Shattered Rock Star,17,432.0
When Breath Becomes Air,5,228.0
Rebecca's Tale,5,512.0
Homeward Bound,4,608.0
Postcolonial Theory and the Specter of Capital,10,256.0
The Gardener's Son,6,93.0
The Burning Room,4,400.0
A Kiss of Shadows,5,435.0
My Beloved World,4,336.0
Atlantis Found,4,534.0
Cat Among the Pigeons,7,256.0
The Sea,3,200.0
The Greatest Show on Earth: The Evidence for Evolution,11,470.0
Book of Night With Moon,6,352.0
The Six Sacred Stones,5,506.0
Metro 2033,7,544.0
Tamsin,4,288.0
American Tabloid,4,576.0
Too Much Happiness,4,320.0
The Merchant of Death,5,372.0
Dancing the Dream,4,148.0
The Quick Red Fox,5,160.0
The Book of Negroes,5,511.0
Revolution in the Head: The Beatles' Records and the Sixties,14,544.0
Don't Make a Black Woman Take Off Her Earrings,12,272.0
We Need to Talk About Kevin,7,416.0
Total Control,3,520.0
"Mao's Great Famine: The History of China's Most Devastating Catastrophe, 1958–62",29,448.0
The Angel's Game,6,672.0
"The Square and Tower: Networks, Hierarchies and the Struggle for Global Power",17,608.0
Robopocalypse,4,368.0
Homeward Bound,4,608.0
Blood Red Road,4,544.0
Bloodline,3,352.0
The Strange Death of Europe,6,352.0
Halo: Ghosts of Onyx,6,384.0
Last Orders,3,304.0
The Restraint of Beasts,6,208.0
My Sister's Keeper,6,432.0
"The Secret Diary of Adrian Mole, Aged 13¾",13,259.0
Dreamcatcher,3,620.0
