prompt,prompt_len,target
8 6 3 * +,8,26
2 8 1 + *,8,18
2 8 5 - *,8,6
3 6 4 - *,8,6
8 9 9 * -,8,-73
4 4 9 * -,8,-32
6 2 7 * +,8,20
1 4 7 * -,8,-27
7 3 2 * +,8,13
6 3 3 * -,8,-3
1 8 7 * +,8,57
3 3 6 + *,8,27
4 4 3 - *,8,4
7 5 3 + *,8,56
5 1 7 - *,8,-30
6 4 7 + *,8,66
1 7 2 - *,8,5
4 4 5 - *,8,-4
4 4 9 + *,8,52
2 6 5 * -,8,-28
5 7 1 - *,8,30
5 7 9 - *,8,-10
1 1 1 * -,8,0
5 2 6 * -,8,-7
4 7 7 * -,8,-45
3 3 1 - *,8,6
3 4 7 * +,8,31
2 7 5 * -,8,-33
7 3 2 + *,8,35
7 9 3 * +,8,34
8 1 3 - *,8,-16
5 9 3 * -,8,-22
4 2 1 - *,8,4
6 1 6 + *,8,42
7 4 1 + *,8,35
4 9 1 * +,8,13
8 8 7 - *,8,8
5 3 3 + *,8,30
7 1 8 * +,8,15
7 7 8 * +,8,63
9 2 3 * -,8,3
4 9 1 * +,8,13
1 2 9 * -,8,-17
4 2 2 + *,8,16
8 9 4 * +,8,44
5 8 2 + *,8,50
2 8 2 - *,8,12
4 6 9 * -,8,-50
7 5 9 - *,8,-28
3 4 7 * -,8,-25
8 2 1 - *,8,8
5 6 7 - *,8,-5
4 4 1 * +,8,8
3 1 1 * +,8,4
7 2 9 * -,8,-11
2 2 7 * -,8,-12
4 6 2 + *,8,32
1 5 2 + *,8,7
1 9 2 * +,8,19
6 3 9 * -,8,-21
8 9 5 + *,8,112
2 1 9 + *,8,20
1 5 3 - *,8,2
3 5 4 * +,8,23
1 8 7 + *,8,15
1 5 6 * -,8,-29
7 9 5 + *,8,98
6 2 7 * -,8,-8
6 5 7 + *,8,72
8 5 8 * +,8,48
7 7 5 * -,8,-28
1 8 2 * -,8,-15
6 8 1 * +,8,14
1 7 2 - *,8,5
4 9 5 * +,8,49
9 6 6 * +,8,45
9 8 3 * -,8,-15
4 4 6 - *,8,-8
9 7 5 - *,8,18
6 4 9 * -,8,-30
3 6 4 * -,8,-21
3 8 6 + *,8,42
4 3 7 - *,8,-16
9 8 4 * +,8,41
8 6 4 * +,8,32
7 6 7 * -,8,-35
5 3 4 - *,8,-5
2 1 7 + *,8,16
2 5 6 * -,8,-28
3 3 3 * +,8,12
4 7 8 * +,8,60
3 6 9 * +,8,57
5 7 7 - *,8,0
8 9 7 + *,8,128
2 8 2 + *,8,20
5 5 6 * +,8,35
4 6 9 + *,8,60
7 9 9 * -,8,-74
8 3 1 * +,8,11
3 4 5 - *,8,-3
5 6 2 - *,8,20
8 4 9 - *,8,-40
6 6 2 - *,8,24
2 1 7 * -,8,-5
8 6 4 + *,8,80
5 5 4 * -,8,-15
6 5 4 * +,8,26
2 4 2 + *,8,12
9 5 1 - *,8,36
4 9 3 * -,8,-23
2 8 9 * +,8,74
2 1 6 * -,8,-4
1 8 4 + *,8,12
9 2 5 * +,8,19
9 6 6 + *,8,108
9 1 6 * -,8,3
3 6 4 - *,8,6
7 4 1 + *,8,35
3 1 3 * -,8,0
3 7 5 * +,8,38
6 5 8 - *,8,-18
