prompt,prompt_len,target
Fatima al-Fihri,8,80.0
Zhao Kai,3,29.0
Johann Kaspar Friedrich Manso,6,66.0
Mohammad Abu Abdallah Ben Hudhail al Sahuir,12,68.0
Franz Anton von Kolowrat-Liebsteinsky,12,83.0
"Henry IV, Count of Holstein-Rendsburg",11,30.0
Otton de Grandson,6,90.0
"Ana de Mendoza, Princess of Eboli",9,52.0
Alfred von Croÿ,5,72.0
Nicolaus of Luxemburg,5,36.0
"William II, Princely count of Henneberg-Schleusingen",14,29.0
Lady Ann Cunningham,4,66.0
Han Yuan,3,53.0
"Thomas Howard, 5th Duke of Norfolk",10,50.0
Willem van Aelst,6,52.0
Max von Stephanitz,5,72.0
"Philipp Julius, Duke of Pomerania",8,41.0
Yixing,4,44.0
Gogugyang,4,41.0
Robert Granjon,4,76.0
Jean-Baptiste Say,5,65.0
Peter Stromer,4,73.0
Elizabeth de Comyn,5,73.0
Countess Palatine Dorothea of Simmern,8,50.0
Ashikaga Yoshikane,6,45.0
Bertha Augusti,5,59.0
Pietro Barbolano,5,82.0
Adalbert Bezzenberger,6,71.0
Héloïse d’Argenteuil,9,63.0
Friedrich Olbricht,4,56.0
斯拉沃米尔,5,71.0
"Henry Grey, 2nd Earl of Tankerville",11,39.0
Pedro Gómez Barroso,5,78.0
"Charles Brandon, 1st Duke of Suffolk",10,61.0
Diego de Almagro,6,63.0
Gregory XII,3,82.0
"Gaston IV, Viscount of Béarn",9,56.0
Nikolai Bulganin,6,80.0
"Theobald le Botiller, 2nd Chief Butler of Ireland",14,29.0
Anton Dreyssig,5,41.0
Georg Heinrich Zincke,5,77.0
Karl Ludwig Harding,4,69.0
"Ulick Burke, 1st Marquess of Clanricarde",14,53.0
Jakob II Bernoulli,4,30.0
Johanna of Bavaria-Landshut,7,31.0
Johann Wolfgang Baumgartner,5,59.0
Cassandra Fedele,4,93.0
Floris I van Bronckhorst,8,68.0
Antoni Grabowski,5,64.0
Kasper Doenhoff,6,57.0
Andreas Baumkircher,5,51.0
Gerard Leeu,4,47.0
Samuel z Kalamun,5,98.0
Friedrich August Grotefend,6,38.0
Felix Dahn,4,78.0
Hans Brüggemann,5,60.0
Fra Bartolomeo,4,45.0
"Elizabeth of Carinthia, Queen of Germany",10,50.0
Ludwig von Siegen,5,71.0
Peter III of Aragon,5,46.0
Pierre de Roubaix,5,83.0
Blanca Alfonso de Molina,6,50.0
Friedrich Albert Zorn,4,79.0
Countess Palatine Margaret of Mosbach,8,25.0
Claude Debussy,3,56.0
Empress Mao,4,87.0
Al-Bayhaqi,6,72.0
Marquard von Salzbach,6,60.0
Emilie of Saxony,5,75.0
Cassandra Fedele,4,93.0
Étienne Lauréault de Foncemagne,9,85.0
Balthasar Kindermann,6,70.0
Paul Mauser,4,76.0
Carl Ferdinand Appun,5,52.0
Philipp Lenard,4,85.0
François Leclerc du Tremblay,6,61.0
"Infanta Pilar, Duchess of Badajoz",9,84.0
Grete von Urbanitzky,7,83.0
István Ákos,5,55.0
Gustave Flaubert,5,59.0
Wichmann the Elder,5,44.0
Arnold von Lasaulx,6,47.0
Willibald Alexis,4,73.0
"Rudolf V, Margrave of Baden-Pforzheim",12,60.0
Martyn Lloyd-Jones,6,82.0
Christiane Charlotte of Württemberg-Winnental,11,35.0
Joanna Elisabeth of Holstein-Gottorp,9,48.0
Hugo Kołłątaj,6,62.0
Eino Kirjonen,5,55.0
Eddie Cochran,3,22.0
Cathal Cú-cen-máthair,11,63.0
Robert of Thwing,5,35.0
Gerhard von Zezschwitz,7,61.0
Margaretha Kettler,6,60.0
Abbad ibn Bishr,6,26.0
"Louis, Duke of Durazzo",7,35.0
Su Shi,3,64.0
"Bernard II, Count of Besalú",9,99.0
George Townsend,3,75.0
Johann Karl Wilhelm Vatke,6,76.0
Johann Philipp Franz von Schönborn,7,51.0
Henry Wotton,4,71.0
Jeong Bal,4,39.0
Accursius,4,78.0
Willem van Bemmel,5,78.0
Otto von Camphausen,5,84.0
Richard Nixon,3,81.0
Adrianus Petit Coclico,6,63.0
Hassan-i Sabbah,6,73.0
Danese Crivelli,5,52.0
Gang Hong-rip,5,67.0
Gerard II of Culemborg,8,65.0
"John Frederick, Prince of Schwarzburg-Rudolstadt",11,46.0
Li Sui,3,33.0
Ibn Majah,4,62.0
Thomas of Blamont,6,55.0
Stephen I of Moldavia,6,35.0
Robert de Stretton,5,84.0
Cao Zhongda,4,61.0
Zhao Jing,3,60.0
Rodrigo de Villandrando,6,71.0
Judah ben Saul ibn Tibbon,8,70.0
Walter of Bruges,4,80.0
Jiang Kui,3,66.0
Edmund Bolton,3,60.0
Li Mian,3,71.0
Peter Reichensperger,5,82.0
"Joan, Duchess of Brittany",6,65.0
Hans Prinzhorn,5,47.0
Arnaut Catalan,4,34.0
William of the Principate,6,53.0
"Francis, Duke of Anjou",7,29.0
Pierre Bertrand,3,69.0
Ettore Fieramosca,6,39.0
