prompt,prompt_len,target
TRIUMPHANT FULL GOSPEL ASSEMBLY CHURCH,11,-73.92979931958314
JEROME PLAYGROUND SOUTH,6,-73.9138618328718
SOUL SAVING CHRIST CRUSADE,9,-73.95225552980949
MASTER BUILDING,3,-73.97117009849488
MASPETH LIBRARY,5,-73.89308490165291
PIER 23-HARRISN ST,10,-74.01341327269381
BRIGHTON BEACH LIFEGUARD STATION BRIGHTON 2 ST,14,-73.96304900312194
MCKENNA SQUARE,5,-73.93923815248051
CHELSEA HOUSES BUILDING 1,9,-74.00149500860206
BAYBRIDGE GREEN,4,-73.78619829575014
LIJ DIALYSIS CENTER,6,-73.74268808074522
BECK MEMORIAL CHURCH,4,-73.88007670566229
PS 46 ALLEY POND,8,-73.75807975693675
ST RAYMONDS HS,6,-73.85400782885989
COLUMBIA UNIVERSITY DEPARTMENT OF PSYCHIATRY,10,-73.94485145791984
EDENWALD HOUSES BUILDING 1,9,-73.84330573671754
ST JOHNS U ROTC RESERVE CENTER,9,-73.7977577975512
WEST FARMS RAPIDS,6,-73.87773699166728
ABC NEWS 24 W 67 ST,11,-73.97915370091943
WOMENS SHELTER LAFAYETTE ST,11,-73.99445358126712
LINDEN HOUSES BUILDING 2,9,-73.88667753555897
CHILDREN'S ZOO TICKET BOOTH,9,-73.97080004917036
DEP HUNTS POINT WASTEWATER TREATMENT PLANT,9,-73.88431404058963
YESHIVAT OHR HAIIM,9,-73.82069493196703
AMBOY ROAD OVER LEMON CREEK,8,-74.20940484876046
PS/MS 194,8,-73.84657163494174
WALT WHITMAN HOUSES BLDG 5,12,-73.9737434613455
MT ST MICHAEL ACADEMY SCHOOL,6,-73.84230261210256
NOBLE PLAYGROUND BASKETBALL COURTS,9,-73.87252940176093
56 LEONARD BUILDING,5,-74.00625634659511
SAMUEL CITY HOUSES BUILDING 15,10,-73.93942685278351
SAMUEL CITY HOUSES BUILDING 15,10,-73.93942685278351
MTA CONEY ISLAND COMPLEX,6,-73.97617951067345
MANHATTAN BEACH PARK,7,-73.94309263056181
ASTORIA HOUSES BUILDING 23,9,-73.93735817045635
NEWTOWN CREEK,4,-73.94309858157055
VILLAGE ACADEMY,4,-73.74966932898309
JAMAICA BAY NATIONAL WILDLIFE REFUGE,9,-73.83026191082286
COOPER UNION 41 COOPER SQUARE,9,-73.99030843515243
WOODSIDE PROJECTS BUILDING 18,8,-73.9098362572492
PENTHOUSE 808 RESTAURANT,8,-73.94931747722696
MIRACLE GARDEN,4,-73.88774966062877
IS 72 ROCCO LAURIE,9,-74.15869555300502
BOBOVER YESHIVA BNEI ZION SCHOOL 47 ST,15,-73.98462136493308
SWINBURNE ISLAND,6,-74.05001861967602
FRESH MEADOWS PARK,6,-73.78553870119302
YESHIVA HECHAL MOSHE BETH JACOB,12,-73.97596137378235
HAWTREE CREEK MIDDLE SCHOOL,7,-73.81682131133795
NEW YORK STATE PSYCH INSTITUTE,6,-73.94437020810646
JESUS CHRIST LATTER DAY STS CHURCH,8,-73.97621144286202
CONEY ISLAND YARD,6,-73.97722119727236
OCEAN BAY (BAYSIDE) BLDG 10,15,-73.78242619254856
AMSTERDAM HOUSES BUILDING 5,9,-73.98685453479061
FAIRVIEW NURSING CARE CENTER,7,-73.83823041445527
W 77 ENTR OV PD PTH OPP W 77,15,-73.97322876082366
GENESIS HOMES,4,-73.89966011553837
NORTH SHORE TOWERS & COUNTRY CLUB,9,-73.71519674410493
DYKER BEACH PARK BALLFIELD 1,9,-74.01441785963014
SHERATON HOTEL TIMES SQUARE,7,-73.9814040330628
SUNKEN MEADOW FIELD 31,9,-73.91517510449542
BOGARDUS GARDEN,5,-74.0091123240133
COLUMBIA UNIVERSITY RIVER HALL,6,-73.96635417298994
AMERICAN MIME THEATRE,4,-73.99024220355759
MANHATTAN DAY SCHOOL YESHIVA OHR TORAH,14,-73.98412813617485
TREMONT MONTEREY DCC SITE 1,10,-73.88883349105708
EAST NYC LINE BUILDING 31,8,-73.87356300776426
MAX MELTZER TOWER,6,-73.9870176856282
NATIVITY BLSSD CH,6,-73.84848793293988
QUEENSBRIDGE NORTH HOUSES BUILDING 19,11,-73.94571751268735
FORDHAM UNIVERSITY FACULTY MEMORIAL,7,-73.88296657753287
SHOSTAKOVICH  SCHOOL OF MUSIC & ART,12,-74.00272684457892
REDFERN COMMUNITY CENTER,6,-73.75296929945073
MARITIME CRAFTS CENTER,7,-74.00343426314076
BEAUX ARTS APARTMENTS 307,10,-73.97024297314341
LAWRENCE PLAYGROUND COMFORT STATION,7,-73.83370887377005
DYCKMAN HOUSES BUILDING 5,9,-73.92259938797028
YANKEE STADIUM,6,-73.9265054412993
NINE52 BUILDING,6,-73.98908522529817
WAGNER COLLEGE UNION BUILDING,7,-74.09311123422987
WALD HOUSES BUILDING 12,9,-73.97583520997414
BROADHURST THEATRE,5,-73.98765508915673
BLOOMINGDALES 59 ST STORE,10,-73.966751502589
NEW HEIGHTS MIDDLE SCHOOL,6,-73.93678319754184
EZRA ACADEMY,4,-73.83236946740946
ROGER MORRIS PARK,5,-73.93815926498134
BUSHWICK UNITED LEARNING CENTER CENTRAL AVE,9,-73.92589965180703
DANIEL WEBSTER HOUSES,6,-73.90840347120334
RANDALL ISLND CONN PD OV BX KILL,12,-73.9163399999704
YURIY SHUKHEVYCH CORNER,10,-73.9645180362785
INGERSOLL PROJECTS BUILDING 26,10,-73.98132746742931
