prompt,prompt_len,target
Charlie Garner,3,football
Marco Belinelli,4,basketball
Shin-Soo Choo,5,baseball
Andrew Bynum,5,basketball
Joe Cribbs,4,football
Orlando Hudson,3,baseball
Ron Gant,3,baseball
Cris Carter,3,football
Anthony Tolliver,4,basketball
Marcus Semien,4,baseball
Kevin Duckworth,3,basketball
Jackie Robinson,3,baseball
Lou Brock,3,baseball
Charley Johnson,4,football
Jim Gentile,3,baseball
C.J. Cron,6,baseball
Eddie Rosario,3,baseball
Aaron Brooks,3,football
John Williams,3,football
Wally Szczerbiak,6,basketball
Al Kaline,4,baseball
Bryce Harper,3,baseball
Joe Crede,4,baseball
Aubrey Huff,4,baseball
Royce O'Neale,6,basketball
Keenan Allen,4,football
Garrett Jones,3,baseball
Franco Harris,3,football
Kelly Oubre Jr.,6,basketball
Carl Crawford,3,baseball
Rasheed Wallace,4,basketball
Ezekiel Elliott,4,football
Ricky Watters,4,football
Marcus Thames,3,baseball
Garrett Atkins,3,baseball
Mark Grace,3,baseball
Ken Stabler,4,football
LaDainian Tomlinson,6,football
Jeff McInnis,4,basketball
Darrell Armstrong,4,basketball
Doug Baldwin,3,football
Tony Zendejas,5,football
LeGarrette Blount,5,football
Tiago Splitter,4,basketball
Doug Christie,3,basketball
Terry Tyler,3,basketball
Álex Rodríguez,4,baseball
Dwight Evans,3,baseball
Allen Iverson,4,basketball
Chad Curtis,3,baseball
Brian Grant,3,basketball
Freddie Solomon,3,football
J.T. Realmuto,8,baseball
Evan Gattis,4,baseball
Dave Corzine,4,basketball
Steve Kerr,3,basketball
Kirby Puckett,4,baseball
Ernie Whitt,4,baseball
Norm Cash,3,baseball
Paul DeJong,4,baseball
Calvin Johnson,3,football
Carl Furillo,5,baseball
Joe Flacco,4,football
Swen Nater,5,basketball
Matt Schaub,4,football
Malcolm Brogdon,5,basketball
Sam Mitchell,3,basketball
Corey Seager,4,baseball
Jim Bakken,4,football
Franz Wagner,3,basketball
Dennis Johnson,3,basketball
Jose Altuve,5,baseball
Nate Washington,3,football
Kris Humphries,3,basketball
Charles Smith,3,basketball
Michael Finley,3,basketball
James Silas,3,basketball
Sam Cunningham,3,football
Doc Rivers,3,basketball
Dave Krieg,3,football
Doug Pelfrey,5,football
Ryan Mathews,3,football
Greg Olsen,3,football
Alex Len,3,basketball
Michael Jordan,3,basketball
Kareem Abdul-Jabbar,7,basketball
Thomas Jones,3,football
Sleepy Floyd,3,basketball
Roman Gabriel,3,football
Asdrúbal Cabrera,6,baseball
Mike Cameron,3,baseball
Jeimer Candelario,5,baseball
Cris Collinsworth,4,football
Ryan Tannehill,5,football
Tyrod Taylor,4,football
Olindo Mare,4,football
Jeff Francoeur,4,baseball
Rashad Jennings,4,football
Bonzi Wells,4,basketball
C.J. Watson,6,basketball
Aaron Williams,3,basketball
Malik Rose,3,basketball
Billy Kilmer,4,football
Antonio Brown,3,football
Bryant Stith,4,basketball
Don Baylor,3,baseball
Royce Clayton,3,baseball
Kenneth Davis,3,football
Dirk Nowitzki,5,basketball
Cordarrelle Patterson,5,football
Chuck Hinton,3,baseball
Steve Francis,3,basketball
Vincent Jackson,3,football
Lucious Harris,4,basketball
Luke Voit,3,baseball
Doug Baldwin,3,football
Jed Lowrie,4,baseball
Granny Hamner,5,baseball
Jay Fiedler,4,football
Dale Murphy,3,baseball
Jeff Ruland,4,basketball
Josh Richardson,3,basketball
Tommy Davis,3,baseball
David Justice,3,baseball
Josh Howard,3,basketball
Scott Norwood,3,football
Carlos Arroyo,3,basketball
Jamaal Wilkes,4,basketball
Tony Phillips,3,baseball
Ahmad Rashad,4,football
Shannon Stewart,3,baseball
Greg Olsen,3,football
Johnny Logan,3,baseball
Michael Irvin,3,football
John Carney,3,football
Kenny Stills,4,football
Kwame Brown,4,basketball
Evan Engram,4,football
Donovan Mitchell,3,basketball
John Briggs,3,baseball
Byron Scott,3,basketball
Peja Stojaković,6,basketball
Deron Johnson,4,baseball
Arvydas Sabonis,7,basketball
John Valentin,3,baseball
Harrison Butker,4,football
Garrett Atkins,3,baseball
Travis Fryman,4,baseball
Steve Stipanovich,4,basketball
Marquis Grissom,6,baseball
Domantas Sabonis,5,basketball
Quentin Richardson,3,basketball
Russell Martin,3,baseball
Stacey Augmon,4,basketball
Kirk Gibson,3,baseball
Jim King,3,baseball
Phil Simms,3,football
Todd Heap,3,football
Corey Hart,3,baseball
Scott Brooks,3,basketball
Kurt Thomas,3,basketball
Sonny Jurgensen,5,football
Jim Kelly,3,football
Bill Robinson,3,baseball
Troy Glaus,4,baseball
Luka Dončić,4,basketball
Justin Turner,3,baseball
Aaron McKie,4,basketball
Terry Kennedy,3,baseball
Shawn Kemp,3,basketball
Ted Kluszewski,5,baseball
Steve Finley,3,baseball
Jim Landis,3,baseball
Tyson Chandler,3,basketball
Shawn Kemp,3,basketball
Mitch Richmond,3,basketball
Khris Davis,4,baseball
