prompt,prompt_len,target
HONG KONG TRADE DEVELOPMENT,6,Manhattan
BERKELEY CARROLL MIDDLE & HIGH SCHOOL,9,Brooklyn
LITTLE WIDOWS MITE BAPTIST CHURCH,11,Bronx
HELLENIC CLASSICAL CHARTER SCHOOL,9,Staten Island
MARTIN LUTHER KING JR EDUCATIONAL CAMPUS,8,Manhattan
HOME DEPOT STARRETT CITY,7,Brooklyn
TUDOR PARK,5,Queens
US COAST GUARD STATION,5,Staten Island
TODT HILL HOUSES BLDG 6,11,Staten Island
LIFESTYLES FOR THE DISABLED,9,Staten Island
NOTRE DAME ACADEMY ELEMENTARY SCHOOL,9,Staten Island
PS 32 THE GIFFORD SCHOOL,9,Staten Island
CLAREMONT REHABS GROUP 2 BUILDING 2,13,Bronx
VLADECK HOUSES BUILDING 19,10,Manhattan
KNAPP ST OVER BELT SHORE PARKWAY,11,Brooklyn
MORRIS PARK 7 DAY ADVENTIST CHURCH,10,Bronx
ETHEL BARRYMORE THEATRE,7,Manhattan
HERITAGE PARK,4,Staten Island
ELEV8 CENTER,4,Manhattan
W BRIGHTON II HOUSES BUILDING 14,12,Staten Island
BULGARIA MISSION TO UN,7,Manhattan
ST JOHNS UNIVERSITY JOHN CARDINAL OCONNOR HALL,12,Queens
HIGHBRIDGE GARDENS BUILDING 5,8,Bronx
SPACETIME CC INC,6,Queens
PS 39 PLAYGROUND,7,Staten Island
MARKHAM GARDENS BUILDING 25,9,Staten Island
HIGH SCHOOL OF TELECOMMUNICATION ARTS & TECHNOLOGY,10,Brooklyn
FLUSHING MEADOWS CORONA PARK UTILITY BUILDING,12,Queens
HISTORIC RICHMOND TOWN,6,Staten Island
CONGREGATION BNAI ISRAEL OF MIDWOOD,11,Brooklyn
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,11,Bronx
PS 236 ANNEX,7,Bronx
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,9,Bronx
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,11,Brooklyn
LOUIS A FICKLING CHILD DEVELOPMENT CENTER,9,Bronx
PELHAM BAY GOLF COURSE,6,Bronx
HOOVER PLAYGROUND,5,Queens
WILLOUGHBY PLAYGROUND BASKETBALL COURT,9,Brooklyn
HOWARD JOHNSON INN JAMAICA JFK AIRPORT,10,Queens
BRIDGE PARK 1,5,Brooklyn
WOLFES POND PARK PLAYGROUND,8,Staten Island
LINCOLN HOUSES BUILDING 9,8,Manhattan
STONY CREEK MARSH,5,Brooklyn
MIDTOWN WEST 39 STREET FERRY LANDING,12,Manhattan
HINES PARK,4,Bronx
ACADEMY FOR HEALTH CAREERS,7,Brooklyn
JHS 202 ROBERT H GODDARD,12,Queens
ALLEY ATHLETIC PLAYGROUND,8,Queens
STATEN ISLAND ZOO CAROUSEL,9,Staten Island
MARCONI PARK COURT,6,Queens
GREAT KILLS YACHT CLUB,7,Staten Island
CENTRAL PARK DELACORTE CLOCK,7,Manhattan
QUEENSBOROUGH CC TECHNOLOGY BUILDING,8,Queens
HAWTREE BASIN,5,Queens
AMBROSE CHANNEL RANGE LIGHTHOUSE,10,Staten Island
