prompt,prompt_len,target
"An absolutely massive plate of chicken, fried-up veggies, and rice greeted us after we ordered the jerk chicken - it's a good thing we presciently chose to share!  Even between two of us it didn't all completely disappear.\n\nThe texture of the chicken was half tender, half car tire.  Not sure how they managed that.  The spice level was light, but some spicy orange sauce (meant for the plantains, but the plantain-eater is a spice-o-phobe) helped.  The chicken oil that soaked the rice made it ten times more delicious.  And the veggies may look like sad old Chinese stir-fry rejects, but they taste better than they look.\n\nThere's a big cooler filled with Jamaican drinks, or approximations thereof (see: Reed's ginger brew) and everyone's friendly as can be.",184,2
"I hate going here!  I say that because I end up needing to buy things here.  Its always full of people and most of the time it is packed with snowbirds.  Not my crowd of folks to hang out with, but can make for a slower than usual shopping experience at this location.\n\nEverything is fresh, produce and deli items are usually in good condition.",80,3
"Went to Kaya with my roommate, since she said the food was good the last time she went with her friends.  We arrived about 7:15pm on a Friday night, and the place wasn't too crowded and the service was good.\n\nWe ordered some nigri sushi and some of the skewers (bacon wrapped scallops - decent; beef tongue - under-seasoned, disappointed).  Most of the fish are good, but some were not too fresh.  \n\nAlso tried the Sweety Roll (based on previous Yelp review) and was really disappointed at how this tempura-style roll turned out to be.  The roll is big, but also filled with mostly rice.  The eel sauce it was dressed with tasted burnt=bitter, which is mostly not how eel sauce is supposed to taste like here normally.\n\nAlso tried the Rock & Roll (which the waiter said was a cucumber wrapped roll without rice) served with a kiwi sauce.  When the roll arrived, I can clearly see that whoever prepared it was no experienced sushi master or even someone with a decent knife skill (cucumber slice was uneven and on the thick side). The roll is also wrapped in seaweed with lots of rice and the fish described in the menu, which is then wrapped in the thick cucumber sheet. The kiwi sauce was okay, most likely made by blending mayo + some kiwi + sugar, which I thought was interesting to try, but nothing to write home to rave about.\n\nService from the waitstaff also suffered once we have been there for about 30 minutes, since there were a few groups of 5 or 6 that arrived. It was difficult to place new orders, get refills on our beverages, until additional waitstaff stepped in to help out.\n\nOverall, I would say that it is a decent AYCE sushi experience for the $29 (incl tax and tip, no other beverages).  But if you go, stick to their nigiri and appetizer menu.  The special rolls sounds good on paper, but falls short on taste and execution. Also sit at the sushi bar if you can, so you can at least ask the sushi chefs what fish is fresh and what you should avoid.",459,1
"Went to eat here with my family which is a big group.  We decided to get separate checks to keep it easier for both the staff and us.   The food came out relatively quickly but we had no way of remembering who ordered what (as is common with big sushi orders).  My end of the table continually received tons of sushi to the point where we asked if it was a mistake.  The server kept saying that this was what we ordered even after suggesting several times that perhaps it was for the other end of our large party who hadn't received most of the sushi they had ordered.  Since there is a time limit and a per piece charge for uneaten sushi we cancelled the remaining order for our end of the table.  \nMeanwhile, the other end of the table had only received one of the rolls out of the 5-6 they had ordered.  When it was brought to the servers attention, she said that it was coming.....but still didn't put it together that our end of the table had gotten way more than we ordered.  \nSo, long story short, the owner came out and pretty much said \""too bad\"" and that they could order more since it was all you can eat...  We were already past the 90 minute limit and most of the party was done eating.  Reality is that they were just unaccommodating.  The sushi was fine and the price was right...but I felt bad that some of our party left hungry and they still paid the same amount as the rest of us who were full of sushi.",325,1
"Ok why does the gate have to be like a million miles away?  I swear that tram ride gets longer every time I go.  When you get there, it seems ok.  I guess the anticipating of getting to the strip has you distracted from the fact that it is a long way to get out of the airport.\n\nOn the way home, everything is miserable.  The long walk to security.  The horrible long lines, even when I flash my badge to go through the express lane.  The ride on the tram seems like you gone a mile to get to this 3-story escalator.  When you get to the top you are greeted by restaurants that makes your hangover worse from all the greasy smell in the air.  The only good experience I had was getting bored from a delayed flight and slipping a $5 bill into the slot machine and winning $87.00, 10-minutes later.",194,1
"Potomac Bakery is pretty darn wonderful - this is one of the places my family will often go to when we need a cake or cookies for special events. Everything is always fresh and the dough and icing or other toppings always taste really good, rather than too strong or too \""meh,\"" which is a common problem with other bakeries. \n\nI went in to pick up a snack today and found all of the display cases were full with Easter-themed treats; it was quite the colorful display, and it smelled delicious! I also love the fact that the bakery sells little milk bottles and tea cartons - you'll definitely need a drink to wash down any and all sweet treats you pick up here. \n\nOne major drawback: nowhere in the store did I see a sign mentioning that there's a $10 minimum if you want to use a debit or credit card. Not a big deal, unless you're like me and you don't typically carry cash. Fortunately, I had just enough quarters in my wallet to cover my small purchase here today. \n\nSo. If you're looking to place a big order or two? All the thumbs up for this place! But if you just want a snack...well, be ready to take a minute to stop by an ATM first, if your bank is nearby.",278,3
"Je me sens presque mal d'\u00e9crire cet avis. J'adore encourager les petits commerces locaux, \u00e9piceries, boucheries et p\u00e2tisseries aussi, mais quand viens le temps d'acheter en gros, et surtout pour des produits de nettoyage ou pour des quantit\u00e9s \u00e9normes de viande, j'utilise ma carte Costco. J'ai rarement \u00e9t\u00e9 d\u00e9\u00e7ue des produits du Costco. En fait, je les trouve plut\u00f4t bien et certains sont devenus mes favoris (mmm...salsa!) mais je me sens toujours intimid\u00e9e quand j'y vais. C'est probablement pour \u00e7a que la plupart du temps, je donne simplement ma liste d'\u00e9picerie \u00e0 mon chum et il s'en occupe alors que je vais chercher d'autres choses dans notre \u00e9picerie locale. Il y a quelque chose dans l'atmosph\u00e8re de l'endroit qui me donne un mal de t\u00eate et les portions m'\u00e9tonnent \u00e0 chaque fois. Mais, mon compte de banque est bien content et j'aime bien ne pas avoir \u00e0 acheter des produits de nettoyage puis du shampooing plus que 2 ou 3 fois par an.",344,2
"I've always heard about Pink's while living in Colorado and I actually discovered it by watching the Travel Channel best eats show. The location in Atlanta is the prime location for Pink's but the one out here in Vegas is on point as well! I had my very first experience 5 days ago and ordered the Bacon Chili Cheese Dog and and Corona to wash it down. Needless to say I smashed it! LOL But it was so much food I didn't know where to begin and take my first bite. Whatever you do bite high and at an angle or it'll be all over the place. Then bite low at an angle on the 2nd bite, and repeat! My new favorite place to get a quick bite :-)",151,4
One of my favorite restaurants in Madison.  Love the salmon and I haven't had a bad app here yet.  A great place to unwind and enjoy great food and drink.,38,3
"Thomas Keller once again proves he can indeed do French cuisine and do it well. Wonderful wine list, cuisine to die for and exceptional service. A must try when in Vegas. Thanks Andy. La grande bouffon.",44,4
