prompt,prompt_len,target
OUR WORLD NEIGHBORHOOD CHARTER SCHOOL 2,11,0
TALMUD TORAH OHEL YOCHANAN SCHOOL,11,1
COLLEGE OF STATEN ISLAND NORTH ADMINISTRATION,8,0
PEOPLES CATHEDRAL OF BROOKLYN,11,1
BROWNSTONES HOUSES BUILDING 28,10,0
HOPE GARDEN,3,0
THIRD AVENUE OVER GOWANUS CANAL,9,1
HRA JOB CENTER ROCKAWAY #79,10,0
DSNY SOUTHWEST BROOKLYN MARINE TRANSFER STATION,10,1
JAMAICA BAY NATIONAL WILDLIFE REFUGE,9,0
ZION TRIANGLE,5,1
STATEN ISLAND ZOO AFRICA WING,8,0
GEORGE WASHINGTON HOUSES,5,0
FLATBUSH AVE OVR BELT SHR PKWY,13,1
CUSH CAMPUS SCHOOL,5,1
FDNY EMS BATTALION 40,10,1
NORTH PACIFIC PLAYGROUND,5,1
ST JOHN THE EVANGELIST LUTHERAN SCHOOL,11,1
E 152ND STREET - COURTLANDT AVE HOUSES BUILDING 2,19,0
GRAMERCY ARTS THEATRE,6,0
BUSHWICK UNITED LEARNING CENTER CENTRAL AVE,9,1
BRONX SHORE FIELD 47,9,0
PS 23 RICHMONDTOWN,8,0
MILL BROOK HOUSES BUILDING 3,8,0
HIGH SCHOOL FOR VIOLIN & DANCE,8,0
FOX PLAYGROUND HANDBALL COURT,7,1
REMEMBRANCE PIER,6,0
VANDERBILT PLAYGROUND,7,1
INGERSOLL PROJECTS BUILDING 29,10,1
MARJAM SUPPLIES,4,1
RED HOOK RECREATION CENTER,6,1
SOCIAL SECURITY CARD CENTER,5,1
JANES UNITED METHODIST CHURCH,7,1
GOWANUS PLAYGROUND,7,1
PETER COOPER VILLAGE - 370 FA,10,0
NEWTOWN CREEK WATER POLLUTION CONTROL PLANT MAIN BUILDING,10,1
OCEAN BAY (BAYSIDE) BLDG 22,15,0
HOUSE ON THE ROCK,5,0
GREATER FAITH BAPTIST CHURCH,7,0
PENN TRIANGLE,5,1
BETH EL FLATBUSH CONGREGATION,9,1
COAST GUARD EXCHANGE,5,0
SURFSIDE GARDENS,6,1
SURFSIDE GARDEN MULTICULTURAL COALITION,10,1
WOODHAVEN - RICHMOND HILL VOLUNTEER AMBULANCE CORP,15,0
HOWARD AVENUE PARK PLACE BUILDING 8F,10,1
HIGHLAWN LIBRARY,5,1
ST ANNS EPISCOPAL CHURCH,9,1
WILLOUGHBY PLAYGROUND BASKETBALL COURT,9,1
