prompt,prompt_len,target
PROSPECT PARK WELL HOUSE,6,0
STARLIGHT PARK SOCCER FIELD,7,1
ASTORIA HOUSES BUILDING 21,9,0
CLAREMONT PARK GAZEBO,8,1
PETERS FIELD BASKETBALL COURT,7,0
GENERAL HENRY WARNER SLOCUM MONUMENT,10,0
MORRIS MESA PARK,6,1
PS 186 CASTLEWOOD,8,0
MARITIME COLLEGE OIL PUMP HOUSE,8,1
COLONIAL CHURCH NURSERY SCHOOL,7,0
BETANCES III 13 HOUSES,9,1
ST FRANCIS OF ASSISI CHURCH,7,0
TRIBOROUGH BRIDGE PLAYGROUND C,8,0
SCHOMBERG ACADEMY GARDEN,6,1
RAIN COLLEGE AVENUE SENIOR CENTER,6,1
REBEKAH REHAB & EXTENDED CARE CENTER,12,1
PSS GRANDPARENT FAMILY APARTMENT,7,1
HIGH SCHOOL FOR ENERGY & TECHNOLOGY,7,1
FDR POST OFFICE,4,0
DUCK CREEK,4,0
FRANKLIN TRIANGLE,5,1
DSNY STATEN ISLAND 2 DISTRICT OFFICE,10,0
FT TILDEN BEACH,6,0
COPTIC ORTHODOX CHURCH OF ST GEORGE,12,0
ENGINE 168,6,0
ST IGNATIUS SCHOOL,6,1
BRIDGE PREPARATORY CHARTER SCHOOL,7,0
GRAND CONCOURSE OV BEDFORD PK BL,9,1
JESLO HARRIS THEATER,6,1
THROGGS NECK ADDITION HOUSES,10,1
BRONX ZOO FORDHAM ROAD PARKING,10,1
MORRIS II HOUSES BUILDING 16,10,1
MSHLU PKW OV SB RMP TO H HUD PKW,15,1
HRA HASA CENTER GRAND CONCOURSE,9,1
MANHATTAN COMMUNITY BOARD 11,10,0
CLASON POINT GARDENS BLDG 14,12,1
POMONOK HOUSES BUILDING 29,10,0
PROSPECT PARK PARADE GROUND PBBS,9,0
ENGINE 157 LADDER 80,12,0
POWERHOUSE ST LUKE CHURCH OF GOD IN CHRIST,11,1
JACOBI MEDICAL CENTER,5,1
