prompt,prompt_len,target
Bedford,3,0
Curtice,3,0
Hickory,3,0
Highland-on-the-Lake,8,0
South Palm Beach,4,1
Clearfield County,4,0
Red Bluff Diversion Dam,5,0
New York Institute of Technology - Long Island Campus,10,0
Michigan Jewish Institute,4,0
Alachua County,4,1
Sylvester,3,0
Bardmoor,3,1
Belhaven,3,0
Cathedral City,4,0
Ozona,3,0
Green Springs,3,0
Sunrise,2,1
Barnhill,3,0
Mingo Junction,4,0
Jensen Beach,3,1
Pepperdine University,4,0
Chaires,3,1
Spring Hill,3,1
Pecan Plantation,4,0
Feather Sound,3,1
Kendall West,3,1
Holden Heights,4,1
Gastonville,4,0
Gouldsboro,5,0
Worth County,3,0
Safety Harbor,3,1
Sunrise,2,1
Mineville,3,0
Sunset,2,1
Orange Park,3,1
Zellwood,4,1
University of Scranton,4,0
Rowland Heights,4,0
Bulloch County,4,0
Sanibel,3,1
Plant City,3,1
Southwest Ranches,4,1
June Park,3,1
Eastern Michigan University,4,0
Astor,3,1
Sunrise,2,1
Queen Anne Hotel,4,0
Mineral Springs,3,0
Volusia County,5,1
West Sacramento,3,0
Lake Nacimiento,4,0
Potters Hill,4,0
Ridge Wood Heights,4,1
Big Run,3,0
Lauderdale Lakes,5,1
Beverly Beach,3,1
Darke County,4,0
Doral,3,1
Gateway,2,1
Fuller Acres,3,0
North Sarasota,3,1
Florida Polytechnic University,4,1
Bowmansville,4,0
Interlachen,4,1
Cathedral Basilica of St. Joseph (San Jose),12,0
Ford Lake (Michigan),6,0
Illinois State University,4,0
Norton Shores,3,0
Melbourne Village,3,1
West Carrollton,4,0
Holiday,2,1
Bunnell,3,1
Zeeland,3,0
Brandywine Bay,5,0
"Epiphany Cathedral (Venice, Florida)",9,1
Verandah,4,1
Murrysville,4,0
Ormond Beach,4,1
Bowmansville,4,0
Dade City North,4,1
Bacliff,3,0
Heritage Pines,3,1
Orlando,2,1
Indian Lake Estates,4,1
Siesta Key,4,1
Pasatiempo,4,0
Barnardsville,4,0
Gurnee,3,0
Efland,3,0
Minneola,4,1
Cedar Key,3,1
Holiday,2,1
Bryn Mawr,4,0
Tyndall AFB,5,1
Illinois College of Optometry,6,0
Palmetto Bay,4,1
Goldsboro,4,0
West County Energy Center,5,1
Burnt Store Marina,4,1
Fruit Hill,3,0
Norton,2,0
Keystone,3,1
Paw Paw Lake,4,0
Golden Gate,3,1
Mentor-on-the-Lake,8,0
Swedeland,4,0
Yorkville,3,0
Devine,3,0
Deltona,3,1
West Carthage,3,0
Presidential Towers,3,0
Barrington Hills,4,0
Buffalo Gap,3,0
Greenvale,3,0
Reddick,3,1
Belleair,3,1
Valrico,3,1
Lincoln University,3,0
Van,2,0
Three Lakes,3,1
Central Bridge,3,0
Chokoloskee,5,1
Hawkinsville,4,0
Suncoast Estates,4,1
Punta Rassa,5,1
Crest View Heights,4,0
Mill Valley,3,0
West Bradenton,5,1
Croswell,3,0
Wellston,3,0
Firthcliffe,4,0
Lone Star,3,0
Kendall,2,1
Eastover,3,0
Crosby County,4,0
Florida State University College of Arts and Sciences,9,1
Hallandale Beach,4,1
Midway,3,1
DeBary,4,1
Jan Phyl Village,5,1
Floral City,3,1
Pahokee,4,1
Vanguard University of Southern California,6,0
Broward County,4,1
Basilica of Regina Pacis,7,0
Savannah,2,0
Chapel Hill,3,0
Fleming Island,4,1
Universal City,3,0
Immokalee,4,1
West Chicago,3,0
Lakeland,3,1
"Cathedral of Saint Francis de Sales (Oakland, California)",13,0
Royal Palm Estates,4,1
Timpson,3,0
Cape Coral,3,1
Lakeland Highlands,4,1
Hide-A-Way Hills,7,0
Moon Lake,3,1
Souderton,4,0
O'Donnell,4,0
Lake in the Hills,5,0
Irvine Lake,4,0
Cuyahoga Falls,5,0
Bertie County,4,0
Syracuse,2,0
Bradley Junction,3,1
South Weldon,3,0
Malone,3,1
Pelican Bay,4,1
Key Largo,3,1
Titusville,3,1
Coconut Creek,3,1
San Bernardino,3,0
Palm Valley,3,1
Palm Beach County,4,1
Palm Bay,3,1
Oriole Beach,4,1
Stokes County,3,0
Eton,3,0
Montura,3,1
Ferrysburg,4,0
New Port Richey East,6,1
Port Sanilac,5,0
Stony Ridge,4,0
Lighthouse Point,4,1
Mexico Beach,3,1
Timber Pines,3,1
Flovilla,3,0
Berwick,3,0
Ben Wheeler,3,0
Mildred Elley,5,0
Cataula,3,0
"Cathedral of St. Ignatius Loyola (Palm Beach, Florida)",14,1
Ave Maria University,4,1
Sharpes,3,1
Hialeah Gardens,5,1
Montura,3,1
Upper Saranac Lake,5,0
Seminole,4,1
Montverde,3,1
Bryson City,4,0
McHenry County,4,0
Upper Brookville,4,0
Sandyfield,3,0
Trion,3,0
Keystone Heights,4,1
Bakersfield Country Club,6,0
Inglis,3,1
Wingate,3,0
South Daytona,3,1
Watergate,3,1
Edgemont Park,4,0
Santa Cruz,3,0
Union Valley,3,0
Heritage Pines,3,1
Lincoln University,3,0
Wakulla County,4,1
Twin Lake,3,0
Wasco,3,0
