prompt,prompt_len,target
Irvine,3,33.6772
Muenster,4,33.6586
Texhoma,3,36.5054
Paxton Hotel,4,41.2572
Portales,3,34.1754
Rincon Valley,4,32.1101
Apalachin,4,42.0639
New Port Richey East,6,28.2605
Western Illinois University,4,40.4704
Reedley College,4,36.605408
Plymouth State University,4,43.7589
Port Morris,3,40.9061
Babbie,3,31.3022
Pasadena Park,4,38.711
Hollywood Sign,3,34.1341
Elkton,3,39.6066
Calumet County,4,44.0816
Anza,3,33.5678
South Sioux City,4,42.4627
Solar Energy Generating Systems,5,35.0316
Basilica of the National Shrine of the Assumption of the Blessed Virgin Mary,15,39.2944
Tun Tavern,3,39.9471
Arcadia University,4,40.0917
Longport,3,39.3136
Cherry Hill Mall,4,39.9384
Channel Islands Beach,4,34.1625
Toledo Academy of Beauty,5,41.6385
Montreal,2,46.4312
Altoona,3,40.5082
Tumbling Shoals,5,35.5472
Bushnell University,4,44.047
Washington State University College of Veterinary Medicine,8,46.72805556
South Hill,3,47.1198
Eureka Mill,3,34.718
Woman Lake,3,46.9519
Plattsville,4,41.226
Alburtis,4,40.509
Tillmans Corner,4,30.5819
Yalobusha County,6,34.0282
Science Hill,3,37.1741
Pacific University,3,45.521111111
Nowata County,4,36.7985
Baiting Hollow,4,40.9582
Herrington Lake,4,37.7366
Hutchinson County,4,35.84
Needville,3,29.3957
Champaign County,3,40.1401
Lone Oak,3,35.2007
Pasadena Playhouse,4,34.1451
Cle Elum,4,47.1943
Bladensburg,4,38.9424
Collinwood,4,35.1746
Patterson School of Diplomacy and International Commerce,8,38.0385
Stuarts Draft,4,38.0188
Stallion Springs,4,35.0922
Yoe,3,39.9096
Gonzales County,4,29.4567
Ida Grove,3,42.3439
Texanna,3,35.3572
Calvin University,3,42.930277777
Kendall Park,3,40.4135
Medina,3,41.1358
Trimble County,4,38.613
New Tazewell,5,36.4381
Clary Sage College,5,36.117
Gayle Mill,4,34.7023
East Vandergrift,5,40.5973
Aspermont,4,33.1405
Dardenne Prairie,5,38.7565
Pasquotank County,5,36.2955
Sutton Lake (West Virginia),7,38.662
Cobb County,4,33.9415
Coulterville,4,38.185
Alcester,3,43.0278
Greeley Hill,4,37.7505
Bladenboro,4,34.5407
Bolivar Peninsula,4,29.486
East Tawakoni,5,32.9011
Matthews,3,35.1195
Douglasville,3,33.7384
Earlysville,4,38.1579
John Glenn School of Public Affairs,7,39.9992
Bryson City,4,35.4262
Wake County,3,35.7903
"Sacred Heart Cathedral (Davenport, Iowa)",11,41.5303
Rosenhayn,4,39.4787
Balcones Heights,4,29.4899
Almedia,3,41.0144
Oklahoma Baptist University,4,35.3597
Epworth,3,42.4465
"Cathedral Church of St. John (Albuquerque, New Mexico)",15,35.0823
Hondo,3,29.3531
North Decatur,3,33.8074
University of Houston System at Cinco Ranch,8,29.72037
Sangre de Cristo Range,6,37.5772
North Bay Village,4,25.8487
Burnet,3,30.7496
Strait of Georgia,5,49.2942
Marseilles,4,41.3099
Dufur,4,45.4531
San Pablo,3,37.9629
Van,2,32.5242
Powder River County,4,45.395
Chatham,3,39.6733
Garden Plain,3,37.6627
Eldon,3,38.3511
Cathedral of Saint Paul (Minnesota),9,44.9469
Lackawanna County,5,41.4367
South Hempstead,4,40.6814
Dadeville,3,32.8326
"California State University, Bakersfield",6,35.350556
Marshfield,3,44.6627
Cooperstown,3,42.6996
Kingfisher County,4,35.9454
Shofuso Japanese House and Garden,8,39.9814
Sauk Village,4,41.4906
West Whittier-Los Nietos,7,33.9759
Jennings Lodge,4,45.3927
Horicon,3,43.4454
Lott,3,31.206
Roseau,3,48.8445
Difficult Run,3,38.9016
Casa Conejo,4,34.1848
Ladera Ranch,4,33.5492
Prairieville,3,30.3151
Ivanpah Lake,4,35.5506
Avenue B and C,5,32.7192
