prompt,prompt_len,target
Berry Creek,3,1
South Elgin,3,0
West Carson,3,1
Colonial Heights City,4,0
Quitman County,4,0
University of St. Thomas,6,0
Nichols Hills,4,0
Claremont,3,1
Price County,3,0
Hollis,3,0
Nichols Hall,4,0
East Bank,3,0
Hillside,3,0
Bartonsville,4,0
California Maritime Academy,4,1
"Immanuel Presbyterian Church (Los Angeles, California)",11,1
Lowden,3,0
Coronita,4,1
Lake Elsinore,5,1
Canonsburg,4,0
Rose Lodge,3,1
Hempstead County,4,0
Coleman County,3,0
Eureka Inn,3,1
Beacon Hill,3,1
Kernville,3,1
South Cle Elum,5,1
Mills County,3,0
Hillside,3,0
Borrego Springs,4,1
"Our Lady of the Rosary Cathedral (San Bernardino, California)",13,1
Penn Valley,3,1
Squaw Valley,4,1
Naples Manor,3,0
Orchards,4,1
Myrtle Creek,4,1
Coaldale,4,0
McNair,4,0
Dania Beach,4,0
Quartz Hill,3,1
Shoreline,3,1
Crooked River Ranch,5,1
Martin's Additions,5,0
Concrete,2,1
Calverton,3,0
Long Creek,3,0
Southern Nazarene University,5,0
Mineral County,3,0
South Nyack,4,0
Darul Uloom Al-Madania,9,0
Stateline,3,1
Eureka Theatre Company,4,1
Johnson Park,3,1
The Hideout Inn,5,0
Oakridge,3,1
Miner County,3,0
Winchester,3,0
Agate Lake,4,1
Lehighton,4,0
Horseshoe Lake (Washington),7,1
South San Jose Hills,5,1
Tangent,2,1
Bonner County,4,1
Lake California,3,1
Hales Corners,4,0
Yolo County,4,1
Gowrie,4,0
Wilson's Mills,5,0
Sneads Ferry,4,0
Soap Lake,3,1
Fairdale,3,0
Bedford Heights,4,0
San Benito County,4,1
Hayesville,3,1
Craigmont,3,1
Winder,3,0
Swarthmore College,5,0
Lewisburg,3,0
Satanta,3,0
Monterey Park,4,1
Hilltop,3,0
Dunwoody,3,0
Whitman County,4,1
Clarksdale,4,0
Marquette Plaza,4,0
St. Peter,4,0
Camilla,2,0
Lucerne Valley,4,1
Lindsay,2,1
Cinco Ranch,3,0
Golden Hills,3,1
Fruitridge Pocket,4,1
St. Basil Catholic Church,6,1
Owatonna,4,0
Bakersfield,4,1
Glasford,3,0
La Grande,3,1
Fielding Graduate University,5,1
Berthold,3,0
Oklahoma State University–Oklahoma City,7,0
Pacific University,3,1
Bret Harte,4,1
Spokane County,4,1
Our Lady of Mt. Lebanon-St. Peter Cathedral (Los Angeles),16,1
Contra Costa Centre,4,1
Point Loma Nazarene University,6,1
West Athens,3,1
Rancho Cucamonga,6,1
Columbus Technical College,4,0
East Carroll Parish,4,0
Lost Hills,3,1
Carmel-by-the-Sea,9,1
Delhi,2,1
St. Lucie County,5,0
Birchwood Lakes,4,0
Sonnencroft,4,0
Cypress,2,1
Eucalyptus Hills,3,1
Whitney Peak Hotel,4,1
Walla Walla East,4,1
Concrete,2,1
Roman Forest,3,0
Nichols Hills,4,0
Villa Grove,3,0
Country Club,3,0
Glyndon,3,0
Earle,3,0
Clendenin,4,0
South Coast Repertory,5,1
Richland County,4,0
LaSalle Parish,4,0
Washington County,3,1
University of Western States,5,1
Bingen,3,1
Licking,3,0
Strafford County,5,0
Benedictine College,4,0
Indio Hills,4,1
Dollar Point,3,1
Arcadia,3,1
Charter Oak,3,1
Wasco,3,1
Point Loma Nazarene University,6,1
Caliente,3,1
Morro Bay,4,1
Encinitas,3,1
Plum Grove,3,0
Harwood Heights,4,0
Naval Postgraduate School,4,1
Raven,2,0
Lake Namakagon,5,0
Esperance,3,1
St. Francis de Sales Oratory (St. Louis),13,0
Moyie Springs,4,1
Kulpmont,4,0
Sultan,2,1
Pepperdine University,4,1
Highland,2,1
Yarrow Point,4,1
Blair,2,0
San Diego,3,1
Pe Ell,3,1
Dauphin,3,0
Lake St. Louis,5,0
American Sports University,4,1
Sumas,3,1
Santa Cruz County,4,1
Delphos,3,0
White Salmon,3,1
Academy of Art University,5,1
Tuskegee University,5,0
University of La Verne,5,1
Frenchman's Tower,6,1
Nice,2,1
Herald,2,1
Ice Harbor Dam,4,1
Buellton,4,1
Oceano,4,1
Orion,2,0
Benicia,3,1
"Basilica of the Sacred Heart of Jesus, Syracuse",11,0
Hannawa Falls,4,0
Chowchilla,4,1
Gasquet,3,1
Edgewood,3,0
Waynesboro,4,0
Fremont,3,1
Wimberley,3,0
Coolville,3,0
Krotz Springs,4,0
Iola,3,0
Minkler,3,1
West Swanzey,5,0
Kenner,3,0
Orange,2,1
White Mills,3,0
Sevierville,4,0
North Puyallup,5,1
St. Hedwig,5,0
Hood River,3,1
Elko,3,1
Bay Point,3,1
Cornell University College of Veterinary Medicine,7,0
Highland Holiday,3,0
Biola,3,1
Douglass Hills,4,0
Buckhorn,3,1
Lonoke County,5,0
Grizzly Flats,4,1
Bray,2,0
Schwana,3,1
Port Gamble Tribal Community,5,1
Orting,3,1
Lake California,3,1
Naples,2,0
Fullerton,3,1
Steinbach Hall,4,0
Port St. John,5,0
Twisp,3,1
"Long Lake (Thurston County, Washington)",10,1
South Williamsport,4,0
Spanaway,3,1
Chester Gap,3,0
River Grove,3,0
Compton,3,1
Placerville,4,1
Pinebluff,4,0
Diablo Grande,3,1
South Dayton,3,0
Sandpoint,3,1
Pemiscot County,5,0
Prairie Ridge,3,1
Elko,3,1
North Fort Myers,4,0
Port Gamble Tribal Community,5,1
Priest Lake,3,1
Burns Flat,3,0
Millbrae,4,1
Pepperdine University,4,1
Stinnett,4,0
North Brentwood,3,0
Burney,3,1
Uhrichsville,5,0
Walker Lake (Nevada),6,1
Vincent,2,1
Blue Mound,3,0
Seco Mines,4,0
Crest,2,1
Shelter Cove,3,1
Northwest University,3,1
Sheldon,2,0
Glenvar,3,0
Diablo,2,1
Orpheum Theatre (Los Angeles),9,1
Garvin County,4,0
Warden,3,1
Tres Pinos,4,1
Nuevo,2,1
Long Island University,4,0
Lake Crescent,3,1
South San Francisco,4,1
Grassflat,3,0
McChord AFB,4,1
Cape Neddick,5,0
Normandy Park,4,1
University of Wisconsin–Marshfield/Wood County,10,0
Cherryland,3,1
Candlewood Lake,4,0
Roseville,3,1
Los Altos Hills,4,1
Orleans Parish,4,0
Hayden Lake,3,1
New Milford,3,0
St. Basil Catholic Church,6,1
Monroe North,3,1
Ogden Dunes,4,0
Crittenden,4,0
Baldwin Park,3,1
Cold Springs,3,1
Fresno Pacific University,5,1
Crystal Lake Recreation Area,5,1
Lake Stevens,3,1
Westernport,3,0
Port Orchard,3,1
Kaufman,3,0
Country Homes,3,1
Arkabutla Lake,6,0
Colbert County,4,0
New Hope Baptist Church (Newark),8,0
Meadowdale,4,1
Stanford Research Park,4,1
Sacramento,2,1
Duarte,4,1
Mission Viejo,3,1
Watson Pond,3,0
Maywood Park,4,1
Neptune Beach,3,0
La Vernia,4,0
Rivergrove,3,1
Bailey's Prairie,5,0
New Rockford,3,0
North Beach Haven,4,0
Portola,3,1
Sacramento,2,1
Bastyr University,4,1
San Francisco County,4,1
Belington,3,0
Lake Humboldt,3,1
Kelly Ridge,3,1
Chehalis,4,1
Clearwater,3,0
Indian Trail,3,0
Yoakum County,4,0
Astor,3,0
Grand Ronde,3,1
Piñon Hills,4,1
"California State University, Los Angeles",7,1
SeaTac,3,1
Cerritos,4,1
Schnecksville,5,0
Central Point,3,1
Balcones Heights,4,0
Seven Valleys,4,0
Loop,2,0
Suisun Bay,5,1
Loon Lake,4,1
Toomsuba,5,0
Christ Church Cathedral (New Orleans),8,0
Port Royal,3,0
Morton,3,0
Stallion Springs,4,1
Danielson,3,0
Fielding Graduate University,5,1
Searles Valley,4,1
Frederick S. Pardee RAND Graduate School,9,1
Posey County,4,0
Wilton,3,1
Hallstead,3,0
East Palo Alto,4,1
Rosalia,3,1
East Carroll Parish,4,0
Dixon Lane-Meadow Creek,7,1
Proctor,3,0
Everett,3,1
Morgan Hill,3,1
Academy of Art University,5,1
St. Michaels,4,0
Paisley,3,0
Confluence,3,0
Perris,4,1
Crest Theatre,3,1
Plum Grove,3,0
Running Springs,3,1
George Fox University,4,1
Homeacre-Lyndora,7,0
Minorca,3,0
Tuskegee,4,0
Amery,3,0
Slaton,4,0
Whitney,2,1
Attalla,3,0
Roche Harbor,3,1
Lake Pend Oreille,5,1
Little San Bernardino Mountains,5,1
Dermott,2,0
Sherrard,4,0
Alabaster,4,0
Stepney,3,0
Deschutes County,5,1
Rouse,3,1
Old Orchard,3,0
Arcadia,3,1
Del Monte Forest,4,1
Rancho Tehama Reserve,6,1
Bethel Island,4,1
Silver Lake (Mojave),7,1
International Residential College,4,0
North Lakeport,4,1
Boyes Hot Springs,5,1
Rio Linda,3,1
Lathrop,4,1
Duenweg,4,0
Thousand Palms,3,1
Allouez,4,0
Orange Blossom,3,1
Oikos University,4,1
Middle Amana,4,0
Nassau Lake,3,0
Canyon City,3,1
Halsey,3,1
Ventura County,4,1
East Merrimack,4,0
Warrick County,4,0
Homeland,3,1
Tehaleh,4,1
Farmersville,3,1
Adelanto,3,1
Anna Maria,3,0
University of North Carolina at Chapel Hill School of Dentistry,11,0
California Lutheran University,4,1
Otter Tail Lake,4,0
Stanford University,3,1
Churchill County,4,1
Baker City,3,1
San Pasqual,4,1
Potomac Mills,5,0
Terre Hill,3,0
Santa Susana Mountains,4,1
Lincoln University,3,0
Val Verde Park,4,0
Potomac,4,0
Orange,2,1
Valmeyer,3,0
Alderwood Manor,4,1
Culpeper County,4,0
Parshall,4,0
"St. Mary's University, Texas",9,0
Southern California Institute of Architecture,6,1
Ruch,3,1
DeSoto,3,0
Grayslake,4,0
Isola,3,0
Roseland Theater,5,1
International Technological University,4,1
