prompt,prompt_len,target
Gopiballavpur II,8,0
Goffs Oak,4,1
Udupi,4,0
Cuffley railway station,6,1
Corato,3,0
"Mission Beach, Queensland",5,0
Shireoaks,4,1
"Warburton, Victoria",5,0
Lower Swell,4,1
Central Darling Shire,4,0
Houghton Regis,4,1
Ciampino,4,0
Vicopisano,4,0
"Standish, Greater Manchester",6,1
"Staverton, Northamptonshire",6,1
"Ludford, Lincolnshire",5,1
Putney Bridge tube station,6,1
Snetterton,5,1
Gleno Dam,4,0
Cesa,3,0
Macclesfield,4,1
"Kiama, New South Wales",7,0
"Corning, California",5,0
Strait of Messina,5,0
Dubbo Regional Council,5,0
Funtington,4,1
Diamond Valley Lake,4,0
"Coleford, Gloucestershire",5,1
Mark Lane tube station,5,1
Osterley tube station,5,1
Gunnersbury station,5,1
"Birling, Kent",5,1
Crawley Down,4,1
Grand Cayman,3,1
"Pipalyatjara, South Australia",8,0
Greasbrough,4,1
"South Durras, New South Wales",8,0
"Sidney, Illinois",4,0
"Stone Lake, Wisconsin",5,0
Calow,3,1
"Carlton, Selby",4,1
Tirunelveli,5,0
"Camber, East Sussex",6,1
"Grays, Essex",5,1
Nyah,3,0
Sibford Gower,4,1
"Johnston, Pembrokeshire",6,1
"County Hall, Cardiff",5,1
British Museum Reading Room,5,1
"Crystal Lake, Iowa",5,0
"Cerulean, Kentucky",6,0
Maesteg,4,1
"Derby Line, Vermont",5,0
Skegness,4,1
Stanstead Abbotts,6,1
"Pultneyville, New York",8,0
"Burbank, Queensland",5,0
Gannavaram,5,0
Sant'Anastasia,4,0
Englefield Green,5,1
Ford Park,3,0
Holmbury St Mary,6,1
Bagnara Calabra,6,0
Curtis Culwell Center,5,0
Scorzè,4,0
"Cattaraugus County, New York",9,0
Thurlton,4,1
"Oatlands, Tasmania",5,0
Scopwick,4,1
"Point Turton, South Australia",7,0
"Eumundi, Queensland",6,0
Colwall,3,1
Anglesea Power Station,5,0
Knoll Lake,4,0
Godshill,4,1
Enfield Town railway station,6,1
"Mahwah, New Jersey",6,0
"Belmont, County Durham",6,1
Limassol Salt Lake,6,1
"Paulding County, Ohio",6,0
Bishop's Itchington,7,1
Turnham Green tube station,6,1
Province of Gorizia,5,0
"Santan, Arizona",5,0
"Cardiff, Alabama",4,0
Motera,3,0
Monteleone di Puglia,6,0
Lyminster,3,1
Devizes,3,1
"Bathurst, New South Wales",7,0
Belmond Hotel Cipriani,6,0
"Geneseo, Illinois",6,0
"Skelton, Cumbria",5,1
St Benet Fink,5,1
Bankura I,4,0
"Derby Line, Vermont",5,0
Blackhorse Road station,5,1
"Cape May Court House, New Jersey",8,0
Barwani,3,0
Gargnano,3,0
Ballywalter,4,1
Leytonstone,4,1
Thriplow,4,1
Cles,3,0
Boughton Malherbe,5,1
"Boughton, Northamptonshire",6,1
Styal,3,1
Borehamwood,4,1
Studland,3,1
Claverley,3,1
Welham Green railway station,6,1
"Thorrur, Ranga Reddy district",9,0
"Wakerley, Queensland",6,0
"Baychester, Bronx",5,0
Tadworth railway station,5,1
Coryton Power Station,5,1
Malappuram district,5,0
Minster Lovell,4,1
Tottenham Hale,3,1
Capri,3,0
Cascia,3,0
Holiday Bowl (building),6,0
Banasura Hill Resort,6,0
Ballinamallard,5,1
"St Margaret's Church, Barking",9,1
Koroit,4,0
East Croydon station,4,1
Beauchief and Greenhill,7,1
Province of Cagliari,4,0
Bristol,2,1
Cerami,3,0
Addicks Reservoir,4,0
Giltbrook,4,1
Pentrefoelas,5,1
"Twyford, Hampshire",6,1
"Gangapur, Bhilwara",7,0
Tennant Creek,4,0
"Carbondale, Illinois",5,0
"Gilmore City, Iowa",6,0
Province of Cosenza,6,0
Satna district,4,0
"Sale, Greater Manchester",5,1
Thoubal,3,0
"Barlow, North Yorkshire",6,1
"Ulster County, New York",7,0
Radlett railway station,5,1
Sizewell nuclear power stations,6,1
Cowra Shire,4,0
Glengormley,5,1
Petts Wood railway station,6,1
Riffe Lake,4,0
Upper Rissington,5,1
Bearsted,3,1
Dudhatoli,4,0
Beacon of Light,4,1
Pengam,3,1
Tonypandy,4,1
Visnagar,3,0
"St John the Baptist's Church, Clayton",10,1
"Hugo, Colorado",4,0
Tockholes,4,1
Meridian Water railway station,6,1
Malltraeth,4,1
