prompt,prompt_len,target
Casselberry,4,-81.3217
Rhodhiss,5,-81.4312
Midwest City,3,-97.371
Defiance,3,-84.3657
Luce County,4,-85.5444
Hearne,3,-96.5956
Sodus Point,4,-76.9954
Griffith,3,-87.4239
East Sandwich,3,-70.4341
Falls Church City,4,-77.1751
Media,2,-75.3889
Dennis Port,3,-70.1358
Emerald Lakes,3,-75.4154
Country Club Hills,4,-87.7251
Allardt,3,-84.8814
Plantation,3,-80.2617
Spencer Dam,3,-98.6564
Mars Hill,3,-82.549
Ziebach County,4,-101.6658
Waldwick,3,-74.1259
Greenwich,3,-82.5198
Galion,3,-82.7792
North Valley Stream,4,-73.7077
Shippensburg,4,-77.5227
Telford,3,-75.3274
Quinnipiac University,5,-72.8992
Meredosia,4,-90.5569
Spanish Lake,3,-90.2077
South Pasadena,3,-118.1573
Anguilla,3,-90.8284
Tellico Plains,4,-84.2982
San Bernardino,3,-117.2943
Coushatta,3,-93.3406
Roseland Theater,5,-122.676
Pimlico,3,-79.9606
Wake Forest,3,-78.514
Sunset Reservoir,3,-122.483
South Holston Lake,5,-82.0875
Avila University,4,-94.5915
Brooks Pond (Massachusetts),6,-72.0419
Ness County,3,-99.9162
Roseburg North,4,-123.3477
Philomath,4,-123.3599
Mariaville Lake,4,-74.1287
Lewisport,3,-86.9027
Cedar Falls,3,-92.4536
Elizabethtown,3,-85.8773
Helena West Side,4,-112.1148
Cactus Forest,3,-111.317
Asbury Lake,4,-81.7853
State Theatre (Minneapolis),6,-93.2759
Curlew Lake,4,-118.6663
Westchester,3,-80.3523
Yatesville,4,-75.7822
Arden-Arcade,5,-121.3845
East Milton,3,-86.9636
Willards,3,-75.3494
Dutch Island,3,-81.0317
Utica,3,-75.2261
Lake Orion,3,-83.2453
SeaTac,3,-122.2986
Union Beach,3,-74.1699
Wickes,3,-94.3331
Streamwood,3,-88.1779
Eudora,4,-95.0956
Yell County,4,-93.411
Questa,2,-105.5935
Roosevelt Park,4,-86.2733
Valinda,3,-117.93
Prairie Village,3,-94.6362
Fairlea,3,-80.4582
Five Wounds Portuguese National Church,6,-121.864
Beach Haven,3,-74.2492
Brown County,3,-88.0037
Enigma,2,-83.329
Kenmare,3,-102.0721
Fleming County,4,-83.6967
Fairmount Heights,4,-76.9153
Suffern,3,-74.1422
Balaton,3,-95.8707
Point,2,-95.869
"St. John the Evangelist Church (Cambridge, Massachusetts)",12,-71.1272
Dalton Gardens,3,-116.7696
Georgia College & State University,6,-83.230555555
Barbourmeade,5,-85.6009
Del City,3,-97.4408
Woodside East,4,-75.5376
Oxoboxo River,5,-72.1249
Costilla County,4,-105.4282
River Rouge,3,-83.1245
Micco,3,-80.51
Park University,3,-94.6801
Williston State College,5,-103.614833333
Robert Morris University Illinois,5,-87.627194
Medaryville,4,-86.8905
St. Nicholas Greek Orthodox Church,7,-74.0139
