prompt,prompt_len,target
"Immediately after the end of this text, where are the characters headed?",15,0
What month of the year did the even happen?,11,0
The lawyer probably believes that:,7,1
What did Frank Pomery tell leaders of the Southern Baptist Convention?,14,0
How does the narrator and her husband probably feel about living in Vancouver?,15,1
Trump probably believes his comments toward Judge Curiel:,11,1
What is the ideal conflict de-escalation skill?,12,0
How does David Bier feel about the separation of immigrant families?,13,1
The nurse probably believes that:,7,1
The author believes that the plants she bought,9,1
Who owned the sunglasses?,6,0
When was Chris put to bed?,8,0
The writer probably believes that,6,1
What Maria thinks of Lorenzo?,7,1
Why does the author recommend sweeping and mopping at a brisk pace?,15,0
Why did the author leave her boyfriend at 16?,13,0
"What had raged a few months before ""they finally got to him""?",15,0
"At the end of the story, Steve Peoples probably is",12,0
When will the second band put their name on the board?,13,0
When did she stop being addicted to magazines?,10,0
The author believes that:,6,1
When Winston saw the tall man:,8,0
When were the parents harsh?,7,0
What states pitched proposals to Barack Obama?,9,0
The writer probably believes that,6,1
How does the blogger probably feel about having McDonalds in Brasov?,14,1
The interviewer probably believes that:,7,1
"Who invited everyone to ""get on with the dirty business""?",13,0
After the end of the story do you think the date went?,14,0
What issues were the Senate Intelligence Committee too exploring?,11,0
What did Fontana plan to do after college?,10,0
What aspects of you does the author ask you to consider?,13,0
Where was the park that the author decided to go to to reflect?,15,0
How did Jens Daehner feel about the bust?,12,1
How long were the author and girl on the beach?,12,0
Who is Dr. Hotshot,7,0
who believes this elixir works,6,1
When did the captain head past the Canadian/American border?,13,0
Preppers probably believe that:,7,1
The writer probably believes:,6,0
What does Chloe think about the Guidarizzi's coming?,14,1
Who was about to kiss when suddenly they were parted?,12,0
"When did Trump disclose that he reimbursed his lawyer $100,000 for unspecified expenses?",22,0
What did Greg think would happen when they were selecting juror alternates?,14,1
how do they probably feel about themself?,10,1
What does Trump think about Trudeau?,8,1
David believes that,4,1
The look in whose eyes stopping him cold?,10,0
Why did the author have an affair?,9,0
"after the incident, how likely is it that the man will use the same lawyer again?",19,0
"After Easter is over, the author probably:",10,0
"According to the text, where did the most recent shooting take place?",15,0
Why did the author want to leave?,9,0
My co-workers believe that:,8,1
What does political analyst most likely believe?,9,1
How does Patch thinks when the bluejay steals his acorn?,13,1
"What does Adam Schiff probably think about the Republicans finding of ""no collusion"".",16,1
Many states believe that,5,1
Where did the narrator think they saw the Asterion man before?,14,0
The author probably believes that,6,1
What was Slawomir Suwak's profession?,12,0
What does the narrator think of the customer behind him in line?,14,1
What does the mother think about the psychiatrist,9,1
What city does the author say has a slower feel?,12,1
Who belived Mia have been drinking?,9,1
After leaving the bathroom he is,7,0
Why did Mallie Mae Mobley love Macy?,11,0
the author probably believes that:,7,1
What did the speaker and his/her associates watch?,12,0
How does Grimm feel about all of this?,10,1
The writer thinks that others on social media:,10,1
How does Trump feel about the bill?,9,1
What did the lady do after the end of the story,12,0
Why were people not having an easy with the 'new media' industry?,16,0
Aimee probably thinks that,6,1
Health problems come:,5,0
"The mayor of Chicago, Rahm Emanuel likely believes that:",13,1
Who is the main target of criticism in Comey's book?,15,0
The character in the story thinks of England and Scotland:,12,0
What does Selina think will help repair redness and brown spots from skin?,15,1
Who is a pretty self-conscience person?,11,0
Who spoke with urgency?,6,1
The husband probably believes that good long term marriages are most likely:,14,1
What is probably true about the author?,9,0
The narrator probably believes that:,7,1
After Mike Pompeo returned from Pyongyang:,8,0
What does the author think about the PURE study?,11,1
When did Trump talk about building the US-Mexican border wall?,14,0
What is probably true about Sarah Sanders?,9,0
Stan thinks Darryl's studio is:,9,1
What does the author probably believe?,8,1
The writer probably believes that:,7,1
Why was the remote start function ignored?,9,1
Selina probably believes that:,7,1
The nurse probably believes that:,7,1
How does Natalie feel?,6,1
The author probably believes that her husband:,9,1
What does Pres Trump probably believe about the chinese,10,1
The author probably felt:,6,1
Dingo thinks that:,6,1
What is probably true about the speaker?,9,0
When did Randy's fear heighten?,9,0
What does Trump most likely believe Kim Jong Un will do following their meeting?,16,1
What is probably true about the narrator?,9,0
Who had a blackout at the bar?,9,0
How does he feel about BA work?,9,1
The researchers probably believe that:,7,1
the author thinks that hiring 1000 designers,12,1
Why did the author leave her boyfriend at 16?,13,0
Nicolette is in a secret relationship with:,10,0
How long did the relationship last?,8,0
What is probably True about Modi?,8,0
How does the writer feel about his mom's family now?,14,1
When does Trump have to approve the Democratic rebuttal memo?,12,0
President Trump likely believes that the Alabama Senate election:,11,1
Why did DACA collapse?,7,0
Why did the narrator put gas in the car?,11,0
"Who said that it was very ""hush-hush""?",12,1
The narrator thinks that:,6,1
Richard Shelby probably thinks,5,1
Who says that they want to know who the body is?,13,1
How did Little Bit think Tiger was swimming?,10,1
What does CATO Institute probably think about the appearance of Angel Family members at Trump's speech?,21,1
How does Leah sometimes feel about Tiffany and the other girls?,13,1
She probably thinks that:,6,1
Why did Trump want to attack Syria?,9,1
When did Kim Jong Un threaten to end peace talks with South Korea and the US?,18,0
"The writer and her family visited many attractions in Vienna. When it was all over, she was :",21,0
What is probably true about the House of Representatives?,11,0
When did Trump hold the meeting?,8,0
What does the author think about the hand spa and massage at the event?,16,1
Who was in charge of the housing:,9,0
When was President Trump asked about Michael Cohen?,10,0
What effects did the scientists study?,8,0
Who says agretti is like spinach?,9,0
"After the end of the story, her mom's Chihuahua probably:",15,0
When did Nicolette go on her walk?,10,0
Why does the author think the technician inspected the wiring for free?,14,1
The plan's supporters probably believes that:,10,1
Why do reasonably healthy individuals take supplements?,9,0
What does Sondra think might help with her financial problems?,13,1
How does De Ray McKesson probably feel after his arrest?,13,1
House Minority Leader Nancy Pelosi probably feels what way towards President Trump's choices?,17,1
How does the writer probably feel about the seaplane excursion?,13,1
What is true about Diane?,7,0
Probublica probably feel that the treatment of the illegal immigrants,13,1
What did Bluejay say to Patch?,9,1
Who says to call Dr. Lamont?,9,1
Sondra thinks Craig is,6,1
The writer believes that:,6,1
What program is David Beasley in charge of?,10,0
The law professor Susan Low Bloch probably thinks that:,11,1
Who is Nicolette thinking to leave the castle for?,12,1
After the story the writer probably:,8,0
It is quite likely that the author believes that an important trait of Catholics is that they:,19,1
Why was his lab partner kept after school?,10,0
Who said that selling a car was like losing a member of the family?,16,1
How long are the author and Stuart likely to remain friends?,13,0
What does Donald Trump feel regarding the Stormy Daniels drama?,13,1
How does the boy get her number?,9,0
