prompt,prompt_len,target
Immediately after the end of this text,8,0
What is the likely length of time that the author had been married when she first experienced blindness in one eye?,23,0
Stan needs to make a decision when?,9,1
Why did people die prematurely?,7,0
How long did it probably take for President Trump to send his latest tweet?,16,1
The kiss probably lasted:,6,1
Why does Ray believe people still vote?,9,0
How long did it take the kids and the Indian man to clear the the stones off the road?,21,1
How long did it probably take the author to drive to visit her friends in Trento?,18,1
How long did it take Clise to get obese?,12,1
Who won Tuesday's election?,8,0
"Immediately after the end of this text, Wilson",10,0
The narrator is probably thinking about England for?,10,1
How long did the conversation last?,8,1
What did the manager say after strolling out of the second theater?,14,0
Which anti government group does not believe in paying taxes and that they should be able to decide which laws to follow?,24,0
Why did Grandma Bette make a face and later not say a word for half an hour or more?,21,0
Who did Trump blame for his cancelling the summit with North Korea?,14,0
"After the end of this story, did Trump probably:",12,0
What was probably the result of cooperation between Newlands Junior College and Glasgow College?,17,0
How long did the author likely consider this purchase?,11,1
What was the woman acting like in the meeting,10,0
What is true about Diane?,7,0
When can the National Guard be deployed to the border of US and Mexico?,16,0
How long would being referred for extreme vetting probably delay someone's visa application?,18,1
How long has Tim Kaine's been involved with politics?,14,1
How long were the children detained before a whistleblower likely passed on the recording?,17,1
How strong is the man in dreads?,10,0
who met at the inter-Korean summit?,10,0
"What did the fish have ""more of than any other fish?""",14,0
when did the accusations come to light?,9,0
What aspects of you does the author ask you to consider?,13,0
What is probably true about Nick?,8,0
The guerrilla movement that overthrew the dictatorship probably lasted:,12,1
What is the likely effect of the summit on relations between U.S. and North Korea?,20,0
What was decided for the saved pumpkins?,9,0
The seaplane excursion probably lasted:,8,1
we thought we were being punished,7,0
The author's photo seesions most likely lasted:,12,1
Why was Mum in agony,6,0
How long did Dara and Jody probably ride the bus?,12,1
How does the author feel about flying to Melbourne?,11,0
Who would not attend Trump's Tuesday gathering on the South Lawn?,15,0
How long did George lay on the floor?,10,1
The summit between the US and North Korea likely lasted:,12,1
How long was it probably until the author divorces?,12,1
For how long has Sudan probably not accept Christian worshipers?,13,1
When did the scientists invent the new game?,10,0
"After the end of grocery shopping with his/her mother, the author is:",17,0
Why the disappointed father was angry?,8,0
Why did Paul think of getting a gun?,10,0
What does Jason believe happened to Carly?,9,0
What does Nieto believe?,6,0
How long does Trump probably play golf without resting?,11,1
How long was the waitress passed out?,9,1
How long did it probably take Timothy Kaine to earn a bachelor's degree?,18,1
How long did the group prepare?,8,1
How long was did the husband's business trip to San Diego last?,16,1
"After the end of this story, the plan probably is:",13,0
How long did the leaders spend posing for pictures?,11,1
Why can the author hire more people?,9,0
How long has the ECPA been in place?,11,1
How long has the conflict lasted?,8,1
How long did she decide to get pregnant again?,11,1
How long were the group sessions?,8,1
What remark did Trump make?,7,0
When did they start a campfire:,8,0
How long was the publicity campaign for Comey's book?,14,1
Who is going to take care of a very big and very dangerous problem for the world?,19,0
How long Nicolette was in the room with the King?,13,1
How long did Cecil curl up next to Julia before the book thumped him on the head?,20,1
How long did it probably take the author to get her flu shot?,15,1
Why did the narrator wrap his shirt around the gas pump?,13,0
The car was stopped after:,7,0
How long did it take Comey to write a book blasting Trump?,15,1
Why was mom and dad excited?,8,0
How long does the person think about life?,10,1
Who is Timothy Michael Kaine?,8,0
The character in the story thinks of England and Scotland:,12,0
How long did it take Clise to get obese?,12,1
"After the end, the writer probably",8,0
Approximately how long did it take the author to produce their first play?,15,1
How long did it probably take the Emily Nagoski to write her book?,16,1
Where did Cynthia grow up?,7,0
how long did it take for the Deep Peace Aromatic Body Oil to arrive?,16,1
Trump probably believes that:,6,0
How long did mum live after receiving end of life care,12,1
What kept the speaker from melting?,8,0
Who will make an attempt to mediate with North Korea?,12,0
What is probably true about he nurse?,9,1
How much time does it take to shop for fresh produce?,13,1
How long did President Donald Trump's speak during his supportive speech in Pennsylvania for Republican Rick Saccone?,22,1
How long was Daven running for?,8,1
Building a roadmap probably lasts,6,1
how long did Trumps speech is Manchester last probably,11,1
How long did it take for President Donald Trump to announce his tax cut bill?,17,1
How long was Trump's meeting with Republican lawmakers Tuesday?,13,1
How long has Cohen represented Trump?,8,1
How long it will probably be until Carsie gets married?,13,1
How long is probably a drive to Rick's house?,13,1
What was in his Trader Joe's bag,10,0
What news agency expressed North Korea's anger at the US last week?,16,0
The group's get together probably lasted:,10,1
The author was planning to travel to New Jersey when:,12,0
How did the narrator probably stayed in shape?,10,0
The time it takes for your subconscious to handle it lasted,12,1
How long was likely Elmo in the kitchen?,10,1
How long was he married?,7,1
"When he emerges from his drey, Patch believes that:",12,0
Greg got into his car,6,0
What is the author not against?,8,0
What was Slawomir Suwak's profession?,12,0
How long does it take to notice the benefits of a healthful diet?,15,1
What does the author believe about the organic witch hazel gel shampoo?,14,0
The process of making rose petal jam probably lasted:,11,1
What is probably true about the speaker?,9,0
Why did she write a note,7,0
How long has Snout and Patch known each other?,12,1
How long did it probably take the author to write the blog post?,15,1
How long had everyone probably been at the party?,11,1
How long did it probably take to get the meeting underway once Chloe arrived,15,1
How long was he in the front lobby?,10,1
"How often does the student think about Connie, now that she has a full time nursing job of her own?",23,1
About how many hours did it take to drive the man home?,14,1
How long does it take to hike the trails in the Lynn Canyon park?,16,1
How long did she date the abusive boyfriend?,10,1
Why is the author angry?,7,0
What is probably true about reading REF impact cases?,11,0
What is probably true about the patient?,9,0
What did the family eat?,7,0
How long did it take to diffuse the situation?,11,1
When was the audio of screaming children actually recorded?,11,0
Who believes the right most valued by free people is privacy?,13,0
What did the speaker and his/her associates watch?,12,0
When did the narrator mention Fun Friday?,9,0
After the twins were released they:,8,0
Why did the mother tell her daughter to go on birth control?,14,0
His time in school probably lasted:,8,1
Becky's illness probably lasted,7,1
Where was the party?,6,0
How long did it take for the samples to arrive?,12,1
How long did it probably take the author to get her flu shot?,15,1
After how long of hiding emotions does one probably damage their health?,14,1
How long did the ceremony last?,8,1
Why did he feel he made the right decision about picking the job?,15,0
How long did it take to prepare Marthas meal?,12,1
How long did the summit between the two leaders last?,12,1
How long is the training expected to last?,10,1
Prof. Sigger's office hours probably last how long before school starts?,17,1
How many hours a week does Pete volunteer?,10,1
Where did they meet?,6,0
How long did it take to enact the tariffs?,11,1
How long do you think the writer was considering leaving her boyfriend?,14,1
Which lipgloss matched the customer's lip color the closest?,15,0
An airstrike probably lasts:,7,1
What city did he have his worst job in?,11,0
How long did it probably take the author to try to the Mediterranean diet?,16,1
What does heating foods kill?,7,0
How long did it probably take to get the meeting underway once Chloe arrived,15,1
What is probably true about Johnson?,8,0
For how long did the narrator and his friends drink beer and fish?,15,1
How long did it probably take the author to test the products?,14,1
How long would the speaker most likely stay in the hospital?,13,1
How long did the president give his full backing to candidate Moore for?,15,1
Who assisted the man in kicking off the stones off the road?,14,0
"The mother collapsed after carrying her young daughter, stroller and diaper bag:",15,0
How long was the candidate's wife pregnant?,11,1
The Mueller investigation probably began:,7,1
Who examined the wine cup?,7,0
Trumps recorded endorsement for Roy Moore likely lasted:,11,1
For how long was the narrator probably at the door?,12,1
How long do background checks for guns take in the US?,13,1
The tariffs could affect American businesses for how long?,11,1
Cecil was probably washing himself for:,8,1
What did he do after the MOS ATT?,10,1
What is probably true about him?,8,0
The entire immigration issue probably has lasted for:,10,1
Stress is most beneficial when:,7,0
After Kurt Vonnegut's grandpa died what story did Vonnegut probably remember the most about him?,23,0
How long has facebook been reported violating of user privacy?,12,1
Beasley's trip to North Korea restricted territory probably lasted,13,1
How long has the author been working with the community?,12,1
How long did Trump meet with the second most powerful man in North Korea?,16,1
The judge is most likely:,7,0
How long did the narrator take to notice that the deodorant was working?,15,1
How long did his dad wait for him in the driveway?,13,1
What is probably true about the elderly?,9,0
Who lives above ground?,6,0
How long was he married?,7,1
how long did the doctor's visit take?,11,1
How long was Pa gone for?,8,1
The rally probably lasted,5,1
Hillary Clinton probably believes that:,7,0
The narrator split the bridge of their nose:,10,0
When did Chloe arrive at the house?,9,0
How long has Dingo been driving?,9,1
How have those workers in the UK felt with the recent proposed changes to the USS pension scheme?,20,0
How fast did Maria likely realize that she was in love with Lorenzo?,15,1
How long did it probably take the author to get her flu shot?,15,1
How long has the narrator been driving in the wrong direction?,13,1
What issue did the author have that prevented her from posting a review in September?,17,0
How did Walter die?,6,0
How long did Cecil curl up next to Julia before the book thumped him on the head?,20,1
Puskas's daughter's soccer game probably lasted,12,1
When did the narrator accidentally find herself on a volcano?,12,0
Why was the ER nurse grossed out?,10,0
How long did the writer probably use the Mild Shampoo and Conditioner?,14,1
What thing did Aimee Lind start,7,0
Who does things without really planning it out?,10,0
"How long ago did Trump probably pay Cohen 130,000?",18,1
How long did it take to complete the sculpture,10,1
How long have the friends' been seated before the cigarette disaster occurred?,15,1
How long has it likely been since Winston got shot?,12,1
For how long has the modern militia movement been on the rise?,14,1
What is probably true about Trump reporting his payment to Cohen?,13,0
Who broke the promise not to militarize the Spratly Islands.,14,0
How did the sailor feel about the Landlady?,11,0
The group's get together probably lasted:,10,1
How long does it probably take to develop an invention?,12,1
"Why was Will Lanni called a ""web monkey?""",12,0
The choir was asked to sing their anthem,9,0
What did Chloe make for them to eat?,10,0
How long has the investigation been proceeding into Russia?,11,1
The author probably believes that her husband:,9,0
Christopher probably lived this way for,7,1
How long had most people been asleep when Ray did his fire drills?,15,1
How long after going to Mayo Clinic did he get his diagnosis?,14,1
How long did it take to do the homework?,11,1
Dinner probably usually lasted:,6,1
What was probably true about France's relationship with the U.S. at the time,19,0
How long did the engineer's president probably work at their company?,15,1
how long did the argument between the boys go on for?,13,1
What do researchers need to write about to avoid impact agenda?,13,0
How long was the conversation between Person A and Person B's mom?,16,1
Who did they meet with while in Brazil,9,0
Who was about to kiss when suddenly they were parted?,12,0
"After the end of this story, Aage is experiencing:",13,0
How long did the study probably last?,9,1
About how many months did Miss Tennessee probably talk about going to the shelter?,16,1
the investigation will last for:,7,1
When did she discovered her daughter was taking testosterone injections:,12,0
How quickly did it likely take the bluejay to return to Patch?,15,1
Who was was making good money from saling movie tickets?,12,0
