prompt,prompt_len,target
Bowdon,3,GA
Fort Myers Beach,4,FL
Glenshaw,4,PA
Ruffin,3,NC
Jay Pritzker Pavilion,6,IL
Schall Circle,4,FL
Lake Fenton,3,MI
LaBelle,3,FL
University of Atlanta,4,GA
Warfield Theatre,4,CA
Fairdale,3,PA
Fisher County,3,TX
McElhattan,4,PA
Glenwood Landing,4,NY
Wampum,4,PA
East Petersburg,3,PA
Chowan University,4,NC
Prestbury,3,IL
Glenview,3,IL
Fall River Mills,4,CA
Syracuse,2,NY
Gregg County,3,TX
Belwood,3,NC
Dominican University,4,IL
Agoura Hills,4,CA
Lake Mitchell (Michigan),6,MI
Cove Creek,4,NC
Camp Point,3,IL
Onarga,3,IL
Carrboro,3,NC
Dallas Theater Center,4,TX
Yermo,3,CA
Newcomerstown,5,OH
University of West Georgia,5,GA
Plattsburgh,3,NY
Villa Grove,3,IL
National University of Health Sciences,6,IL
South Floral Park,4,NY
Porterdale,3,GA
Ironton,4,OH
State University of New York at Geneseo,10,NY
Vermontville,3,MI
Ohio Northern University,4,OH
100 Eleventh Avenue,6,NY
Texas Tech University College of Arts & Sciences,9,TX
Howland Center,4,OH
Millbury,3,OH
Sharpes,3,FL
Hookerton,3,NC
Zanesville,4,OH
Winter Haven,3,FL
Wright-Patterson AFB,5,OH
Duboistown,5,PA
Redondo Beach,4,CA
Schuyler County,4,NY
Caspian,3,MI
Stanly County,4,NC
West Conshohocken,5,PA
John Carroll University,4,OH
Herscher,3,IL
Fort Davis,3,TX
Rogers City,3,MI
Bedford Heights,4,OH
Winkler County,4,TX
McDowell County,4,NC
Muleshoe,4,TX
Fordham Graduate School of Arts and Sciences,9,NY
Chillicothe,5,OH
Edenton,3,NC
Pittsburgh Institute of Aeronautics,5,PA
Lake Michigan College,4,MI
Shippensburg,4,PA
Stephenson,3,MI
Flovilla,3,GA
Johnston City,3,IL
Byham Theater,4,PA
Briar Chapel,4,NC
Continental,2,OH
Wake Forest University,4,NC
Hotel Texas,3,TX
Camp Wood,3,TX
Cornell Tech,3,NY
Lolita,3,TX
Scottdale,3,GA
Lake Lorelei,4,OH
Atlanta Symphony Hall,4,GA
North Druid Hills,4,GA
University of South Florida St. Petersburg,8,FL
Daniel Baker College,4,TX
Granite Hills,3,CA
Pumpkin Center,3,NC
Toast,2,NC
Plymouth Meeting,3,PA
Pekin,3,IL
Metter,3,GA
Texas A&M University–San Antonio,9,TX
North Ridgeville,4,OH
Columbus County,3,NC
Perry Heights,3,OH
Hawkinsville,4,GA
Toombs County,4,GA
Paw Paw Lake,4,MI
Carrollton,3,TX
Gallia County,4,OH
Kenefick,4,TX
Experiment,2,GA
Lincoln Christian University,4,IL
Washington Heights,3,NY
Uvalde County,5,TX
Lake Michigan College,4,MI
South Rosemary,3,NC
Solon,3,OH
Murphy,2,TX
Woodland,2,CA
Calcium,2,NY
Lake Mary,3,FL
Bendersville,4,PA
Gladwin County,4,MI
Athens Technical College,4,GA
North Catasauqua,6,PA
Penn Valley,3,CA
McCallum Theatre,4,CA
Jenison,3,MI
Lamar Institute of Technology,5,TX
Herrin,3,IL
North Carolina Blumenthal Performing Arts Center,8,NC
Waynesburg,4,PA
Marengo,3,IL
Newville,3,PA
Windermere,4,FL
Trevorton,3,PA
Mark Taper Forum,5,CA
Conover,3,NC
Hilmar-Irwin,6,CA
Lacon,3,IL
Cultural Education Center,4,NY
Sugarmill Woods,5,FL
Canadian Lakes,3,MI
Parkdale,3,MI
Cataula,3,GA
Port Sanilac,5,MI
Pine Canyon,3,CA
Peachtree City,5,GA
Illinois State University,4,IL
Spring Lake,3,NC
Coke County,3,TX
Thornville,3,OH
Zellwood,4,FL
Stiles,3,PA
Doral,3,FL
Roscommon County,4,MI
New York Theatre Workshop,5,NY
Dunnstown,3,PA
Winder,3,GA
Fort Pierce,3,FL
Varnell,3,GA
Panama City,3,FL
Mingo Junction,4,OH
Villa Park,3,IL
Shelter Island Heights,4,NY
Redway,3,CA
Montague County,4,TX
Haywood County,4,NC
Blackshear,3,GA
Country Knolls,4,NY
South Palm Beach,4,FL
Hubbard Lake,4,MI
Reid Hope King,4,TX
Skokie,3,IL
Rochester Institute of Technology,5,NY
Congerville,3,IL
Melbourne,2,FL
Villa Grove,3,IL
North Ridgeville,4,OH
Roosevelt Park,4,MI
University of Fort Lauderdale,5,FL
Catoosa County,5,GA
Fort Braden,4,FL
