prompt,prompt_len,target
"Next stop, Our Lady of Victory Lane If you listen between the lines, it sure sounds like what Dale Earnhardt Jr. was really saying was something like,  quot;While today #39;s accomplishment is extremely gratifying on both a personal and professional ",55,0
"Tesco Launches Online Music Store (NewsFactor) NewsFactor - Tesco (Nasdaq: TESOF), the UK's biggest supermarket chain, has announced an online music service that it hopes will be able to rival Apple's market-leading iTunes store.",53,1
"Dell, Microsoft Team For  #39;One-Click #39; Management Dell (Quote, Chart) and Microsoft (Quote, Chart) continued their joint efforts to automate the data center with a deal to bundle management software that triggers changes with one mouse click.",56,1
"Video Said to Show British Hostage Killed BAGHDAD, Iraq - British hostage Kenneth Bigley, who pleaded tearfully last month for Prime Minister Tony Blair to meet his kidnappers' demands, was beheaded by his captors, a witness who saw the videotaped killing said Friday.    The witness, who asked not to be identified by name, said the tape - sent to Abu Dhabi TV - showed six hooded, armed men standing behind the kneeling Bigley, whom the witness recognized from two previous tapes released by the kidnappers in which he pleaded for his life...",116,0
"Ivan, Remnants Blamed for 45 U.S. Deaths WHEELING, W.Va. - Remnants of Hurricane Ivan made a violent mark across the Southeast and the Appalachians, where several people were killed by falling trees and floods that washed away scores of roads...",58,0
"From SANs to SATAs, storage vendors continue product march Storage companies continued to demonstrate a wealth of new products and technologies Wednesday at the Storage Networking World in Orlando.",34,1
"German Official Criticizes US Deficit A German finance official urged the United States to tackle its twin deficits during President George W. Bush #39;s second term to counter concerns weighing on financial markets, a magazine reported Saturday.",47,0
"UK firms to look abroad, CBI says CBI director general Digby Jones says shifting jobs abroad will help UK firms  survive globalisation and raise staff skill levels.",34,0
"Texas Instruments is unconvinced WiMax will replace DSL Despite all of the hype surrounding WiMax, chip maker Texas Instruments Inc. remains unconvinced the technology will revolutionize the way that broadband Internet services are delivered to homes and offices, according to a company executive.",53,1
"EU Commission taking its time with SCH bid for Abbey National The European Commission is taking all the time it needs to rule on Banco Santander Central Hispano #39;s bid for Abbey National, competition spokeswoman Amelia Torres said Monday.",47,0
"StreamCast asks Supreme Court to reject RIAA/MPAA requests StreamCast, which owns the Morpheus P2P Network has formally asked the US Supreme Court to reject requests made by the Motion Pictures Association of America (MPAA) and the Recording Industry Association of America (RIAA) to revisit lower court decisions ",64,1
"UK ISPs ordered to reveal file-sharers identities The High Court yesterday ordered ISPs to reveal the identities of 28 file-swappers sued by the British Phonographic Industry last week, handing the music industry first blood in its crackdown against file-sharing.",56,1
"Mars #39; polygon shapes may be result of water action Curious polygon shapes on the surface of Mars are among the latest evidence clearly suggesting the presence of water, and some of it may have appeared there even after the surface was bombarded by objects from distant space.",54,1
"Big Blue Breaks Price Barrier With Linux Lineup IBM today released an entry-level Power5-based server tuned for Linux, the eServer OpenPower 720 -- an alternative to the higher priced HP and Sun entry-level Unix and Linux systems.",52,1
"Virgin group to launch US online music service New York, September 28: British tycoon Richard Branson #39;s Virgin Group has said it was jumping into the market for online music, with a  quot;digital megastore quot; offering US customers song downloads for 99 cents.",62,1
Offshoring company looks to make programmers obsolete in legacy conversion An Indian company claims its software automatically converts legacy applications written in old languages such as Cobol and Pascal to modern languages such as C and Java.,42,1
Red Sox clinch playoff berth with win over Devil Rays The Red Sox clinch their second straight trip to the playoffs with a 7-3 win over the Tampa Bay Devil Rays. Boston was led by Manny Ramirez #39;s American League-leading 43rd home run.,58,0
"One Shell boosts Eurostocks The oil company #39;s plans to move to a unified corporate structure extend rally into third day. LONDON (Reuters) - European shares rose for a third straight session Thursday, led by Royal Dutch/Shell on news ",52,0
"Great Portugal Quake May Have a Sequel, Study Says Scientists studying the Great Lisbon Quake, which killed 60,000 people 250 years ago, say that the forces that caused it are slowly building up for another violent temblor near Portugal.",54,1
"MessageLabs, Symantec team on antispam service Symantec technology will help MessageLabs offer better e-mail filtering, the companies say.",29,1
Explosion marks first day of Iraq campaigns Violence marred Iraq #39;s first official day of parliamentary election campaigning Wednesday as interim Iraqi Prime Minister Ayad Allawi announced his candidacy for the Jan. 30 ,44,0
"Paris City Hall Balks at Linux Switch Local government offices in the French capital will not abandon Microsoft software overnight but instead gradually phase in more open-source programs, Paris City Hall said.",38,1
"Reshaping a Reshaper of Landscapes The Rouse Company, the mall developer that has reshaped the nation's landscape, agreed to be acquired by General Growth Properties for \$7.2 billion in cash.",43,0
"Hibernia to Sell Mortgage Portfolio Hibernia Corp., the holding company for Hibernia National Bank, said Thursday that it signed a letter of intent to sell its \$10 billion, third-party residential mortgage servicing portfolio to a unit of Citigroup Inc. ",54,0
