prompt,prompt_len,target
"Evaluation of in vitro bromodeoxyuridine labeling of breast carcinomas with the use of a commercial kit. The prognostic significance of S-phase fraction analyses of breast carcinomas has been reported by several investigators. The Cell Proliferation Kit (Amersham Corporation, Arlington Heights, IL), which uses in vitro bromodeoxyuridine (BRDU) labeling to evaluate cell cycle kinetics without a flow cytometer or radioisotopes, simplifies this assay for the clinical-based laboratory by providing standardized reagents and recommended methods. This study was performed to determine whether data derived from its use were comparable to published S-phase data from the use of thymidine labeling, BRDU, or other methods on breast carcinomas. Primary infiltrating ductal carcinomas (n = 142) and primary lobular carcinomas (n = 6) showed mean and median BRDU labeling of 4.63% and 3%, 1.3% and 1%, respectively, with a range of 0-28%. Benign lesions always had less than 3% BRDU uptake (n = 21). Estrogen receptor (ER) and progesterone receptor (PR) status correlated with BRDU labeling (P less than 0.05), with the highest S-phase fractions in ER- and PR-negative tumors. Correlations between BRDU uptake and histologic tumor type or size were observed. Significant correlations between BRDU uptake and lymph node status, patient age, or histologic tumor grade were not observed. S-phase studies of breast carcinomas using other techniques have shown similar data, therefore, the Cell Proliferation Kit appears to be a practical and useful method for in vitro S-phase analysis that allows concomitant histologic examination of the same tumor tissue sample.",360,1
"Inhibition of cell mediated cytotoxicity by sulphasalazine: effect of in vivo treatment with 5-aminosalicylic acid and sulphasalazine on in vitro natural killer cell activity. Decreased cell mediated cytotoxicity occurs frequently in inflammatory bowel disease, particularly in patients with active disease. It is not clear, however, whether this decrease is caused by the disease or is a consequence of the medical treatment. In this study we evaluated the effect of in vivo treatment with 5-aminosalicylic acid and sulphasalazine on the in vitro natural killer cell activity in five patients with inflammatory bowel disease in remission and in four healthy control subjects in a double blind randomised crossover trial preceded and separated by four weeks of treatment with placebo. The natural killer cell activity was significantly impaired in 67% (six of nine subjects) after four weeks' sulphasalazine treatment and tended to be related to subjects with a slow acetylator phenotype. In contrast, 5-aminosalicylic acid treatment caused only a marginal reaction in the natural killer cell activity in 22% (two of nine subjects). The inhibitory effects were found to be reversible since the decreased natural killer cell activity was completely restored after placebo treatment in all subjects. In conclusion, in vivo treatment with sulphasalazine inhibits the in vitro natural killer cell activity and this seems to be mediated by the sulphapyridine moiety. This phenomenon may contribute to the low natural killer cell activity found in patients with active inflammatory bowel disease.",297,0
"Dietary fat and risk of breast cancer. The relationship between dietary fat and subsequent risk of breast cancer was studied in 3988 initially cancer-free Finnish women aged 20-69 y. During a follow-up period of 20 y, 54 breast-cancer cases were diagnosed. Risk of breast cancer was significantly inversely related to energy intake and nonsignificantly inversely related to absolute fat intake. A positive association between energy-adjusted total fat intake and occurrence of breast cancer was also observed. The relative risk in the highest tertile as compared with the lowest tertile was 1.7 (95% confidence limits 0.6-4.8). The corresponding relative risks were 1.4 (0.5-3.7) for saturated fatty acids, 2.7 (1.0-7.4) for monounsaturated fatty acids, 1.2 (0.6-2.8) for polyunsaturated fatty acids, and 2.2 (1.0-5.0) for cholesterol intake. Adjustment for different potential confounding factors did not alter the results. The present data suggest that breast cancer is associated inversely with energy intake and weakly positively with energy-adjusted fat intake.",255,1
"Natural death as viewed by the medical examiner: a review of 1000 consecutive autopsies of individuals dying of natural disease. A study of 1000 consecutive autopsies of individuals dying of natural disease was conducted. Cardiovascular disease was responsible for 60.9% of all deaths with coronary artery disease--not only the main cause of cardiovascular death but also the main cause of all natural deaths--accounting for 45.1% of such cases. Diseases of the central nervous and respiratory systems accounted for 8.7 and 8.6%, respectively, of the natural deaths. Seizure disorders and pneumonia were the main causes of death in these organ systems. There were 124 deaths of children less than one year in age, 91 of which were due to sudden infant death syndrome (SIDS). All of the SIDS deaths were in children less than 10 months old.",189,0
"Unilateral hydrocephalus in adults. The authors report 14 cases of unilateral hydrocephalus in adults. Headache was the most common presenting symptom. Unilateral hydrocephalus was documented in each patient with computed tomography scans; magnetic resonance imaging was also used in seven patients in the latter part of the series. Unilateral hydrocephalus was caused by tumor (seven patients), venous angioma (one patient), ependymal cyst (one patient), postinflammatory gliosis (one patient), and was idiopathic in four patients. The primary surgical treatment was craniotomy with fenestration of the septum pellucidum, which relieved symptoms in eight of nine patients for whom long-term follow-up data were available.",143,1
"P-31 spectroscopy study of response of superficial human tumors to therapy. Studies were performed to characterize phosphorus-31 magnetic resonance (MR) spectra obtained from 10 superficial human tumors outside the brain and to determine whether P-31 MR spectroscopy could allow detection of a response to therapy before a change in tumor size was measured. The ratio of phosphomonoester to adenosine triphosphate peak intensities (PME/ATP) was unusually large in all tumors studied. The average PME/ATP in lymphomas (1.8 +/- 0.5) was greater than in nonlymphoma cancers (1.1 +/- 0.15). The average PME/ATP for all tumors studied (1.4 +/- 0.5) was much greater than that of underlying skeletal muscle (0.23 +/- .09). Eight of the tumors were studied before and after therapy. Responders were distinguished from nonresponders on the basis of changes in tumor size. PME/ATP decreased during therapy in three lymphomas that responded to therapy. In an adenocarcinoma and Ewing sarcoma that did not respond to therapy, PME/ATP increased. PME/ATP remained constant in two squamous cell carcinomas that responded to therapy and decreased in one squamous cell carcinoma that decreased in size by 40% but was classified as a nonresponder. Changes in PME/ATP did not always parallel changes in tumor size during therapy. In two patients, a decrease in PME/ATP preceded a decrease in tumor size. In four patients, PME/ATP increased transiently during periods when tumor size remained constant.",330,1
"Appendiceal carcinoma masquerading as primary bladder carcinoma. We report 2 cases of appendiceal adenocarcinoma invading the bladder. Both tumors masqueraded as primary bladder carcinomas. Cystoscopic biopsies obtained adenocarcinomatous tissue and the secondary nature of the bladder lesion became apparent at laparotomy in both cases. One patient was treated with surgical resection of the appendix, the adjacent cecal wall and the bladder wall, and postoperative irradiation. She was well 10 years later. The other patient was treated with right colectomy and segmental bladder resection. She died of diffuse peritoneal recurrence 6 years later.",124,0
"Trends in basal cell carcinoma, squamous cell carcinoma, and melanoma of the skin from 1973 through 1987. Major increases have occurred in the incidence of basal cell carcinoma and squamous cell carcinoma of the skin, as well as in cutaneous malignant melanoma during the period 1973 through 1987 in British Columbia. The greatest increases in basal and squamous cell carcinomas are on the head and neck. This indicates that exposure to sunlight is the major causative factor. The greatest increase in melanoma is on the trunk in men and on the lower limbs in women. The dramatic increases in nonmelanoma skin cancers in British Columbia, a relatively low sunlight area, suggest that major prevention programs are needed in areas that are not considered ""sunspots."".",157,1
"Malignant mixed tumor (malignant ameloblastoma and fibrosarcoma) of the maxilla. We present a rare case of carcinosarcoma (malignant ameloblastoma and fibrosarcoma) of the left maxilla that developed in a 63-year-old Japanese man. The tumor recurred repeatedly despite multiple surgical removals, radiotherapy, and chemotherapy and led to progressive cachexia; the patient died after 3.8 years of hospitalization. Histopathologic examination revealed that the recurrent tumor was carcinosarcoma, which had progressed from malignant ameloblastoma with fibroma. An autopsy confirmed the diagnosis of malignant mixed tumor with lung metastasis of malignant ameloblastoma and fibrosarcoma.",146,1
"Chronic functional gastrointestinal symptoms in Holocaust survivors. In Nazi-occupied Europe (1939-1945), Jews were submitted to extreme mental and physical hardships (the Holocaust). This study was designed to investigate the impact of the severe protracted suffering on the development of chronic functional gastrointestinal symptoms. Thus, we studied 623 consecutive patients of Eastern European origin who had been admitted for nongastrointestinal complaints. They filled out detailed questionnaires, and were divided into the following two groups: A) Holocaust survivors [237 subjects who had been for at least 6 months in either German concentration/extermination camps (95 subjects), ghetto and/or underground movements (65 subjects), labor camps not directly supervised by Germans (79 subjects)], and B) a control group (384 subjects from the same demographic background, who had not been exposed to Nazi persecutions). The symptoms investigated were the following: abdominal pain, irregular bowel habits, diarrhea, constipation, abdominal distension, heartburn, flatulence, anorexia, nausea, vomiting, mucus in stool, tenesmus, and aerophagia. Patients were defined as having functional symptoms after these had been present for at least 5 yr and relevant organic disease had been excluded. The prevalence, duration of suffering, and frequency of appearance of most symptoms were significantly higher in the group of Holocaust survivors. This study supports the clinical observations that severe and protracted suffering contributes to the development of chronic functional gastrointestinal symptomatology.",302,0
