prompt,prompt_len,target
"damn. me and sophie tweeted a lot yesterday. well, it seems like a lot to me anyway.",22,0
@Avas_Writer aww no which one?,12,1
@CaptainFlashman  Oh no - Poor you!!,12,1
Stupid sun i  actually have to work now,10,0
in the airport!!!  only 8 hours til hoommee!,15,0
"bwarg. can't sleep, tired of drawing.",13,1
Great new directory on Babysitterdirectory coming soon!  And its a directory with a twist.  All will be revealed next week!,28,0
@lulliecarole that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,27,0
"@glamorousamanda I wish i could have a pole, we got no space for it  maybe i should throw out some furniture and get a pole",31,1
"@_Tanyya :O  awww leave off, shes ace! Shes one of my fav actresses!",24,0
Ria got a a G1 phone and im jealous,11,1
"@asdquefty Yes they are, and now they're all gone.  Did you enjoy yours?",23,1
dont wanna work tonight,5,1
@benjamin_cook you make me sad. Why do I like in canada? I can never watch these things. I should move. Know anyone who needs a roommate?,36,1
@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,31,1
Had to stay home while my wife takes my daughter and a few friends out to Tokyo Steak House - sadly my body is not cooperating today,28,1
@FoluB pebbles thrown at windows should get *someones* attention,16,0
Just got home from dinner with my mommy and my new grandma. I'd rather be in Hollywood right now,23,0
Wants to go home with the seniors,9,1
"@sophieveronica Ha-ha abbreviate it , so it's not so bulky",20,1
@keylahtia yes I'm starting to feel the effects of humidity,16,0
@jlskowro @jennsquared will have to wait on the recipe at Simply Recipes.  Sorries!,25,1
@JosephChapman Outlook not so good,8,0
@Emilyyy16 urgh stop it guys,11,0
@Rachelamac aww you poor thing  hope all goes well!,17,1
Manchester was wayyyyy to busy!  so warm today also! :'(,15,1
"@WerewolfEmbry No, trying to reason with it. It didn't listen",18,0
"Had some pliers blow up in my face today. My mistake, killed the wrong breaker. Wires connected on the pliers, boom. Big chunk gone.",31,1
"@hellivina you work really hard so, sometimes you need a break, haha.  so, yeah...just let me know if you need help in anythin'.",36,0
"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday",37,1
About to embark on a large tour of bars for a project.  Hopefully I won't die from alcohol poisoning,24,0
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",34,1
is very cold,4,1
"ugh, not sure i have the patience or remaining intelligence at this point in the day (week?) to refactor and rewrite this package of code",29,0
i wish i could go to meet in the middle tomorrow.,13,1
": What a let down! No MRI today, neurosurgeon didn't order it--which means we have to come back to OkC soon &amp; we no nothing new",37,1
"@shawnemerriman go to vegas, but don't spend all ur money!!!!",18,0
@sunmee hope the studyin went well,10,0
4 hours of shopping over... good effort. Best part = chocolate shop.... YUJM!!!... yum even,22,0
@Samtagious DAMN! a mass unfollowing and i didnt get the invite! im bummed now,22,0
off to my cousins confirmation + confirmation party,9,0
@cam_reed i feel so bad that happened to you  did the police find the guy that did it? are u gonna get your stuff back?,32,0
@ChrisCuomo oh my! Nothing like a rabid racoon to get the adrenaline going in the morning. Better than a cup of coffee.,31,0
"back from dr. appt. no real diagnosis (hmph), just prescribed antibiotics, and an inhaler to help w/ the extreme coughing.",31,0
Wish I had a laptop charger so I could tweet faster,12,1
Had a great time singing karaoke with the fam...good times,13,0
having a great time in kc  http://twitpic.com/4w3fi,20,0
"@aholston Homework bound for the whole weekend, not so fun",15,1
"@liedra Bubble tea is awesome, it's been so long since I've had some",21,0
@aussiecynic LOL #yourock,10,0
ah shit ... my chest hurts now,8,1
One of my kits has just brought in a mouse &amp; is eating it in the lobby. I'm sure I feed them enough!,30,0
@Rainbowcentre No  sadly its not  bit disappointed will try again later see if i change my mind,23,1
@brianshead waah. We're no longer your peeps.,16,1
@paulo_one yes it went down smooth! Too bad I have to get back to work though  how are you enjoying your Friday?,30,1
Why does twitter eat my DM's?  Not happy,13,1
"@MandyyJirouxx MANDY!!!  IT WON'T LET ME VOTE  I WANT HER TO WIN BUT I CAN'T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",47,1
happy star wars day,5,0
"@JayJager well donkey has his own appeal, for sure.",15,0
"@error505 - well i greatly appreciate your comment.  That means a lot to me.  I'm working on both of them...work in progress, you know.",39,0
Sometimes I could swear I really am insane.,10,0
"@purdyboy thank you! i was just playing that a moment ago, actually! a very different, even more chill version.  *spooky*! haha.",35,0
@imfunsizee and jarita i'm going home now and i'm with two hot guys  drool.,27,1
@Catwoman123 Have a good one,11,0
misses my baby.,6,1
@SeanLights Nooooo!!!!! Dont You Dare! Lol =( Im Gonna Cry  I &lt;3 Your Hair!,25,1
listening to some music!,6,0
aw that wee lassie made me cry  tears streamin doon ma face lol thats a wee shame x,22,1
"Work is MAD blocking sites! No fun  but they aren't blocking facebook, twitter &amp; youtube",23,1
