prompt,prompt_len,target
"Strathalbyn, South Australia",8,-35.2667
Silver End,3,51.847
"Kootingal, New South Wales",8,-31.05
Saffron Square,4,51.3789
Nostra Signora del Sacro Cuore,10,41.8983
Aleutsky District,5,55.2
"Sakaide, Kagawa",7,34.3167
"Palace of Justice, Nuremberg",6,49.4543
"St Thomas à Becket Church, Pensford",10,51.371
"San Juan, Trinidad and Tobago",7,10.65
Vapniarka,5,48.5333
Horizontina,4,-27.6258
Baidyabati,5,22.8053
"Gordon, Douglas County, Wisconsin",7,46.2797
Minuwangoda,5,7.17333
"Dunkeld, Victoria",5,-37.65
Bulawayo,3,-20.17
Vår Frue Church,6,63.4302
Nagarkurnool district,6,18.0
Mandawa,3,28.05
Tolaga Bay,4,-38.3667
"Creal Springs, Illinois",6,37.6197
Patiala district,4,39.41
Bletsoe,4,52.213
"Gledswood Hills, New South Wales",9,-34.0117
"Smoky Bay, South Australia",7,-32.3765
Zaslawye,4,54.0083
Älvängen,4,57.95
Hlíðar,5,64.1344
"Morgan County, Colorado",5,40.26
Umzimkhulu,5,-30.263
Vyshhorod,5,50.5833
"Cannon Hill, Queensland",5,-27.4734
Greenvale Reservoir,4,-37.6316
Bang Pa-In Royal Palace,7,14.2325
Bankya,3,42.7
"Hova, Sweden",5,58.85
Aqrabat,4,36.27
Sasan Ultra Mega Power Project,7,23.9656
St Columba's Cathedral,7,56.4192
Bunkyō,4,35.7167
"Melvin, Illinois",5,40.5694
Saumlaki,4,-7.975
"Glenroy, Victoria",5,-37.706
"Saint-Ambroise, Paris",8,48.8611
Kerang,3,-35.7167
"Cottonwood, Colorado",5,39.5625
El Bayadh Province,5,33.6833
Méier,3,-22.9014
Caldey Island,4,51.64
Amami Islands,4,28.2667
Panevėžys County,6,55.7375
Godney,3,51.1807
"Carthage, Illinois",5,40.4144
Balykchy,5,42.4667
Kyzylorda Region,6,45.0
Berriew,4,52.5963
Bretforton,4,52.095
Bull Run Mountains,4,38.8933
Voergaard Castle,5,57.2425
"Clay Springs, Arizona",5,34.3617
"Tura Beach, New South Wales",8,-36.85
Green Park tube station,5,51.5067
Cuttack district,4,20.466
Téboursouk,4,36.4572
Bidston,3,53.402
D-Cube City,5,37.5097
Babek District,4,39.15
Casabona,4,39.25
Gulf of Guinea,4,0.0
Sitmarkho,4,35.5861
"Chūō-ku, Sapporo",8,43.0553
"Colleyville, Texas",6,32.885
Wadhurst,3,51.066
Europahaus,3,52.505
Staryya Darohi,7,53.0394
Csepel,4,47.4167
San Salvo,4,42.05
Hrtkovci,5,44.8833
"Buckingham, Virginia",5,37.5503
Rodney Bingenheimer's English Disco,9,34.0981
Bagnara Calabra,6,38.2833
"Garden City, New York",6,40.7269
"Eidsvold, Queensland",6,-25.3719
Battlesden House,4,51.9521
Ghoramara Island,6,21.914
"Rowville, Victoria",5,-37.937
"Deep River, Ontario",5,46.1
Lubombo Region,4,-26.4167
Senoko Power Station,5,1.46667
Birzeit,3,31.9722
"20, Ashoka Road",7,28.6217
Rhodes,2,36.17
Tory Island,3,55.2626
"Salvatierra, Guanajuato",6,20.2156
Treviso,3,45.6667
"Livingstone, Zambia",5,-17.85
Church of Our Lady of Loreto,7,52.2567
Cariacica,4,-20.2639
Sillanwali,4,31.825
Imperial Reservoir,3,32.8833
Sanmin District,4,22.6562
Water Ranch Lake,4,33.3633
Croatia proper,3,45.75
Great Harrowden,4,52.329
Volturara Appula,6,41.5
Extreme Light Infrastructure,4,44.3491
Cologna Veneta,5,45.3167
"Guernsey County, Ohio",6,40.05
"McAllen, Texas",5,26.2164
Eglish,3,54.4515
Pichincha Province,6,-0.25
"Bancroft, Ontario",5,45.05
Veliko Tarnovo,5,43.0778
"Tiffin, Iowa",6,41.7064
"Leeds Point, New Jersey",6,39.4919
Garhakota,4,23.77
"Embarrass, Wisconsin",5,44.6708
Mabla Mountains,4,11.945
Ga-Molepo,5,-24.033
Neihuang County,4,35.972
St. James Anglican Church (Vancouver),9,49.2825
Aylestone,4,52.604
"Unionville, Chester County, Pennsylvania",8,39.8953
"Empire, California",4,37.6442
Bayfield Hall,4,52.9227
Kalyani Dam,5,13.6576
"Mortlake, New South Wales",7,-33.8437
"Floyd County, Indiana",5,38.32
Graaff-Reinet,6,-32.2522
"Kimball County, Nebraska",6,41.2
"Red River County, Texas",6,33.62
Warner Grand Theatre,4,33.7386
Poyntzpass,5,54.287
Menongue,4,-14.6556
Lugazi,4,0.368889
"Uto, Kumamoto",6,32.6828
Socha,3,6.0
Shire of Moira,5,-36.0833
Bhimber District,5,32.9752
Amansie West District,5,6.46667
Picton Reading Room and Hornby Library,9,53.41
"Lyng, Somerset",5,51.053
Gammelstaden,4,65.6417
El Rama,3,12.15
"St Mary's Star of the Sea Cathedral, Darwin",12,-12.4591
Großer Plöner See,6,54.1303
Vogošća,5,43.9
"Stanton County, Nebraska",6,41.92
Mohokare Local Municipality,6,-30.2992
"Morayfield, Queensland",6,-27.1052
Tipaza,4,36.5919
Ulchsky District,5,52.3719
"Gause, Texas",5,30.7853
Žepče,4,44.4333
Kericho County,4,-0.4
"Coolum Beach, Queensland",6,-26.5295
North Hoyle Offshore Wind Farm,7,53.4333
Kalutara District,5,6.58333
"Yellow Mansion, Copenhagen",5,55.6829
Trecastagni,5,37.6167
Mashi,3,13.1
Glynde,3,50.8616
Santiago de Veraguas,5,8.10583
Pescocostanzo,5,41.8872
Snowy Mountains,3,-36.45
Deir Atiyah,5,34.0833
Ummathur,4,11.94
Charlottenlund Palace,5,55.7503
Eastern Region (Iceland),6,65.2833
Kwimba District,4,-2.96667
Gamagara Local Municipality,6,-27.6667
"Tripoli, Iowa",5,42.8058
Jabal al Gharbi District,7,31.75
"Horne, Surrey",5,51.184
Changbai Korean Autonomous County,6,41.4167
Compton Dando,5,51.3802
Pamir-Alay,6,39.5
Bošnjaci,5,45.05
Chilov,3,40.3333
