prompt,prompt_len,target
Banyuwangi Regency,6,114.367
Smeeth,3,0.9616
Rodi Garganico,6,15.8847
Malayinkeezhu,6,77.0258
Kasganj district,4,78.65
"Bormida, Liguria",7,8.23333
Moçâmedes,5,12.1508
San José de Ocoa,6,-70.5
San Michele al Tagliamento,7,12.9953
Shouguang,3,118.791
Madha,3,56.3331
Uzunköprü,5,26.6875
Shepherd's Bush railway station,7,-0.217561
Morelos,3,-99.0667
Sanski Most,4,16.6667
Abraham Lake,3,-116.427
Burton in Lonsdale,5,-2.53464
Pazundaung Township,5,96.1667
Lobith,3,6.11806
Calpe,3,0.0441667
"Boughton, Cheshire",5,-2.884
City of Cape Town,5,18.5
Berkasovo,4,19.25
Monserrate,4,-74.0564
Irish Film Institute,4,-6.2649
Malham,3,-2.153
Llanfihangel-y-Pennant,11,-3.965
Shymkent,4,69.5958
Nam Định,3,106.168
Boiling Lake,3,-61.2942
Socorro Island,4,-110.975
Lake Valencia (Venezuela),6,-67.7333
"San Felipe Pueblo, New Mexico",7,-106.444
Cahir,3,-7.925
Lake Tamblingan,5,115.097
Cihuatlán,5,-104.567
Clynnog Fawr,6,-4.364
"McIntosh County, Oklahoma",7,-95.67
Würzburg Cathedral,4,9.93222
Arnos Grove tube station,6,-0.133536
Bangli Regency,4,115.333
Mutton Island,4,-9.5241
Wallasey Village,4,-3.065
Zeist,3,5.23306
"German Valley, Illinois",5,-89.4775
Phiroze Jeejeebhoy Towers,9,72.8336
Butwal,3,83.466
Risipeni,4,27.6661
Bamyan Province,4,67.25
Zou Department,4,1.98333
"Universitas, Bloemfontein",6,26.174
Mainz Cathedral,4,8.27389
"Chota, Peru",5,-78.6486
Selhurst railway station,5,-0.0883
Elektrėnai Power Plant,7,24.6428
"Murrayville, Victoria",5,141.183
Hietzing,4,16.2581
Maladzyechna,6,26.8572
Pátzcuaro,6,-101.61
"George Town, Bahamas",5,-75.7794
"Coleman County, Texas",5,-99.45
Covão dos Conchos,6,-7.6109
City of Campbelltown (New South Wales),10,150.817
Bishkek,4,74.6122
Zigong,3,104.779
Llysfaen,5,-3.668
Sanctuary of Arantzazu,8,-2.39854
Pendang District,4,100.467
Bouar,3,15.6
Ventnor,3,-1.2084
Snæfellsbær,7,-23.705
"Boscobel, Wisconsin",6,-90.7042
Conchas Lake,4,-104.231
"Black Creek, Wisconsin",5,-88.4558
Belemedik,3,34.9
Masherbrum Mountains,5,76.3108
Mejia (community development block),8,87.1
Penrhiwceiber,7,-3.361
Huye District,4,29.7
Troina,3,14.6
"Bath, Illinois",4,-90.1408
"Stamford Bridge, East Riding of Yorkshire",9,-0.912544
Glympton,4,-1.382
Fraserburg,3,21.5119
Clay Cross,3,-1.4128
"Rosedale, New South Wales",8,150.217
"Roseto, Pennsylvania",5,-75.2172
Touws River (town),7,20.0336
"Fulwood, Lancashire",5,-2.69361
Walsingham,4,0.87357
"Callaway, Maryland",5,-76.5192
Wedderburn Castle,5,-2.30698
"Clearview, Ontario",5,-80.0742
Clifton Campville,5,-1.625
Sibolga,4,98.78
Lowestoft,4,1.75
Davanagere,5,75.9242
Grand'Anse (department),8,-74.1167
"Montgomery, Alabama",4,-86.2792
"Lincoln, Delaware",4,-75.4231
Siliwangi Stadium,6,107.619
Cheong Fatt Tze Mansion,8,100.335
Pennard,3,-4.071
Komati Power Station,5,29.4719
"Balfour, Mpumalanga",7,28.5833
"Barford, Warwickshire",5,-1.605
"Sarasota, Florida",6,-82.5353
"Berkeley, New South Wales",6,150.846
Colombo District,4,80.0167
Hooker Island,4,53.0333
Erzsébetváros,6,19.0687
Tikitere,3,176.361
San Giovanni dei Fiorentini,7,12.465
"Trenton, Ontario",5,-77.5806
"Nakagyō-ku, Kyoto",8,135.751
"Fripp Island, South Carolina",7,-80.4833
Thiruvananthapuram,6,76.9525
"St. Sebaldus Church, Nuremberg",9,11.0764
Taal Lake,4,121.016
"Walton, Leeds",5,-1.32667
"Canso, Nova Scotia",6,-60.9953
"Van Buren County, Tennessee",6,-85.46
Juchitán de Zaragoza,7,-95.0167
Bridport,3,-2.7584
Rivière Noire District,5,57.4167
Big Hill Lake,4,-95.4586
Urubamba Province,5,-72.12
Olkaria I Geothermal Power Station,8,36.3089
Vestfjorden,4,14.7667
"Holy Trinity Church, Marylebone",8,-0.143611
Ballyshannon,5,-8.1901
"Little Silver, New Jersey",6,-74.0345
Brunei Bay,4,115.291
Brandesburton,4,-0.300644
"Norton Summit, South Australia",6,138.717
Loughborough Junction railway station,7,-0.102
Mungeli district,5,81.67
San Andres Apostol Church (Candaba),10,120.828
Holborn,3,-0.1136
"Eastern Province, Sri Lanka",6,81.5
"Schleicher County, Texas",6,-100.54
Sproat Lake,5,-125.033
"Jefferson County, Georgia",5,-82.42
Maccagno,4,8.73333
Cadiz Solar Power Plant,6,123.296
"Torrent, Valencia",4,-0.465556
Maids Moreton,5,-0.972
"Lockeford, California",5,-121.151
"Badi, Raisen",6,78.0842
Roorkee Cantonment,6,77.88
"Mount Clear, Victoria",5,143.868
Pematangsiantar,6,99.06
Miyako-jima,5,125.317
"Manama, Ajman",6,56.0278
Ulricehamn,4,13.4167
Angaur,3,134.139
