prompt,prompt_len,target
"Corbin City, New Jersey",7,12129.0
Balaganj Upazila,7,16366.0
Santo Stefano di Camastra,6,7741.0
Holborn Viaduct railway station,8,42548.0
"Elephant Tower, Carlsberg",6,8367.0
"Peechelba, Victoria",7,6456.0
"Bear Lake, British Columbia",6,5671.0
Vaiala,3,16973.0
Northmavine,4,11224.0
Loeriesfontein,4,14661.0
Ifalik,3,11032.0
Glen Innes Severn,4,7484.0
Sankhuwasabha District,7,39447.0
Maison Alcan,4,8153.0
Saylorville Lake,5,33643.0
Rosh Pinah,5,16219.0
Burgh by Sands,5,61407.0
Cultural Complex of the Republic,6,7947.0
Santa Fiora,4,7656.0
Kolbeinsey,4,70347.0
Huaqiangbei,4,48581.0
"Annawan, Illinois",5,9216.0
Bowatenna Dam,5,6660.0
Abbottabad District,6,65559.0
Maskanah,3,11969.0
"Euston, New South Wales",8,9955.0
White House (plantation),7,47561.0
Grand Hotel des Bains,6,29480.0
Mzimba,4,8960.0
Ruski Krstur,5,12700.0
Oxford Circus tube station,5,95198.0
Cowplain,3,9335.0
Winslow Road railway station,6,5235.0
"Ceres, Victoria",5,7354.0
Faro District,4,52315.0
Prague-East District,5,11559.0
"Makubetsu, Hokkaido",6,6872.0
"Mecca, Indiana",5,7455.0
Rivarolo Canavese,7,5578.0
Mol (Ada),5,6049.0
"Yulin, Guangxi",6,110865.0
Mount Darwin (California),6,12488.0
"Quimbaya, Quindío",8,8075.0
Pudukkottai,6,148328.0
Fraser Pass,3,14351.0
Cork (city),5,1296222.0
Heathrow Junction railway station,6,13824.0
Holy Name Cathedral (Chicago),7,61281.0
"Gonda, Aligarh",6,6878.0
Northern Great Plain,4,23614.0
Cambé,3,5796.0
"Leone, American Samoa",6,15191.0
State Theatre (Minneapolis),6,17621.0
Condé-sur-Noireau,9,6476.0
Loiyangalani,6,10907.0
Lake Lahontan (reservoir),8,15531.0
Žepa,3,26395.0
Fengyang County,4,9211.0
"Ciénaga, Magdalena",6,18966.0
"Huntington, West Virginia",6,557751.0
Upper Saranac Lake,5,12606.0
Bayt Daras,5,7527.0
City of Johannesburg Metropolitan Municipality,6,241320.0
"Lower Providence Township, Montgomery County, Pennsylvania",9,10951.0
Daming Lake,4,13313.0
Berrylands railway station,5,9833.0
"Royal, Illinois",4,10143.0
Birpur,3,16935.0
Saltholm,4,61044.0
"Aprilia, Lazio",5,27026.0
"Cranbourne North, Victoria",6,8802.0
"Birdwood, South Australia",6,21566.0
