prompt,prompt_len,target
The Game Is Over,5,8863.0
Get Stoned,4,10190.0
Caravan,3,15428.0
The Bonnie Parker Story,5,44106.0
Cara Mia,3,6253.0
I Like,3,6672.0
Can't Wait Until Tonight,7,5037.0
"Your Fathers, Where Are They? And the Prophets, Do They Live Forever?",17,18765.0
Through the Wire,4,378235.0
Break Ya Neck,4,64162.0
Wait for a Minute,5,26054.0
Mafia,2,67814.0
Anything Like Me,4,7966.0
Be Right Here,4,6151.0
Rent,2,46218.0
Flower Power,3,12385.0
She's Dope!,7,7243.0
Red Monarch,3,24328.0
Here We Go Again,5,41188.0
Girls,2,281361.0
The Terminal Man,4,110313.0
I Don't Believe You (She Acts Like We Never Have Met),16,14670.0
Allare Allari,5,34477.0
Up All Night,4,40270.0
Mayo,2,14355.0
Absolution Gap,4,47808.0
Harder,3,43733.0
Rip It Up,4,49476.0
Scary Monsters and Nice Sprites,7,58912.0
Keep Cool,3,13839.0
America,2,28978.0
Boneless,3,28561.0
Arnold Layne,4,151981.0
The Profane Exhibit,5,41433.0
Rock Around the Clock,5,345880.0
Different World,3,51326.0
The Shadow of Saganami,6,9281.0
Papillon,3,1215549.0
Madhouse,3,24904.0
Drive By,3,71097.0
Born Again,3,6365.0
Abacab,3,74024.0
Pulse,2,96130.0
We Connect,3,6975.0
Tattooed Millionaire,4,21132.0
Secret Love,3,6420.0
Get Down Tonight,4,81057.0
I Started Something I Couldn't Finish,9,32639.0
Country Song,3,16100.0
Taree,3,9034.0
Bake Sale,3,18756.0
Me Llamas,4,15930.0
Beyond Desire,3,13227.0
Without You,3,32818.0
Old Alabama,3,18382.0
Up the Bracket,4,11236.0
Don't Jump,5,7856.0
The Torture,3,98429.0
Tangerine,3,77508.0
Love Me,3,9595.0
The Bell Jar,4,59391.0
Shamus,3,45191.0
Same Jeans,3,15846.0
Just a Little,4,34002.0
The Caretakers,4,35608.0
The Climb Back,4,5724.0
Shout,2,290017.0
What's the Difference,6,68807.0
It's My Life,6,446052.0
Sending All My Love,5,26003.0
Make It Last Forever,5,40149.0
Take Me to Church,5,1057211.0
Bbibbi,4,71432.0
Stranger Things,3,55511.0
Rumors,2,45372.0
European Son,3,27982.0
Ghetto,3,8888.0
The Cabinet of Curiosities,7,39356.0
"Dr. Livingstone, I Presume",8,20954.0
Doctorin' the Tardis,7,99411.0
Your Mother Should Know,5,66882.0
Dark Horse,3,32986.0
Miss America,3,7325.0
Rip It Up,4,49476.0
Re:Re:,5,45041.0
Gonna Know We Were Here,6,6318.0
Vishnu,3,100881.0
When It's Alright,6,14957.0
Fix,2,6461.0
Fighting Temptation,3,38232.0
Bubblin,4,5442.0
Eyes Wide Open,4,18381.0
Untouched,3,73276.0
Handle with Care,4,191314.0
Newsfront,3,23404.0
Chinese Democracy,3,49898.0
Secretly,3,12865.0
Slippery When Wet,5,9322.0
"Want It, Need It",6,6967.0
Nothing on You,4,18433.0
Eastern Standard Tribe,4,10104.0
Fallin',4,234616.0
"Baby, Baby Don't Cry",8,11450.0
Autumn Almanac,3,12198.0
Looney Tunes Golden Collection: Volume 5,10,47322.0
Trabbi Goes to Hollywood,6,15952.0
Say So,3,19878.0
What's My Age Again?,8,185178.0
Beanstalk Bunny,4,13430.0
All to Myself,4,18562.0
The Last Hungry Cat,5,11869.0
Donna,2,22573.0
Lookin' at You,6,6958.0
Le ali della sfinge,7,5180.0
The Bargain Store,4,10825.0
Little of Your Love,5,15040.0
"No, It Isn't",7,16674.0
A Day Without Me,5,28391.0
Does This Bus Stop At 82nd Street?,12,8629.0
Real Love,3,23281.0
Houdini,4,21381.0
Nolia Clap,4,14757.0
Star Wars (Main Title),7,86153.0
Die Young,3,14074.0
Birthday,2,25470.0
