prompt,prompt_len,target
"Q: What does a keratometer measure in the cornea?
A: curve",18,1
"Q: What do you call the energy that must be overcome in order for a chemical reaction to occur, or the minimum energy required to start a chemical reaction?
A: expression energy",38,0
"Q: What is caused by human actions that releases chemical substances and particles into the air?
A: air pollution",24,1
"Q: What will happen to a rock when it's under tremendous stress?
A: it will slow",23,0
"Q: What is name for a piece of collagen-rich skin formed after the process of wound healing that differs from normal skin?
A: scar",31,1
"Q: Chemical formulas for ionic compounds are called what?
A: electronic formulas",17,0
"Q: What limits the growth or development of an organism, population, or process?
A: decreasing factor",23,0
"Q: When two skateboarders push against each other what happens?
A: they move apart",20,1
"Q: Both mitosis and meiosis result in eukaryotic cells doing what?
A: dividing",18,1
"Q: The concentration of hydrogen ions in a solution is called?
A: acidity",18,1
"Q: How many different ways can molecules pass through a phospholipid membrane?
A: three",20,1
"Q: What occurs when light interacts with our atmosphere?
A: prism effect",17,0
"Q: A rise in blood glucose levels triggers the pancreatic release of what hormone?
A: hemoglobin",21,0
"Q: What is the term for plants that lack vascular tissues, roots, leaves, seeds, and flowers?
A: chloroplasts",28,0
"Q: What kind of charges do protons give the nucleus?
A: positive",17,1
"Q: Wind power, solar power, hydropower, and geothermal power are called renewable sources of energy or what other term?
A: alternative energy",30,1
"Q: What supports the scapula, transmits the weight and forces from the upper limb to the body trunk, and protects the underlying nerves and blood vessels?
A: bladder",36,0
"Q: Binary fission is an example of which type of production?
A: asexual",18,1
"Q: What instrument made it possible to study pressure quantitatively?
A: barometer",17,1
"Q: What is the name of a branch of the chemistry that deals with the interconversion of chemical energy and electrical energy?
A: electrochemistry",31,1
"Q: What happens to the mass number during a nuclear decay process by positron emission?
A: remains unchanged",23,1
"Q: What is the name of the cloud where most long-period comets come from?
A: stellar cloud",24,0
"Q: The movement of bone away from the midline of the body is called what?
A: extension",22,1
"Q: If pressure is exerted on the rock from one direction, the rock forms layers. this is called what?
A: foliation",29,1
"Q: What is made up of the pinna, ear canal, and eardrum?
A: the outer ear",26,1
"Q: What system consists of all the muscles of the body?
A: vascular",18,0
"Q: The four phases of mitosis are prophase, metaphase, anaphase and what?
A: spirogyra",26,0
"Q: Electromagnetic waves are generally caused by magnetic fields doing what (or moving in what way)?
A: vibrating",24,1
"Q: Earth spinning as air moves over its surface causes what?
A: seasons",18,0
"Q: The accumulation of what cells begin the development of the vertebral column and thoracic cage?
A: semiosis cells",25,0
"Q: A major disturbance in what results in an episode of severe weather called a storm?
A: the atmosphere",24,1
"Q: To the extent that behaviors are controlled by what, they may evolve through natural selection?
A: genes",24,1
"Q: Snippet 2: one of the reasons the periodic table is so useful is because its structure allows us to qualitatively determine how some properties of the elements vary versus their position on the periodic table. the variation of properties versus position on the periodic table is called what?
A: periodic trends",61,1
"Q: While in the lungs, blood gives up carbon dioxide and picks up what element before returning to the heart?
A: nitrogen",28,0
"Q: What type of galaxies are oval shaped, red or yellow, and contain mostly old stars?
A: ovoid anomalies",27,0
"Q: What force is greater on rougher surfaces than smooth surfaces?
A: tension",19,0
"Q: What type of vertebrates control body temperature to just a limited extent from the outside by changing behavior?
A: etheric",27,0
"Q: In multicellular organisms, only mutations in cell lines that produce gametes can be passed to what?
A: offspring",27,1
"Q: Where does visible light fall in between on the electromagnetic spectrum?
A: infrared light and specific light",23,0
"Q: How are layers of the atmosphere divided?
A: air gradients",16,0
"Q: When a solute dissolves into a solvent what is that called?
A: solubility",19,0
"Q: What does interspecific competition between species often lead to?
A: extinction",18,1
"Q: What type of behavior is frogs croaking or deer clashing antlers an example of?
A: courtship",24,1
"Q: The prostate gland secretes a fluid that mixes with sperm to help form what?
A: testosterone",23,0
"Q: Mammals belong to which class of vertebrates?
A: endothermic",16,1
"Q: Through this process, algae provide glucose for the ecosystem?
A: spermatogenesis",19,0
"Q: Why would prokaryotes be chemotrophs instead of phototrophs in a deep-sea hydrothermal vent?
A: lack of light",31,1
"Q: ""direct"" and ""alternating"" are two kinds of what, which is associated with electricity?
A: current",27,1
"Q: What type of metal is a good conductor of electricity?
A: copper",18,1
"Q: What structures of the cardiovascular system help regulate body processes by either constricting or dilating?
A: muscles",26,0
"Q: Which kind of irrigation uses much less water than other methods?
A: constant",19,0
"Q: The diversity of alleles and genotypes within a population is known as genetic what?
A: variance",22,1
"Q: After passing through capillaries and being filtered, clean blood leaves what organ through a vein?
A: kidney",24,1
"Q: What is the only way of transferring energy that doesn't require matter?
A: mutation",22,0
"Q: What year did the soho spacecraft first started to operate?
A: 2012",23,0
"Q: Sugar and starch are examples of what type of nutrient?
A: proteins",18,0
"Q: Organisms that lack both a nucleus and membrane-bound organelles are known as what, in general?
A: photosynthetic",26,0
