prompt,prompt_len,target
(7*(4-3)),8,7
(7+(2*2)),8,11
(2-(5*7)),8,-33
(5*(8-9)),8,-5
(9*(7+6)),8,117
(2*(8+9)),8,34
(5+(1*5)),8,10
(6*(2-4)),8,-12
(4-(1*9)),8,-5
(8-(6*2)),8,-4
(1*(6-2)),8,4
(2-(6*7)),8,-40
(5*(1+7)),8,40
(6*(5-1)),8,24
(3*(2+7)),8,27
(3-(2*1)),8,1
(6*(8+4)),8,72
(8+(4*5)),8,28
(3*(1+9)),8,30
(5*(9-2)),8,35
(4*(7-8)),8,-4
(7*(9-4)),8,35
(1+(2*8)),8,17
(4*(9-3)),8,24
(3*(2-7)),8,-15
(9*(2-3)),8,-9
(8*(1+8)),8,72
(8*(9+5)),8,112
(5+(9*3)),8,32
(7-(1*6)),8,1
(1*(6+2)),8,8
(1-(2*6)),8,-11
(7-(5*7)),8,-28
(4+(2*6)),8,16
(3-(2*8)),8,-13
(4*(4-9)),8,-20
(3+(4*2)),8,11
(5*(8-3)),8,25
(4*(7-8)),8,-4
(5-(5*9)),8,-40
(3-(3*5)),8,-12
(5*(4-4)),8,0
(5*(4+5)),8,45
(7*(8-1)),8,49
(9*(6-3)),8,27
(6*(5-6)),8,-6
(8*(6-3)),8,24
(3-(2*9)),8,-15
(1+(8*6)),8,49
(1*(7+6)),8,13
(7*(9+5)),8,98
(6*(5+8)),8,78
(2+(5*8)),8,42
(2+(6*7)),8,44
(6*(9-1)),8,48
(7+(4*2)),8,15
(8+(8*3)),8,32
(8*(6+1)),8,56
(3*(4+2)),8,18
(3*(3+5)),8,24
(6-(8*7)),8,-50
(3+(2*5)),8,13
(4*(6-8)),8,-8
(5-(6*8)),8,-43
(5*(2-9)),8,-35
(7*(1+4)),8,35
(8+(5*9)),8,53
(2*(8+9)),8,34
(7*(6-4)),8,14
(7*(8+7)),8,105
(6+(5*1)),8,11
(1+(7*7)),8,50
(9*(2+8)),8,90
(8*(7-5)),8,16
(1*(9+5)),8,14
(1*(3+8)),8,11
(8+(7*7)),8,57
(3-(6*3)),8,-15
(5*(2-3)),8,-5
(2*(8-9)),8,-2
(9+(6*1)),8,15
(1-(1*2)),8,-1
(7+(1*4)),8,11
(4*(2-7)),8,-20
(8-(6*7)),8,-34
(7-(9*7)),8,-56
(9*(5+3)),8,72
(7*(5-1)),8,28
(6-(8*9)),8,-66
(2-(7*1)),8,-5
(4*(9+4)),8,52
(4+(8*2)),8,20
(8-(2*6)),8,-4
(6-(3*8)),8,-18
(9+(3*9)),8,36
(9*(3-4)),8,-9
(3*(6+7)),8,39
(4-(4*1)),8,0
(6*(8-3)),8,30
(1*(1+1)),8,2
(3*(4+6)),8,30
(1-(3*7)),8,-20
(4+(4*7)),8,32
(7*(2-1)),8,7
(5*(8-1)),8,35
(3*(5+2)),8,21
(2*(5+4)),8,18
(2+(6*3)),8,20
(6*(8-5)),8,18
(6-(8*9)),8,-66
(9-(6*2)),8,-3
(1*(4-8)),8,-4
(8-(7*1)),8,1
(3+(5*3)),8,18
(9*(9+7)),8,144
(3*(8+2)),8,30
(6*(4-6)),8,-12
(8*(3-5)),8,-16
(8-(4*8)),8,-24
(6*(6+5)),8,66
(8-(7*8)),8,-48
(8*(9+6)),8,120
(9*(9-9)),8,0
(8*(9-8)),8,8
(1+(1*8)),8,9
(4*(9+3)),8,48
(6+(9*1)),8,15
(2*(3-9)),8,-12
(9-(3*7)),8,-12
(1+(8*7)),8,57
(8-(6*7)),8,-34
(1-(1*2)),8,-1
(5+(2*1)),8,7
(2*(9-2)),8,14
(8*(9-9)),8,0
(7*(1-2)),8,-7
(6+(9*4)),8,42
(1*(4-1)),8,3
(4*(2-3)),8,-4
(4*(6+1)),8,28
(2-(4*8)),8,-30
(5-(8*5)),8,-35
(4*(6+5)),8,44
(5*(1+3)),8,20
(7+(8*1)),8,15
(8*(3+1)),8,32
(5+(8*9)),8,77
(7-(5*4)),8,-13
(5*(2-5)),8,-15
(2+(8*8)),8,66
(9*(8-6)),8,18
(2-(4*2)),8,-6
(2+(6*3)),8,20
(2*(8-6)),8,4
(4*(9+3)),8,48
(2*(8-6)),8,4
(5*(4-4)),8,0
(4+(6*1)),8,10
(9*(5+5)),8,90
(4*(3-8)),8,-20
(6+(5*8)),8,46
(9*(1+3)),8,36
(7+(3*2)),8,13
(9-(8*6)),8,-39
(5+(7*3)),8,26
(1+(3*2)),8,7
(3*(3-2)),8,3
(4*(8+5)),8,52
