prompt,prompt_len,target
Ignacio Merino,4,1876.0
Jean de Cardaillac,6,1390.0
Abraham Wieling,4,1746.0
Robert of Knaresborough,6,1218.0
Arnold von Freising,5,883.0
Henry I van Vianden,6,1267.0
Stefano Colonna,3,1378.0
"Maria of Brabant, Duchess of Bavaria",8,1256.0
Vigilius of Trent,5,405.0
Valentin Rose,3,1807.0
Hugues III de Castelnau-Calmont,10,1356.0
Urraca Díaz de Haro,7,1262.0
Maximilian II of Bavaria,6,1864.0
Sitting Bull,3,1890.0
Emil Schallopp,5,1919.0
Benigna Marie of Reuss-Ebersdorf,11,1751.0
Cristoforo Buondelmonti,8,1430.0
Robert Alyngton,5,1398.0
Ernst Mosch,4,1999.0
Mariano Acha,4,1841.0
Franz Ziereis,5,1945.0
Aelia Eudocia,6,460.0
Walter II of Enghien,6,1309.0
Johann Hieronymus Kniphof,6,1763.0
Altfrid,4,874.0
Ichijō Uchitsune,7,1325.0
Alessandro Scarlatti,5,1725.0
"Georg Donatus, Hereditary Grand Duke of Hesse",11,1937.0
Arnold von Lasaulx,6,1886.0
Liutprand of Cremona,8,972.0
Johann V.,4,1437.0
Cyril of Scythopolis,6,558.0
Fantinus,4,1000.0
Robert Scalio,4,1110.0
Murong Sheng,4,401.0
Otto Pfleiderer,6,1908.0
Tian Bu,3,822.0
Giovanni Contarini,4,1451.0
Leo Thundorfer,6,1277.0
"Berthold V, Duke of Zähringen",10,1218.0
Dirk Willems,4,1569.0
Karl Rudolphi,5,1832.0
Niklaus Franz von Bachmann,7,1831.0
Johann Christoph Rothe,5,1700.0
Teitur Þorvaldsson,7,1259.0
Marquis de Sade,5,1814.0
Walter Giffard,5,1279.0
Zhang Jun,3,1164.0
Joseph zu Salm-Reifferscheidt-Dyck,14,1861.0
Friedrich,2,1387.0
Diego Rodríguez Porcelos,6,885.0
Yelü Shouguonu,7,1259.0
Princess Augusta of Saxe-Gotha,8,1772.0
Pedro González de Mendoza,5,1385.0
Duke Hui of Qi,5,-599.0
Hermann Friedrich Teichmeyer,5,1746.0
梁椿,3,561.0
Johann Jakob Kaup,5,1873.0
Humbeline of Jully,7,1141.0
Anne Eleonore of Hesse-Darmstadt,9,1659.0
Guido di Graziano,5,1300.0
"Sophie of Pomerania, Duchess of Mecklenburg",9,1504.0
Georg Kaibel,4,1901.0
Irene Kantakouzene,6,1457.0
Michael Gröll,4,1798.0
John Joachim Zubly,5,1781.0
Elisabeth Eleonore of Brunswick-Wolfenbüttel,10,1729.0
Carl Christian Gmelin,5,1837.0
Grand Ferré,4,1359.0
James II of Scotland,5,1460.0
Antoine Arnauld,5,1694.0
Juan de Valdés,4,1541.0
Albertas Manvydas,7,1423.0
Jean de la Clite,6,1443.0
Yuan Xian,3,598.0
