prompt,prompt_len,target
It is difficult to climb at least two of the highest mountains.,14,yes
"If you have pet fish, you must keep them in a tank.",15,yes
"If you have to illustrate point, people didn't get you",14,yes
Waste has no use,5,no
A store's loyalty card cannot get you a discount at a competing retailer,16,yes
Are walnuts part of the same family as peanuts?,11,no
"Before eating breakfasts, many cultures believe in eating a meal called Mid Morn?",16,no
Detroit is smaller than earth?,7,yes
Has anyone ever been arrested in rome?,9,yes
Hungry is the name of a European nation from which one would have to remove a vowel to get an adjective relating to food,25,no
An artist almost always can paint and sculpt?,10,no
The operating system on a computer often crashes because of user error.,14,no
Lawyers cannot come before lamps in the dictionary.,11,yes
philadelphia almost always gets less attention than NYC ,11,yes
"playing an instrument cannot be done in this order: first hear the sound, then play the note. ",22,yes
A Proud Boy is considered in the radical right.,11,yes
is having exactly 2 eyes very common?,10,yes
"In the spectrum of light, orange comes after blue.",12,yes
True/false - crescent cannot be a phase of the moon.,14,no
sugar is sometimes made to look like glass that you can eat ,14,yes
A club has some members.,7,yes
You can sell an item only if you own it?,12,no
There are at least two vowels in the first word of the second verse of the Star Spangled Banner.,22,no
Coach is always more respected if he was successful player of that team in the past,17,yes
Nurses's job is to take care of doctors,12,no
You cannot become the chairman of a corporation before you become the president of that corporation.,18,yes
A wife must be smaller than her husband.,10,no
"If a lamp won't turn on, and it is plugged in and has a new lightbulb, it's likely broken?",28,yes
Libertarian philosophy is a core part of the cato institute beliefs ,15,yes
you can always clean your house,7,yes
sometimes people used to send each other an email of a dancing baby,14,yes
The third act is always following the fourth,9,no
Some people use rats to help them cook in restaurants. ,13,no
people almost never return a favor,7,no
"When you say eighty six a menu item, does it mean remove the item?",17,yes
"Not counting the animated series, there were still at least two sequels to The Matrix",17,yes
Adults with valid identification can legally purchase alcohol for children as long as they don't charge for it,21,no
Respect your elders because it is in the Constitution.,11,no
You can not submit a medical device to the FDA until after all the tests have been run and their conditions have been met for safety. ,29,yes
"If you want to collect pumpkin seeds, you will need at least one mature pumpkin.",18,yes
All city halls are smaller than the Sears Tower.,11,yes
You can use a rock to hammer a nail.,11,yes
You can go thousands of feet below the ocean only if you hold your breath long enough.,19,no
Is vienna part of the United Nations?,10,yes
Turkey is small part of europe,7,yes
Sometimes a deal between business partners involves the use of a lawyer and cannot otherwise work.,18,yes
The boss can get angry if the task is not done in this order.,16,yes
Use a tissue before you sneeze,7,no
New Jersey is capable of controlling the US Capital because it's territory is on its land. ,21,no
"""Suicide is Painless"" is a song that can be heard in the TV show and film MASH?",23,yes
"When seeing artifacts in museums, children can learn about aliens from Mars.",15,no
A cabin is part of cabinet,7,no
Tax comes after volume,5,no
"done in this order after your mom finds out you did something bad it always goes: angry, sad, upset",23,no
The tide comes in after it goes out.,10,yes
none of nature can be eaten,7,no
Birthday parties are never a surprise for the birthday person.,12,no
Cambridge can exist in Florida,6,no
The matrix is a movie that was made back in the 1990’s,19,yes
My ancestor can be my children.,8,no
the space shuttle columbia has never crashed,8,no
Dawn of the Dead is a long-running AMC horror drama based on Robert Kirkman's comic books of the same name,26,no
Mirror is always one-sided,7,no
"After man’s sister has a baby, he becomes an uncle, but if his other sister has a baby, too, he is still an uncle?",32,yes
"When you play soccer, do you wear protective gears for your shins?",16,yes
A one kilo silver bar is capable of being less heavy than a similar gold bar.,18,no
most people use a saw to cut wood,9,yes
