prompt,prompt_len,target
". We're like that, we women. I just wanted to thank you, not freak you out, alright?""  ""I see,"" he said. Unsure of where to go with this.  ""You think I am crazy, right?"" There was a certain anxiety in her voice. ""You don't think I should have done it.""  They talked on for an hour after that. _Unpublished notes of George Ferron Morgan_  _How on earth did I develop an interest in politics? My father was not a politician that one could see, but he did bring Booker T. Washington",125,Republican Party
" group, which are voted on by the Officers of the University.  Recipients John Gilmary Shea, a historian of the Catholic Church in the United States, was the first person to be awarded the Laetare Medal in 1883. The recipients of the Laetare Medal come from varied fields. Recipients include jazz musicians, Cardinals, philanthropists, ambassadors, authors, opera singers, Senators, doctors, generals, and a U.S. President.  2009 Laetare Medal Harvard Law School professor and former United States Ambassador to the Holy See, Mary Ann Glendon",122,Republican Party
" Feinstein, Wyden, Edwards, and Mikulski. Chairman Roberts. The committee will come to order. Ladies and gentlemen and my colleagues, it's been a longstanding tradition for the Senate Select Committee on Intelligence to begin its annual oversight of the U.S. intelligence community by conducting a public hearing to present to our members and to the American public the intelligence community's assessment of the current and projected national security threats to the United States and our interests abroad. Appearing before the Committee today are the Director of Central Intelligence, Mr. George Tenet",114,Democratic Party
" boost that total to $1 million. That would be a remarkable amount of money for a Collin County race.  ""This time last cycle I didn't have any money in my account,"" Shaheen said. ""We're taking the election seriously. We're going all out. You're going to see Republicans campaign like they never have in the past.""  In Dallas County, Democrats hope to sweep out the two remaining Republicans — Angie Chen Button and Morgan Meyer. Both had close calls last year.  Meyer, who lives in University Park, is considering running for Congress against incumbent Democrat Colin Allred",125,Democratic Party
"Test Handicap  The Test Handicap was an American Thoroughbred horse race first run on July 25, 1896 at Brighton Beach Race Course in Brighton Beach, Brooklyn, New York where it continued annually through 1909. A race for horses age three and older, it was run on dirt over a distance of one mile.   On June 11, 1908, the Republican controlled New York Legislature under Governor Charles Evans Hughes",96,Republican Party
" addition to Wyden, McConnell, Merkley and Paul, the Industrial Hemp Farming Act’s cosponsors now also include Sens. Tammy Baldwin, D-Wis., Michael Bennet, D-Colo., Steve Daines., R-Mont., Al Franken, D-Minn., Cory Gardner, R-Colo., Kirsten Gillibrand, D-N.Y., Mazie Hirono, D-Hawaii., Chris Murphy, D-Conn., Bernie Sanders, I-Vt., Brian Schatz, D-Hawaii., and Jon Tester",106,Democratic Party
" that there was time to nip up to the Three Shires, a pub that many people scarcely know exists, so reclusive is its location on the Wrynose Pass. Without the app I would never have thought of it, and would have missed tasting Ulverston Brewery's Laughing Gravy.  Back down in the main valley, we popped into the Britannia, probably the best-known pub in Langdale, with a commanding position on the green in Elterwater village. The craic here was something else, with an Irish contingent volubly and hilariously describing preparations for the Bob Graham",123,Democratic Party
" the use of computers. Some of the common techniques for darkroom manipulation are dodging, burning, and masking, which though similar conceptually to digital manipulations, involve physical rather than virtual techniques. Darkroom manipulations are those processes used, for example, to remove unwanted areas and change image background, among others. Varying techniques can be used to accomplish the same tasks.  History  Photo manipulation started in the darkroom in the 1860s when searching for a heroic image of U.S.  President Abraham Lincoln. An unidentified artist appended the statesman’s head to the body of John C. Calhoun",124,Democratic Party
"able in at least thirty percent gold. This compromise was still too much for the Eastern Democrats and Republicans who favored the gold standard, and the Banking Committee refused to approve the bill. Payne contrived to bypass his committee and bring the bill for a vote by the whole House, but it was voted down, 81 to 157. The House later passed a complete repeal of the Resumption Act, 133 to 120, but the Senate declined to take up the matter. Specie resumption remained the law of the land when the 44th Congress's term expired.  In the 1876 presidential election, Republican Rutherford B. Hayes",140,Republican Party
" are required in the Senate.  After cloture is invoked, up to 30 hours of debate can take place before a vote happens on final passage, which requires a simple majority. But the vote for final passage could take place sooner if both parties agree to give up the time.  During a taped interview on The Rachel Maddow Show that aired Wednesday, Reid expressed confidence there would be enough votes to invoke cloture on ENDA. Noting that all 55 Democrats are on board, Reid predicted “we’re going to get a least five Republicans” to reach 60 votes.  Sen. Tom Harkin",129,Democratic Party
" they entered the workforce at a time when the American middle class was in danger of extinction. Many Boomers and X-ers have had their savings depleted by the economic downturn of the late 2000s and early 2010; many Millennials haven’t even had a chance to build a substantial savings.  2. The financial crash of Sept. 2008.  The United States’ financial problems didn’t begin with the crash of September 2008. American manufacturing jobs were being exported to developing countries long before that, and the North American Free Trade Agreement of the early 1990s proved to be every bit as damaging as Ross Perot",144,Republican Party
" former Secretary of State Hillary Clinton Hillary Diane Rodham ClintonDemocratic groups using Bloomberg money to launch M in Spanish language ads in Florida The Hill's Campaign Report: Presidential polls tighten weeks out from Election Day More than 50 Latino faith leaders endorse Biden MORE and prominent Democratic donor George Soros.  The American Civil Liberties Union (ACLU) has written to leaders in New Mexico calling on them to take action to prevent the militia from threatening migrant families.  “We cannot allow racist and armed vigilantes to kidnap and detain people seeking asylum,” ACLU attorneys wrote to New Mexico Gov. Michelle Lujan Grisham",123,Democratic Party
" seeking bailout to prove that they had not used a test or device in a discriminatory manner in the ten-year period preceding their bailout request, an increase from the original five-year period requirement. Congress also expanded the ban on using tests or devices to the entire nation.  Congress also added new provisions to the Act. Two new provisions exclusively regulated presidential elections: one created uniform rules for voter registration and absentee voting, and the other prohibited states from applying their own durational residency requirements as voting qualifications. Influenced by the draft of males at least 18 years of age to fight in the Vietnam War, Senator Ted Kennedy",126,Democratic Party
" the political contract between leaders and citizens in a democracy. Just as Richard Nixon stood accused of lying to the American people and to Congress, covering up a campaign break-in while seeking to be reelected, Mrs. Clinton stands accused of lying to the American people to divert attention from a huge political fiasco in which four American were killed, as her department dithered and then lied about the events, in the course of a campaign to reelect the president whose Administration she serves.  Mrs. Clinton went off on an angry, almost hysterical, and surely nonsensical diversionary tangent today when asked by Senator Ronald Johnson",124,Republican Party
" County tax rolls.  Pulling the trigger on a blue bone saw (which he later revealed might cost up to $5,000), company president George Saiz said that MicroAire would soon shutter a California manufacturing plant to place the operation inside the soon-to-be-renovated former postal building.  As he and other speakers were extolling the impending move, high-intensity overhead lamps competed with the human voices to give the event– despite linen napkins and floral arrangements– the aura of a high s...  ""I lost everything,"" says Bill Thomas",117,Republican Party
Search location by ZIP code  ZIP  Advertisement  Kelly Ayotte,14,Republican Party
" a retired teacher who was a mainstay of the campaign's office, ""we decided to stay together. … Cuyahoga County didn't have an organization with the word 'progressive' in it, so we formed the Cuyahoga County Progressive Caucus.""  For those who want to see what Sanders termed a revolution continue as an ongoing political force, the Cuyahoga County Progressive Caucus (CCPC) is doing many things right. It has held a number of events on Cleveland's east side, the heavily African American part of town, working with the area's state senator, Sanders supporter Nina Turner",124,Democratic Party
A lot of money from two conservative political action committees will be spent in the 17th Congressional District between Labor Day and the November midterms.  Republican Congressman Keith Rothfus,37,Republican Party
" ""Lurking,"" by Silent Partner  Relevant links from the show:  ""More Holes in the 'Imminent Threat' Story on Soleimani,"" by Elizabeth Nolan Brown  ""Escalation Breeds Escalation, in Iran and Beyond,"" by Bonnie Kristian  ""No War With Iran, House Tells Trump. Next Up: Finally Forbidding Military Force in Iraq?"" by Elizabeth Nolan Brown  ""Republican Rep. Thomas Massie Signs On to House Bill Ending War in Iraq,"" by Scott Shackford  ""Nikki Haley",106,Republican Party
": ""We will never laugh again,"" said McGrory. Moynihan, who worked for President Kennedy responded, ""Mary, we will laugh again. But we will never be young again.""  McGrory was assigned by the Star to travel with Robert F. Kennedy during his ill-fated 1968 presidential campaign and became close to his wife Ethel at the time.  Urban legend In a 1983 paperback, Wayne Coffey's 303 of the World's Worst Predictions, McGrory was falsely described as having ""predicted"" in her Washington Star column that George McGovern",127,Democratic Party
":  ""A lot of groups are working on calling out Congressional climate deniers — Al Gore's group is doing it, and so is the League of Conservation Voters. So is Organizing for Action, Obama's grassroots arm.  ""We need Congressional action, and we need to find ways to marginalize the members who are standing in the way.""  Two hurricanes from Minnesota  Perhaps it's noteworthy in the MinnPost community that of the eight hurricanes rechristened by Graf in these clips, two have namesakes in the Minnesota delegation (Reps. Bachmann and Collin Peterson",119,Democratic Party
" balking at the prospect of the United States distancing itself from its European allies and embracing a Russian government that sought to interfere in the election. Under the leadership of Senator John McCain, they have also vowed to conduct a proper investigation into Russian meddling.  Meanwhile, on the other side of the aisle, Senate Democrats finally found their voice in grilling some of Trump's dubious Cabinet selections, including Betsy DeVos, a longtime critic of public schools who is slated to be Education Secretary; Scott Pruitt, a climate-change skeptic who was chosen to run the Environmental Protection Agency; and Steven Mnuchin",121,Republican Party
" We appreciate your patience as it may take a few weeks to process all the refunds.    Lodging Reservations : Some Provincetown guest houses, hotels, and rental owners have offered to roll over deposits to next year. If it is possible to do this it will be a great help for these small businesses to help them through a difficult year. Provincetown Bears does not have a role in room reservations, but we can alert local tourism groups to problems that arise. Consumer complaints can also be reported to the Commonweath of Massahuccusstts' Attorney General, Maura Healey",116,Democratic Party
" other states that have called for an amendment to overturn Citizens United are California, Hawaii, Massachusetts, New Jersey, New Mexico, Rhode Island, Vermont, Connecticut, Maryland, Colorado and Montana. The Washington, D.C., Council has called for an amendment as well.  After this crucial victory, it is time for Oregon to take this fight to the national stage and persuade Oregon's congressional delegation to commit to a constitutional amendment to overturn Citizens United. Already, U.S. Sens. Ron Wyden and Jeff Merkley, and U.S. Reps. Earl Blumenauer, Peter DeFazio",123,Democratic Party
" the gold at Fort Knox or the weapons of mass destruction that we have, but the sum total of the education and the character of our people. Claiborne Pell (1918 - )  The foundation of every state is the education of its youth. Diogenes Laertius  Only the educated are free. Epictetus (55 AD - 135 AD), Discourses  The great aim of education is not knowledge but action. Herbert Spencer (1820 - 1903)  Next in importance to freedom and justice is popular education, without which neither freedom nor justice can be permanently maintained. James A. Garfield",135,Republican Party
"Texas Attorney General Ken Paxton announced on Thursday that he will be launching an investigation into San Antonio city councilmen after they banned Chick-fil-A from the San Antonio International Airport over “anti-LGBTQ behavior.”  “I have directed my office to open an investigation into whether the City’s action violates state law,” Paxton said in a letter to San Antonio Mayor Ron Nirenberg and the city council.  Paxton also penned a letter to Secretary of Transportation Elaine Chao",97,Republican Party
"The Vice-Presidential Choices  Here’s who I think the presumptive nominees should choose: Obama: Governor Kaine of Virginia McCain: Mitt Romney Both of my choices have the ability to deliver a state. In Romney’s case, it is Michigan. I should add that the last vice-presidential nominee who was chosen with the idea of delivering a state was Lloyd Bentsen, Michael Dukakis",83,Democratic Party
http://www.gettyimages.com.au/detail/news-photo/personality-musician-gene-simmons-speaks-onstage-at-the-4th-news-photo/452046042  Australian broadcaster Triple M‘s network head Mike Fitzpatrick,63,Republican Party
