prompt,prompt_len,target
"eMasatoshi ""Matt"" Kosaki  ""In memory of friend"" - John and Bernice Klassen  In Memory of / À la mémoiredeCatherine Strachan  ""Dear Friend - Thinking of you always - you are with us in our hearts and sadly missed. We couldn't ask for a better angel to watch over us"" - Karen Leeming  David Hendrie  The Bridge Club  Henrietta & John Torok  Barbara Deveay  Patrizia & Derno Bortoluzzi  Linda Frost",103,0
 Lee  Lonesome River Band  Lonesome Standard Time  Mike Marshall & Chris Thile  Kathy Mattea  Del McCoury Band  James McMurtry  Metamora  Scott Miller  Jim Mills  Moe  Allison Moorer  Jimmy Murphy  Mutual Admiration Society  Nashville Bluegrass Band  Bobbie Nelson  Willie Nelson  Tara Nevins  New Grass Revival  Nickel Creek  Mollie O'Brien  Tim O'Brien  Maura O'Connell  Osborne Brothers  David Parmley  Dolly Parton  Tom Paxton  Johnny Paycheck,116,0
"ight by now. After all, it should feel odd listening to fortysomethings bemoan the futility of youth and their incompetence when talking to girls.  But Skiba's inclusion – or perhaps Delonge's removal – has paved the way for the band to write some of its most fun music in years. Even if California wasn’t an immediate classic, its music felt like the band recaptured something that had been lost.  Thursday night’s performance served as further proof that Blink-182’s success never relied on any one member. Bassist Mark Hoppus, drummer Travis Barker",124,1
" goods are behind a counter, and you have to ask a salesperson for them. It guarantees conversation will happen. When I was there, I found it a little nerve-wracking, but when I got home, I felt a little lonely for that interaction, which was hard to explain.”  The workshop does not mark the end of globalization efforts on campus. “This will be a good beginning of an important goal, not only to send our students into the world, but to bring the world to our campus through our curriculum, events, speakers, and programs,” said Munro. In the coming weeks, workshop participants",124,0
" in need of restoring, as the plane has no engines and the cockpit is due for an update. The plane, which currently sits in an airfield in Roswell, N.M., opened at $10,000. It will need to be disassembled to ship to the buyer, Fortune reports.  The music legend will receive a posthumous honor in 2017 when one of his signature hits, “Jailhouse Rock,” is inducted into the Grammy Hall of Fame. The song was a chart-topping hit for Presley and was featured in a movie of the same name. Merle Haggard",123,0
Cast & Crew  Browse more filmmakers:  Greta Gerwig,13,1
" For her role, Close was met with critical acclaim. David Richards of The New York Times wrote in 1994 that ""Glenn is giving one of those legendary performances people will be talking about years from now. The actress takes breathtaking risks, venturing so far out on a limb at times that you fear it will snap. It doesn't.""[56]  In October 2014, Close returned to Broadway in the starring role of Agnes in Pam MacKinnon's revival of Edward Albee's A Delicate Balance at the Golden Theatre. Her co-stars were John Lithgow as Tobias, Martha Plimpton",133,0
" poll also consisted of Pope Benedict XVI, Russian Prime Minister Vladimir Putin, performers Justin Bieber and Lady Gaga, and actor Jack Nicholson, among others. Wagner's brief appearance was followed by actor and comedian Seth Rogen and actress Lea Michele, along with musical guest Jack White, who performed ""Twenty Flight Rock"", along with O'Brien himself. Actor Jon Hamm, appearing as his character Don Draper from the AMC series Mad Men, and talk show host Larry King, of CNN's Larry King Live, made cameo appearances in the show's cold open, with actor and comedian Ricky Gervais",120,1
 beautiful every single day.  Margarette has been with Williamsburg for over 25 years which makes her the longest tenured employee that is currently on staff. Her smile and positive personality is remarkably contagious. You can’t help but come away from any interaction with Margarette feeling great. All of this in addition to her amazing work ethic has made Williamsburg that much more of an amazing experience for all our residents.  Margarette lives in Baton Rouge and enjoys watching classic movies and TV shows as well as listening to old music. Her eyes light up when she starts talking about stars such as Betty Davis and Natalie Wood,124,1
" in the captioned text below the audio.  YouTube  Rick Martinez (aka “Rodan”)  The subject is Rodan (aka Trajan 75, Emporer Palpatine, et al). Rodan began as webmaster for Think Progress Watch and is currently the webmaster and primary functionary at The Blogmocracy and The Diary of Daedalus.  The Diary of Daedalus is a site dedicated to the tracking and harassment of Charles Johnson of Little Green Footballs and members of Little Green Footballs. It has been previously cited in blogs or on Twitter by Andrew Breitbart",119,0
