prompt,prompt_len,target
" State’s Exhibit 49        In his first point, Reed contends that the trial court",21,bigram
 electronically filed clerk’s record in this case.       IT IS SO ORDERED.                                                              BY THE COURT,22,not_bigram
(d)(i) (West 2012). He did not post bail during the pendency of     his trial and,28,not_bigram
"'s notice of appeal in this case, a transcript of the record was filed with the trial court and transmitted to this court",26,not_bigram
" insurance policy it had with Defendants. Id., ¶ 10-12. Defendants removed the case from state court to this Court",28,not_bigram
 stated that the September 30 order “dealt solely with                            - 724 -          Nebraska Supreme Court,26,not_bigram
"1500 or more but less than $20,000. The certification of right to appeal executedby the trial court",29,bigram
 argues that we have no jurisdiction to hear Ellis' appeal because he filed a premature notice of appeal.  The district court,25,not_bigram
"dom, 928 S.W.2d at 23. In addition, ""the party prevailing in the trial court",29,bigram
". The trialcourt denied the motion as untimely and meritless, and this Court affirmed thetrial court",21,bigram
"iator^[@CR3]^. However, such therapy is associated with variable clinical responsiveness. This was illustrated in a therapeutic trial testing",28,not_bigram
" one already linked to your Google account and used for app purchases and other subscriptions. As far as the free trial,",24,not_bigram
sentence on count two.                                          8                                   DISCUSSION      A. Competence to Stand Trial,20,not_bigram
" breast and colorectal cancer, and reassuring the majority who are unlikely to benefit from referral is an important outcome of this trial.",25,not_bigram
 clients creditors  here a federal lien claimant.In the case of Franchise Tax Bd. v. Municipal Court,23,not_bigram
", are also protected from disclosure because he has an expectation of privacy in telephone conversations conducted in his home. The trial court",25,bigram
 633(b).(b) The Claim under New York State Human Rights LawDefendants also challenge this court,25,not_bigram
"s taped confession, or suggesting that the murderwas accidental. None of these assertions was corroborated. The trial court",23,bigram
 in the FLSA action . . . . We leave foranother day whether use of an employee’s trial testimony,24,not_bigram
" I do think that this type of action is intended under the law revision commissioncomments, and that will be the court",24,not_bigram
" beyond the limits of the discretion afforded to a trial judge by the article.Accordingly, the order of the trial judge",24,not_bigram
" such amounted to the ineffective assistance of counsel. Defendant contendsthat defense counsel’s failures, combined with the trial court",24,bigram
iberation again.Here is an unofficial transcript of the new instructions given to the jurors. Special thanks to Court,23,not_bigram
" his business. We affirm the trial court's order.1. In his first issue Nichols contends the ""trial court",25,bigram
"5--S8 were used in the punishment-learning task. Thus, if the participant guessed incorrectly on a trial with",25,not_bigram
" disease at the time of the offense, but rather suffered from a non-pathological psychosexual disorder. The trial court",25,bigram
" The stepmother did not comply with the terms of the agreement, and the daughter sued for specific performance. The trial court",24,bigram
" him by leading questions. The court refused to permit it, and this ruling was assigned as a basis for new trial.",25,not_bigram
 upon which there were signs of torture.Ebadi and the other lawyers of the family insisted in the court,22,not_bigram
" He was sentenced to forty years, ten in confinement and thirty on probation. On appeal, he claims that the trial court",25,bigram
" in which the plaintiff railroads sued state officials, alleging that certain tax assessments were excessive under the Fourteenth Amendment. The Court",24,not_bigram
Good cause is shown that Cherrix is entitled to utilize limited discovery because Cherrix could not have presented to the trial court,25,bigram
 its cross-claims against the other defendants and Ford's failure to join additional defendants; (4) whether the trial court,26,bigram
" demanding their immediate release. In that sense, it may just be that the government has gravely erred. The trial could",24,not_bigram
involved sexual intercourse which Appellant believed to beconsensual.    Although the defense presentation at trial is,21,not_bigram
"08-367-CR, we dismiss those appeals.                                         25Having also decided that the trial court",27,bigram
 to mastership could be obtained.Fig. 243.—Bootmaker's Apprentice working at a Trial-,25,not_bigram
" Application of International Human Rights LawA variety of institutions interpret and apply international human rights law through monitoring activities, court",23,not_bigram
 thesale of the property. (R.R. at 71a-72a.)              The trial court,26,bigram
" the provisions of Article 11.07 of the Texas Code of Criminal Procedure, theclerk of the trial court",26,bigram
"at 110. When asked how he could support these expenses with no income, Father told thetrial court",24,bigram
" county. The defendant-doctor then appeared, through his counsel, in Pima county, and moved that the superior court",25,not_bigram
" congress, Zapruder, etc. with nothing but air behind you. Want to know why the mock trial ended",24,not_bigram
" the charges of interstate transportation of stolen property, I was still graciously willing to give the U.S. Supreme Court",24,not_bigram
" following standard laboratory procedure, requested Sgt. Mowery to verify his opinion.  Mowery testified at trial that",24,not_bigram
" through his employer was $135.59 bi-weekly.*505 In calculating child support, the trial court",27,bigram
 his initials were to indicate his rejection of the other optional coverages we discussed.DISCUSSIONThe trial judge,21,not_bigram
"This favorable decision toward the Witnesses was arrived at after years of investigation, trial, acquittal, and renewed trial.",23,not_bigram
) an amended damage claim for mental anguish and wrongful death on a breach of contract and fiduciary theories. As the trial court,25,bigram
"ing units, and awarded themthe amounts due. The Goffneys timely filed a motion for new trial,",22,not_bigram
 found that the failure to question did not constitute plain error affecting the substantial rights of the defendant in light of the trial court,25,bigram
"       Instantly, our review of the certified record reflects that following anonjury trial, the court",20,not_bigram
" court correctly ruled that the Port owns Tract 1.  Second,the southern boundary set by the trial court",23,bigram
" court found that the ""evidence is not real strong about particular educational needs,"" when one considers, as did the trial court",25,bigram
", 668 P.2d 21 (Colo.App.1983).Here, the record supports the trial court",31,bigram
 and is prohibited by neither the first nor fifth amendments to the Constitution.30The judgment of the district court,23,not_bigram
 No. XXI: A capital defendant is denied his right to a fair trial by an impartial jury when the trial court,24,bigram
" understanding of the possible results of a successful appeal, which might have included not only a lesser sentence but a new trial with",25,not_bigram
". 445, 77 S.Ct. 390, 1 L.Ed.2d 456 (1957), the Supreme Court",40,not_bigram
"estic violence, and other testimony about alleged prior instances of domestic violenceshould not have been allowed by the trial court",23,bigram
       Because an order denying arbitration must be upheld if it is proper on any basisconsidered by the trial court,22,bigram
cluding Bouse=s testimony and exhibits also was proper because the trialcourt was enforcing a pre-trial order,23,not_bigram
" fact, thus precluding summary judgment. We affirm.FACTSDavis, the injured party and trial court",22,bigram
" the judgments, tax liens, and criminal charges against him and his businesses were true. We agree with the trial court",24,bigram
" secrecy, and that [his] request isstructured to cover only material so needed.” Id. The Supreme Court",23,not_bigram
"summary-judgment motion pending, and no legitimate excuse for the delay, we cannot faultthe trial court",21,bigram
 he has previously represented a person who will be called as awitness against a current client at a criminal trial.”,23,not_bigram
 depth chart shows region wise female inmates population with the sector indicating female convicts and the depth indicating the ones under trial.,24,not_bigram
" through his employer was $135.59 bi-weekly.*505 In calculating child support, the trial court",27,bigram
 ja inte fick installera i opt<maxjezy> hur lÃ¥ng Ã¤r trialen,23,not_bigram
" deliberations.' Neither defense counsel nor any juror submitted a declaration or affidavit stating these or similar facts.""The trial court",23,bigram
 of the rioting that followed the shooting on New Year's Day in 2009 on an Oakland train platform. The trial was,30,not_bigram
" finding thattermination was in Jane’s best interest.          Following a hearing, the trial court",22,bigram
"1983).                                                 3                                  Cite as 2015 Ark. App. 555       Following the trial,",32,not_bigram
" ordinal techniques for their primary analysis. We report here how in SCAST \[[@B1]\], a major Phase III trial of",28,not_bigram
" 1972). Thus, defendants contend that this issue is properly argued on appeal even though it was not raised in the trial court",29,bigram
 or for any other period or periods that it may deem appropriate[5]  Grandparents contend because the trial court,24,bigram
" as they recognise the lack of evidence supporting their practice. In particular, whilst statistically significant, the results from the trial meta",25,not_bigram
 Issa addressed a situation where the record reflect[ed] that the trial court,17,bigram
" with App.R. 9(C),the facts are taken from the parties’ affidavits, which the trial court",25,bigram
 against the plaintiff and in favor of the Government in this action.The EvidenceThe evidence presented to the court,22,not_bigram
", but I worry that this (success) might have just been a blip.”Related Articles The Roberts Court",23,not_bigram
", called by defendant, identified and testified with respect to a number of X rays.Defendant contends that the trial court",24,bigram
" notice requirement. Although Fountain argued the false allegations made by M.G. were newly discovered evidence, the trial court",24,bigram
"4)(b) before imposing consecutive sentences. We,therefore, reverse and remand this matter to the trial court",23,bigram
 either shot or stabbed Beeson when she refused to cooperate.A recording of this phone call was played at trial.,24,not_bigram
 contends that Eisemann's agreement to a trial date prejudiced him because his attorney was riot prepared to proceed to trial on,26,not_bigram
" wantsa speedy trial. And, as I previously said, that the Court would like to get thistrial .",24,not_bigram
" similar to manslaughter, and granted Don Ramon a term of three months of house arrest while the case went to trial.",24,not_bigram
 placement.*671 DISPOSITIONThe judgment is reversed and the matter is remanded to the trial court,21,bigram
" 34 Ill.2d 282, 215 N.E.2d 214, 215), we agree with the trial court",39,bigram
" trial], regularly made, exhausts the court’s jurisdiction, and cannot be set aside or modified by the trial court",25,bigram
 OCGA § 5-6-38 (a). Although the filing of a motionfor a new trial generally,25,not_bigram
"49B. The Tenure Issue35In remanding the case, we asked the district court",21,not_bigram
" correct legal standards is grounds for reversal."" Townley, 748 F.2d at 112. Therefore, this Court",30,not_bigram
"el, T. J. Moore, E. Obarzanek, et al., ""A Clinical Trial of",24,not_bigram
 reviews only that issue. We must determine whether the Court of Civil Appeals improperly substituted its judgment for that of the trial court,25,bigram
". Finding that appellant had ""not compl[ied] with the applicable rules of procedure"" for discovery, the circuit court",25,not_bigram
 is expected.Follow Dylan Gwinn on Twitter @themightygwinnPhase I comparative clinical trial with,21,not_bigram
guntope then pleaded guilty to DWI. Standard of Review          In reviewing a trial court,21,bigram
" until April 2014 to close on the sale.                6. Pretrial Motions and Orders   Before trial,",26,not_bigram
" with whom Plescia split the profits, the quantity was reasonably foreseeable to him.18The trial court",22,bigram
 and we affirm in part and remand in part.1. Appellant's first enumeration of error is that the trial court,25,bigram
" J.P.’s response: “I want to go home.”       Mother timely appealed, challenging the juvenile court",24,not_bigram
" believed that a condition she suffered from, “uterine fibrosis,”constituted uterine cancer.       The trial court",22,bigram
 the trial court’sjudgment to reflect the correct “Statute for Offense.” We affirm the trial court,22,bigram
 his corporation. That failure fastens liability squarely on him as provided in the agreement.19The trial court,23,bigram
". However, there is evidence in the record that would support an instruction onaggravated assault. The trial court",24,bigram
". The trialcourt denied the motion as untimely and meritless, and this Court affirmed thetrial court",21,bigram
