prompt,prompt_len,target
 the first derivative of -17*g**3 + g**2 - g - 56. What is the second derivative,28,bigram
*l**3 + 7 + 0 + 3*l + 2. Let h(q) be the first derivative,29,not_bigram
"4, 0Suppose 3*v + 4 = 5*v. Let b(r) be the second derivative",28,bigram
"D. Farmer, S. Gonek and Y. Lee, Pair correlation of the zeros of the derivative",22,not_bigram
 a private person would be liable. We consider each of these arguments in turn.AUnder the second exception,22,not_bigram
n**3Let r(i) = -5*i. Let n(d) be the second derivative,24,bigram
 200208149*n**2.-12363383760*n**2Find the second derivative,35,bigram
120*z**3Let b be ((-2)/(-3))/((-5)/45*-2). Find the second derivative,30,bigram
" The container includes an insulated box having at least a first portion being a box protruding ridge, at least a second portion",24,not_bigram
**5/120 + f**3/3 - f**2. Let w(k) be the first derivative,27,not_bigram
 where [**K**]{} is the $m \times n$ Jacobian matrix whose elements are given by the Frechet derivative,27,not_bigram
 some respects Mr. Gladstone was never more wonderful than in the fewweeks that preceded the fall of his second administration,23,not_bigram
2*m + 3. Determine y(h).-1Let k(v) be the second derivative,23,bigram
" $\delta_S$ the surface $\delta$-function. Here, ${\cal D}^\mu$ is the covariant derivative",26,not_bigram
 6*u**2 - 10*u + 8. Let d be g(3). What is the second derivative,29,bigram
 Let j(u) = 9*l(u) + 4*w(u). What is the second derivative,27,bigram
", just put '× 60' in the bottom line, or divide the answer by 60. For vibration per second,",29,not_bigram
*f(o) - u(o).o**3Let r(w) be the second derivative,23,bigram
"antime’s chief executive, said the craft tag was increasingly redundant and that selling to the world’s second-",25,not_bigram
 item by checking with OnTapped EventI will be able to deselect my item when i click second time,22,not_bigram
 of 3*n**4/4 + 3*n**2/2 + 9. What is the second derivative,28,bigram
 -12390*r**2 - 77433?-24780*rWhat is the second derivative,31,bigram
**3.-(l - 3)*(l - 1)**2Let u(x) be the second derivative,24,bigram
) $-electron system if the densities are determined from the same external potential. As a corollary it follows that the functional derivative,25,not_bigram
. Are -1/6 and u non-equal?TrueLet v(a) be the second derivative,23,bigram
**6/40 + 11*v**4/24 - 16*v**2. What is the second derivative,31,bigram
 {#sec032}==========This study summarizes the most recent DR-TB status against first- and second-,24,not_bigram
 s.2*h*s + 159*h + 6*s - 3What is the third derivative,28,not_bigram
 + f + 1. Suppose -3*d + 4 = d. Let m(c) be the second derivative,27,bigram
. Let b = z + -1.89. Let d = 2 + -1. What is the second smallest,27,not_bigram
" smoked up soundtrack, Söderström holla'd ""I aint shizzle fo' tha second game",21,not_bigram
" for k.-1, 0, 2/11, 68Let t(z) be the second derivative",27,bigram
56*m + 40*m**5 wrt m.800*m**3What is the second derivative,29,bigram
 What is z(i(h))?392*h**2Let w(v) be the first derivative,26,not_bigram
"*u, -5*y + 10 = -2*u. Let w(p) be the third derivative",27,not_bigram
 be k(0). What is a(o)?-25Let d(x) be the second derivative,24,bigram
**7/70 + 896*w**3/3 + 82*w**2. Find the first derivative,30,not_bigram
r wrt r.3444*r*u**3 + 24*r*uFind the first derivative,28,not_bigram
**2 + 1478 wrt l.-70875*d - 58*lWhat is the second derivative,31,bigram
"]$ (i.e. sends points on sphere to line through origin) then as this map is surjective, the derivative",26,not_bigram
