prompt,prompt_len,target
THE CRAYON BOX PRESCHOOL,8,40.75616088394804
ISLAND SHORES SENIOR RESIDENCE,7,40.57064092183354
SAMUEL CITY HOUSES BUILDING 2,9,40.82027554579997
MACHZIK BRACHA LEARNING CENTER,9,40.637194440247725
EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,11,40.694643888313934
TRABAJAMOS COMMUNITY HEAD START CROTONA AV,12,40.85137255051096
CONSELYEA PREPARATORY SCHOOL,8,40.71534529123044
QUEEN OF PEACE RECTORY,6,40.72094985696029
YURIY SHUKHEVYCH CORNER,10,40.7672387242126
LITTLE LEARNING CENTER,4,40.75984411679399
NEW SCHOOL KERREY HALL,6,40.735509329930736
COLONY CLUB,4,40.76507739714024
MARINER'S HARBOR HSES BLDG 2,14,40.63309313210644
BROWNSTONES HOUSES BUILDING 16,10,40.788804027648624
NY INSTITUTE FOR SPECIAL EDUCATION READINESS PROGRAM,9,40.859896971337655
ROBERT E VENABLE PARK HANDBALL COURT,9,40.67489442204091
COAST GUARD EXCHANGE,5,40.60368346171909
OHRBACH LAKE,5,40.58903083925058
BELT SHORE PKWY OVER FRESH CREEK,11,40.63826345987981
PS 100 ISAAC CLASON,10,40.82196840138405
REDFERN HOUSES BUILDING 1,9,40.61026355257855
MERKAZ BNOS HIGH SCHOOL,7,40.61106544999741
JACOBI MEDICAL CENTER HELIPAD,8,40.85404322601816
TREMONT PARK BASEBALL FIELD,7,40.8447062812151
MILL ROCK PARK ISLAND,5,40.78064511363228
VOLNEY RESIDENCES,5,40.773378600587165
RAVENSWOOD HOUSES BUILDING 13,10,40.75985509571792
WILLIAMSBURG HOUSES BLDG 12,12,40.71003074009843
EAST TREMONT HEAD START MANOR AVE,9,40.83044963199403
PS 76 WILLIAM HALLET,8,40.76072020946833
ALGA HOTEL,4,40.82828740462609
MOORE HOUSES BUILDING 2,8,40.81261266965438
SALEM MISSIONARY BAPTIST CHURCH,9,40.64716395260063
ST JOHNS PARK SOFTBALL FIELD,8,40.67475012771951
POSTCARDS MEMORIAL,5,40.646783622728144
ST JAMES TRIANGLE,5,40.712701205455446
CLASON POINT GARDENS BLDG 23,12,40.8213256847681
WALD HOUSES BUILDING 5,8,40.72206497371013
