Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
Wes Space Time ,Historical figures,hist_fig_birthyear,cleaned_data/2_hist_fig_birthyear.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/historical_figure.csv,Historical person name,Birth year,Continuous Data,Maybe filter tehse for relevance? idk,,,22,20,113,,https://snap.stanford.edu/data/#reviews,,,,,
,,hist_fig_deathyear,cleaned_data/3_hist_fig_deathyear.csv,Yes,,,Death Year,Continuous Data,,,,celeb time (birth/death),,,,,,,,,
,,hist_fig_age,cleaned_data/4_hist_fig_age.csv,Yes,,,Age,Continuous Data,,,,country stats,,,,,,,,,
,,hist_fig_ismale,cleaned_data/5_hist_fig_ismale.csv,Yes,,,Male?,Binary Classification,,,,,,,,UNCATEGORIZED,,,,,
,,hist_fig_isamerican,cleaned_data/6_hist_fig_isamerican.csv,Yes,,,american?,Binary Classification,might be too many categories,,,,,,,ag news - http://groups.di.unipi.it/~gulli/AG_corpus_of_news_articles.html,,,,,maybe we can somehow make it classification
,,hist_fig_ispolitician,cleaned_data/7_hist_fig_ispolitician.csv,Yes,,,politican?,Binary Classification,,,,,,,,,,,,,
,NYC Places,nyc_lat,cleaned_data/8_nyc_lat.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/nyc_place.csv,Place,Latitude,Continuous Data,Wes says these do the worst w/ normal probes,,,,,,,utilitarianism data,,,,,
,,nyc_long,cleaned_data/9_nyc_long.csv,Yes,,,Longitude,Continuous Data,,,,,,,,european parliament - https://www.statmt.org/europarl/,,,,,just classify different languages? dunno
,,nyc_borough,cleaned_data/10_nyc_borough.csv,Yes,,,Borough,Multiclass Classification,,,,,,,,,,,,,
,US Places,us_lat,cleaned_data/11_us_lat.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/us_place.csv,Cities,Latitude,Continuous Data,Filter for only cities,,,,,,,,,,,,
,,us_long,cleaned_data/12_us_long.csv,Yes,,,Longitude,Continuous Data,,,,,,,,,,,,,
,,us_state,cleaned_data/13_us_state.csv,Yes,10 classes,,State,Multiclass Classification,,,,,,,,,,,,,
,,us_timezone,cleaned_data/14_us_timezone.csv,Yes,,,Timezone,Multiclass Classification,kinda same as states - but if model cant do state it could do timezone,,,,,,,,,,,,
,,us_population,cleaned_data/15_us_population.csv,Yes,,,Population,Continuous Data,,,,,,,,,,,,,
,,us_density,cleaned_data/16_us_density.csv,Yes,,,Density,Continuous Data,,,,,,,,,,,,,
,World Places,world_country,cleaned_data/17_world_country.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/world_place.csv,Name of thing,Country,Multiclass Classification,,,,,,,,,,,,,
,,world_latitude,cleaned_data/18_world_latitude.csv,Yes,,,Latitude,Continuous Data,,,,,,,,,,,,,
,,world_longitude,cleaned_data/19_world_longitude.csv,Yes,,,Longitude,Continuous Data,,,,,,,,,,,,,
,,world_pageviews,cleaned_data/20_world_pageviews.csv,Yes,,,page_views,Continuous Data,Maybe this shows its popularity?,,,,,,,,,,,,
,Headline,headline_istrump,cleaned_data/21_headline_istrump.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/headline.csv,Newspaper headlines,is_trump,Binary Classification,"Note, these are all likely sparse. Can do editing ourselves. Do we want binary to be balanced?",,,,,,,,,,,,
,,headline_isobama,cleaned_data/22_headline_isobama.csv,Yes,,,is_obama,Binary Classification,,,,,,,,,,,,,
,,headline_ischina,cleaned_data/23_headline_ischina.csv,Yes,,,is_china,Binary Classification,,,,,,,,,,,,,
,,headline_isiran,cleaned_data/24_headline_isiran.csv,Yes,,,is_iran,Binary Classification,,,,,,,,,,,,,
,,headline_year,cleaned_data/25_headline_year.csv,Yes,,,year,Continuous Data,is a year,,,,,,,,,,,,
,,headline_isfrontpage,cleaned_data/26_headline_isfrontpage.csv,Yes,,,print_page,Binary Classification,"could do like ""is front page,"" bc other things hard likely",,,,,,,,,,,,
,Art,art_type,cleaned_data/27_art_type.csv,Yes,https://raw.githubusercontent.com/wesg52/world-models/refs/heads/main/data/entity_datasets/art.csv,Art name,entity type,Multiclass Classification,"e.g. book, song (could be binary)",,,,,,,,,,,,
,,art_year,cleaned_data/28_art_year.csv,Yes,,,release year,Continuous Data,,,,,,,,,,,,,
,,art_pageviews,cleaned_data/29_art_pageviews.csv,Yes,,,page views,Continuous Data,,,,,,,,,,,,,
,,book_length,cleaned_data/30_book_length.csv,Yes,,book name,book length,Continuous Data,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
